number,hm_symbol,schoenflies_symbol,point_group,lattice_system,centering
44,Imm2,C2v^20,C2v,Orthorhombic,I
45,Iba2,C2v^21,C2v,Orthorhombic,I
46,Ima2,C2v^22,C2v,Orthorhombic,I
47,Pmmm,D2h^1,D2h,Orthorhombic,P
48,Pnnn,D2h^2,D2h,Orthorhombic,P
49,Pccm,D2h^3,D2h,Orthorhombic,P
50,Pban,D2h^4,D2h,Orthorhombic,P
51,Pmma,D2h^5,D2h,Orthorhombic,P
52,Pnna,D2h^6,D2h,Orthorhombic,P
53,Pmna,D2h^7,D2h,Orthorhombic,P
54,Pcca,D2h^8,D2h,Orthorhombic,P
55,Pbam,D2h^9,D2h,Orthorhombic,P
56,Pccn,D2h^10,D2h,Orthorhombic,P
57,Pbcm,D2h^11,D2h,Orthorhombic,P
58,Pnnm,D2h^12,D2h,Orthorhombic,P
59,Pmmn,D2h^13,D2h,Orthorhombic,P
60,Pbcn,D2h^14,D2h,Orthorhombic,P
61,Pbca,D2h^15,D2h,Orthorhombic,P
62,Pnma,D2h^16,D2h,Orthorhombic,P
63,Cmcm,D2h^17,D2h,Orthorhombic,C
64,Cmce,D2h^18,D2h,Orthorhombic,C
65,Cmmm,D2h^19,D2h,Orthorhombic,C
66,Cccm,D2h^20,D2h,Orthorhombic,C
67,Cmme,D2h^21,D2h,Orthorhombic,C
68,Ccce,D2h^22,D2h,Orthorhombic,C
69,Fmmm,D2h^23,D2h,Orthorhombic,F
70,Fddd,D2h^24,D2h,Orthorhombic,F
71,Immm,D2h^25,D2h,Orthorhombic,I
72,Ibam,D2h^26,D2h,Orthorhombic,I
73,Ibca,D2h^27,D2h,Orthorhombic,I
74,Imma,D2h^28,D2h,Orthorhombic,I
75,P4,C4^1,C4,Tetragonal,P
76,P41,C4^2,C4,Tetragonal,P
77,P42,C4^3,C4,Tetragonal,P
78,P43,C4^4,C4,Tetragonal,P
79,I4,C4^5,C4,Tetragonal,I
80,I41,C4^6,C4,Tetragonal,I
81,P-4,S4^1,S4,Tetragonal,P
82,I-4,S4^2,S4,Tetragonal,I
83,P4/m,C4h^1,C4h,Tetragonal,P
84,P42/m,C4h^2,C4h,Tetragonal,P
85,P4/n,C4h^3,C4h,Tetragonal,P
86,P42/n,C4h^4,C4h,Tetragonal,P
87,I4/m,C4h^5,C4h,Tetragonal,I
88,I41/a,C4h^6,C4h,Tetragonal,I
89,P422,D4^1,D4,Tetragonal,P
90,P4212,D4^2,D4,Tetragonal,P
91,P4122,D4^3,D4,Tetragonal,P
92,P41212,D4^4,D4,Tetragonal,P
93,P4222,D4^5,D4,Tetragonal,P
94,P42212,D4^6,D4,Tetragonal,P
95,P4322,D4^7,D4,Tetragonal,P
96,P43212,D4^8,D4,Tetragonal,P
97,I422,D4^9,D4,Tetragonal,I
98,I4122,D4^10,D4,Tetragonal,I
99,P4mm,C4v^1,C4v,Tetragonal,P
100,P4bm,C4v^2,C4v,Tetragonal,P
101,P42cm,C4v^3,C4v,Tetragonal,P
102,P42nm,C4v^4,C4v,Tetragonal,P
103,P4cc,C4v^5,C4v,Tetragonal,P
104,P4nc,C4v^6,C4v,Tetragonal,P
105,P42mc,C4v^7,C4v,Tetragonal,P
106,P42bc,C4v^8,C4v,Tetragonal,P
107,I4mm,C4v^9,C4v,Tetragonal,I
108,I4cm,C4v^10,C4v,Tetragonal,I
109,I41md,C4v^11,C4v,Tetragonal,I
110,I41cd,C4v^12,C4v,Tetragonal,I
111,P-42m,D2d^1,D2d,Tetragonal,P
112,P-42c,D2d^2,D2d,Tetragonal,P
113,P-421m,D2d^3,D2d,Tetragonal,P
114,P-421c,D2d^4,D2d,Tetragonal,P
115,P-4m2,D2d^5,D2d,Tetragonal,P
116,P-4c2,D2d^6,D2d,Tetragonal,P
117,P-4b2,D2d^7,D2d,Tetragonal,P
118,P-4n2,D2d^8,D2d,Tetragonal,P
119,I-4m2,D2d^9,D2d,Tetragonal,I
120,I-4c2,D2d^10,D2d,Tetragonal,I
121,I-42m,D2d^11,D2d,Tetragonal,I
122,I-42d,D2d^12,D2d,Tetragonal,I
123,P4/mmm,D4h^1,D4h,Tetragonal,P
124,P4/mcc,D4h^2,D4h,Tetragonal,P
125,P4/nbm,D4h^3,D4h,Tetragonal,P
126,P4/nnc,D4h^4,D4h,Tetragonal,P
127,P4/mbm,D4h^5,D4h,Tetragonal,P
128,P4/mnc,D4h^6,D4h,Tetragonal,P
129,P4/nmm,D4h^7,D4h,Tetragonal,P
130,P4/ncc,D4h^8,D4h,Tetragonal,P
131,P42/mmc,D4h^9,D4h,Tetragonal,P
132,P42/mcm,D4h^10,D4h,Tetragonal,P
133,P42/nbc,D4h^11,D4h,Tetragonal,P
134,P42/nnm,D4h^12,D4h,Tetragonal,P
135,P42/mbc,D4h^13,D4h,Tetragonal,P
136,P42/mnm,D4h^14,D4h,Tetragonal,P
137,P42/nmc,D4h^15,D4h,Tetragonal,P
138,P42/ncm,D4h^16,D4h,Tetragonal,P
139,I4/mmm,D4h^17,D4h,Tetragonal,I
140,I4/mcm,D4h^18,D4h,Tetragonal,I
141,I41/amd,D4h^19,D4h,Tetragonal,I
142,I41/acd,D4h^20,D4h,Tetragonal,I
143,P3,C3^1,C3,Rhombohedral,P
144,P31,C3^2,C3,Rhombohedral,P
145,P32,C3^3,C3,Rhombohedral,P
146,R3,C3^4,C3,Rhombohedral,R
147,P-3,C3i^1,C3i,Rhombohedral,P
148,R-3,C3i^2,C3i,Rhombohedral,R
149,P312,D3^1,D3,Rhombohedral,P
150,P321,D3^2,D3,Rhombohedral,P
151,P3112,D3^3,D3,Rhombohedral,P
152,P3121,D3^4,D3,Rhombohedral,P
153,P3212,D3^5,D3,Rhombohedral,P
154,P3221,D3^6,D3,Rhombohedral,P
155,R32,D3^7,D3,Rhombohedral,R
156,P3m1,C3v^1,C3v,Rhombohedral,P
157,P31m,C3v^2,C3v,Rhombohedral,P
158,P3c1,C3v^3,C3v,Rhombohedral,P
159,P31c,C3v^4,C3v,Rhombohedral,P
160,R3m,C3v^5,C3v,Rhombohedral,R
161,R3c,C3v^6,C3v,Rhombohedral,R
162,P-31m,D3d^1,D3d,Rhombohedral,P
163,P-31c,D3d^2,D3d,Rhombohedral,P
164,P-3m1,D3d^3,D3d,Rhombohedral,P
165,P-3c1,D3d^4,D3d,Rhombohedral,P
166,R-3m,D3d^5,D3d,Rhombohedral,R
167,R-3c,D3d^6,D3d,Rhombohedral,R
168,P6,C6^1,C6,Hexagonal,P
169,P61,C6^2,C6,Hexagonal,P
170,P65,C6^3,C6,Hexagonal,P
171,P62,C6^4,C6,Hexagonal,P
172,P64,C6^5,C6,Hexagonal,P
173,P63,C6^6,C6,Hexagonal,P
174,P-6,C3h^1,C3h,Hexagonal,P
175,P6/m,C6h^1,C6h,Hexagonal,P
176,P63/m,C6h^2,C6h,Hexagonal,P
177,P622,D6^1,D6,Hexagonal,P
178,P6122,D6^2,D6,Hexagonal,P
179,P6522,D6^3,D6,Hexagonal,P
180,P6222,D6^4,D6,Hexagonal,P
181,P6422,D6^5,D6,Hexagonal,P
182,P6322,D6^6,D6,Hexagonal,P
183,P6mm,C6v^1,C6v,Hexagonal,P
184,P6cc,C6v^2,C6v,Hexagonal,P
185,P63cm,C6v^3,C6v,Hexagonal,P
186,P63mc,C6v^4,C6v,Hexagonal,P
187,P-6m2,D3h^1,D3h,Hexagonal,P
188,P-6c2,D3h^2,D3h,Hexagonal,P
189,P-62m,D3h^3,D3h,Hexagonal,P
190,P-62c,D3h^4,D3h,Hexagonal,P
191,P6/mmm,D6h^1,D6h,Hexagonal,P
192,P6/mcc,D6h^2,D6h,Hexagonal,P
193,P63/mcm,D6h^3,D6h,Hexagonal,P
194,P63/mmc,D6h^4,D6h,Hexagonal,P
195,P23,T^1,T,Cubic,P
196,F23,T^2,T,Cubic,F
197,I23,T^3,T,Cubic,I
198,P213,T^4,T,Cubic,P
199,I213,T^5,T,Cubic,I
200,Pm-3,Th^1,Th,Cubic,P
201,Pn-3,Th^2,Th,Cubic,P
202,Fm-3,Th^3,Th,Cubic,F
203,Fd-3,Th^4,Th,Cubic,F
204,Im-3,Th^5,Th,Cubic,I
205,Pa-3,Th^6,Th,Cubic,P
206,Ia-3,Th^7,Th,Cubic,I
207,P432,O^1,O,Cubic,P
208,P4232,O^2,O,Cubic,P
209,F432,O^3,O,Cubic,F
210,F4132,O^4,O,Cubic,F
211,I432,O^5,O,Cubic,I
212,P4332,O^6,O,Cubic,P
213,P4132,O^7,O,Cubic,P
214,I4132,O^8,O,Cubic,I
215,P-43m,Td^1,Td,Cubic,P
216,F-43m,Td^2,Td,Cubic,F
217,I-43m,Td^3,Td,Cubic,I
218,P-43n,Td^4,Td,Cubic,P
219,F-43c,Td^5,Td,Cubic,F
220,I-43d,Td^6,Td,Cubic,I
221,Pm-3m,Oh^1,Oh,Cubic,P
222,Pn-3n,Oh^2,Oh,Cubic,P
223,Pm-3n,Oh^3,Oh,Cubic,P
224,Pn-3m,Oh^4,Oh,Cubic,P
225,Fm-3m,Oh^5,Oh,Cubic,F
226,Fm-3c,Oh^6,Oh,Cubic,F
227,Fd-3m,Oh^7,Oh,Cubic,F
228,Fd-3c,Oh^8,Oh,Cubic,F
229,Im-3m,Oh^9,Oh,Cubic,I
230,Ia-3d,Oh^10,Oh,Cubic,I
