x,alpha,density
-55.078125,2.00,2.259450e-9
-54.687500,2.00,3.232745e-9
-54.296875,2.00,4.790511e-9
-53.906250,2.00,7.269469e-9
-53.515625,2.00,1.096458e-8
-53.125000,2.00,1.544889e-8
-52.734375,2.00,1.838387e-8
-52.343750,2.00,1.602986e-8
-51.953125,2.00,8.941857e-9
-51.562500,2.00,4.636525e-9
-51.171875,2.00,4.489977e-9
-50.781250,2.00,3.638211e-9
-50.390625,2.00,5.145463e-9
-50.000000,2.00,8.453011e-9
-49.609375,2.00,1.423032e-8
-49.218750,2.00,2.585722e-8
-48.828125,2.00,4.601328e-8
-48.437500,2.00,8.473300e-8
-48.046875,2.00,1.624922e-7
-47.656250,2.00,3.265160e-7
-47.265625,2.00,6.850280e-7
-46.875000,2.00,1.449808e-6
-46.484375,2.00,2.881484e-6
-46.093750,2.00,4.815828e-6
-45.703125,2.00,5.856197e-6
-45.312500,2.00,4.509880e-6
-44.921875,2.00,2.989818e-6
-44.531250,2.00,4.119350e-6
-44.140625,2.00,4.540414e-6
-43.750000,2.00,3.848478e-6
-43.359375,2.00,5.148179e-6
-42.968750,2.00,6.123004e-6
-42.578125,2.00,6.719735e-6
-42.187500,2.00,9.149783e-6
-41.796875,2.00,1.363605e-5
-41.406250,2.00,2.118822e-5
-41.015625,2.00,3.571678e-5
-40.625000,2.00,6.409871e-5
-40.234375,2.00,1.115556e-4
-39.843750,2.00,1.618390e-4
-39.453125,2.00,1.578522e-4
-39.062500,2.00,7.485405e-5
-38.671875,2.00,3.435881e-5
-38.281250,2.00,8.151663e-5
-37.890625,2.00,5.510827e-5
-37.500000,2.00,3.346218e-5
-37.109375,2.00,7.276281e-5
-36.718750,2.00,4.457866e-5
-36.328125,2.00,3.369346e-5
-35.937500,2.00,7.283458e-5
-35.546875,2.00,8.641952e-5
-35.156250,2.00,7.018473e-5
-34.765625,2.00,5.306070e-5
-34.375000,2.00,5.013395e-5
-33.984375,2.00,9.932495e-5
-33.593750,2.00,3.280995e-4
-33.203125,2.00,8.691892e-4
-32.812500,2.00,1.335821e-3
-32.421875,2.00,8.543094e-4
-32.031250,2.00,1.382851e-4
-31.640625,2.00,6.613981e-4
-31.250000,2.00,8.144432e-4
-30.859375,2.00,1.318993e-4
-30.468750,2.00,2.737410e-4
-30.078125,2.00,4.783295e-4
-29.687500,2.00,2.791895e-4
-29.296875,2.00,3.957370e-4
-28.906250,2.00,9.912977e-4
-28.515625,2.00,2.084537e-3
-28.125000,2.00,4.551509e-3
-27.734375,2.00,1.122727e-2
-27.343750,2.00,2.803792e-2
-26.953125,2.00,5.929625e-2
-26.562500,2.00,8.779645e-2
-26.171875,2.00,7.013431e-2
-25.781250,2.00,1.524861e-2
-25.390625,2.00,1.381017e-2
-25.000000,2.00,5.718584e-2
-24.609375,2.00,4.783186e-2
-24.218750,2.00,1.001842e-2
-23.828125,2.00,2.667138e-4
-23.437500,2.00,4.687319e-3
-23.046875,2.00,5.148653e-3
-22.656250,2.00,3.109343e-3
-22.265625,2.00,2.113697e-3
-21.875000,2.00,3.760482e-3
-21.484375,2.00,1.203131e-2
-21.093750,2.00,3.923149e-2
-20.703125,2.00,1.069959e-1
-20.312500,2.00,2.118608e-1
-19.921875,2.00,2.550848e-1
-19.531250,2.00,1.333567e-1
-19.140625,2.00,2.013606e-2
-18.750000,2.00,1.209978e-1
-18.359375,2.00,2.024433e-1
-17.968750,2.00,1.007905e-1
-17.578125,2.00,1.069435e-2
-17.187500,2.00,1.116764e-2
-16.796875,2.00,2.615699e-2
-16.406250,2.00,2.295448e-2
-16.015625,2.00,1.261229e-2
-15.625000,2.00,4.490052e-3
-15.234375,2.00,6.463783e-4
-14.843750,2.00,8.449891e-4
-14.453125,2.00,2.263120e-3
-14.062500,2.00,5.893450e-4
-13.671875,2.00,3.123960e-3
-13.281250,2.00,1.693860e-2
-12.890625,2.00,1.407457e-2
-12.500000,2.00,2.941295e-3
-12.109375,2.00,2.054001e-2
-11.718750,2.00,2.209640e-2
-11.328125,2.00,2.637782e-3
-10.937500,2.00,4.643608e-3
-10.546875,2.00,1.720741e-2
-10.156250,2.00,1.952654e-2
-9.765625,2.00,1.405121e-2
-9.375000,2.00,8.297568e-3
-8.984375,2.00,5.490737e-3
-8.593750,2.00,6.400598e-3
-8.203125,2.00,9.692506e-3
-7.812500,2.00,1.006310e-2
-7.421875,2.00,4.825060e-3
-7.031250,2.00,3.962606e-3
-6.640625,2.00,8.309606e-3
-6.250000,2.00,4.463237e-3
-5.859375,2.00,4.328237e-3
-5.468750,2.00,9.401137e-3
-5.078125,2.00,5.473501e-3
-4.687500,2.00,4.799632e-3
-4.296875,2.00,1.373448e-2
-3.906250,2.00,2.161336e-2
-3.515625,2.00,2.294730e-2
-3.125000,2.00,1.981389e-2
-2.734375,2.00,1.537215e-2
-2.343750,2.00,1.216024e-2
-1.953125,2.00,1.119035e-2
-1.562500,2.00,9.579398e-3
-1.171875,2.00,6.716863e-3
-0.781250,2.00,7.667497e-3
-0.390625,2.00,6.672769e-3
0.000000,2.00,5.349721e-3
0.390625,2.00,7.493380e-3
0.781250,2.00,4.837765e-3
1.171875,2.00,7.193924e-3
1.562500,2.00,8.663106e-3
1.953125,2.00,6.130262e-3
2.343750,2.00,1.053702e-2
2.734375,2.00,2.011575e-2
3.125000,2.00,2.696525e-2
3.515625,2.00,2.893228e-2
3.906250,2.00,2.800072e-2
4.296875,2.00,2.610111e-2
4.687500,2.00,2.371406e-2
5.078125,2.00,2.164714e-2
5.468750,2.00,2.055320e-2
5.859375,2.00,1.911605e-2
6.250000,2.00,1.865229e-2
6.640625,2.00,1.833780e-2
7.031250,2.00,1.793192e-2
7.421875,2.00,1.869937e-2
7.812500,2.00,1.835713e-2
8.203125,2.00,1.851962e-2
8.593750,2.00,1.894161e-2
8.984375,2.00,1.695586e-2
9.375000,2.00,1.285822e-2
9.765625,2.00,8.605791e-3
10.156250,2.00,5.328160e-3
10.546875,2.00,3.150441e-3
10.937500,2.00,1.811804e-3
11.328125,2.00,1.032467e-3
11.718750,2.00,6.018034e-4
12.109375,2.00,3.906272e-4
12.500000,2.00,3.262864e-4
12.890625,2.00,3.597976e-4
13.281250,2.00,4.699560e-4
13.671875,2.00,6.435101e-4
14.062500,2.00,8.522537e-4
14.453125,2.00,1.086820e-3
14.843750,2.00,1.289230e-3
15.234375,2.00,1.351573e-3
15.625000,2.00,1.249448e-3
16.015625,2.00,1.053861e-3
16.406250,2.00,8.444329e-4
16.796875,2.00,6.636724e-4
17.187500,2.00,5.222573e-4
17.578125,2.00,4.160555e-4
17.968750,2.00,3.370935e-4
18.359375,2.00,2.778701e-4
18.750000,2.00,2.325579e-4
19.140625,2.00,1.967852e-4
19.531250,2.00,1.674159e-4
19.921875,2.00,1.420431e-4
20.312500,2.00,1.190032e-4
20.703125,2.00,9.705305e-5
21.093750,2.00,7.600191e-5
21.484375,2.00,5.622072e-5
21.875000,2.00,3.927835e-5
22.265625,2.00,2.692598e-5
22.656250,2.00,1.923479e-5
23.046875,2.00,1.489961e-5
23.437500,2.00,1.246947e-5
23.828125,2.00,1.094996e-5
24.218750,2.00,9.810399e-6
24.609375,2.00,8.809593e-6
25.000000,2.00,7.849336e-6
25.390625,2.00,6.894136e-6
25.781250,2.00,5.935183e-6
26.171875,2.00,4.977371e-6
26.562500,2.00,4.037674e-6
26.953125,2.00,3.149253e-6
27.343750,2.00,2.360759e-6
27.734375,2.00,1.722798e-6
28.125000,2.00,1.258679e-6
28.515625,2.00,9.431722e-7
28.906250,2.00,7.262648e-7
29.296875,2.00,5.673444e-7
29.687500,2.00,4.440448e-7
30.078125,2.00,3.460212e-7
30.468750,2.00,2.682278e-7
30.859375,2.00,2.071699e-7
31.250000,2.00,1.598635e-7
31.640625,2.00,1.237758e-7
32.031250,2.00,9.672579e-8
32.421875,2.00,7.676886e-8
32.812500,2.00,6.215865e-8
33.203125,2.00,5.132122e-8
33.593750,2.00,4.281657e-8
33.984375,2.00,3.544687e-8
34.375000,2.00,2.855774e-8
34.765625,2.00,2.210406e-8
35.156250,2.00,1.636445e-8
35.546875,2.00,1.163240e-8
35.937500,2.00,7.998364e-9
36.328125,2.00,5.361731e-9
36.718750,2.00,3.537222e-9
37.109375,2.00,2.320753e-9
37.500000,2.00,1.534461e-9
37.890625,2.00,1.043417e-9
38.281250,2.00,7.494267e-10
38.671875,2.00,5.809145e-10
39.062500,2.00,4.855172e-10
39.453125,2.00,4.252092e-10
39.843750,2.00,3.743661e-10
40.234375,2.00,3.204420e-10
40.625000,2.00,2.622126e-10
41.015625,2.00,2.040063e-10
41.406250,2.00,1.520850e-10
41.796875,2.00,1.110495e-10
42.187500,2.00,8.091564e-11
42.578125,2.00,5.951028e-11
42.968750,2.00,4.465288e-11
43.359375,2.00,3.425071e-11
43.750000,2.00,2.658520e-11
44.140625,2.00,2.060233e-11
44.531250,2.00,1.576882e-11
44.921875,2.00,1.181035e-11
45.312500,2.00,8.562644e-12
45.703125,2.00,5.923963e-12
46.093750,2.00,3.846189e-12
46.484375,2.00,2.315277e-12
46.875000,2.00,1.295319e-12
47.265625,2.00,6.887795e-13
47.656250,2.00,3.679256e-13
48.046875,2.00,2.198728e-13
48.437500,2.00,1.615673e-13
48.828125,2.00,1.413826e-13
49.218750,2.00,1.324049e-13
49.609375,2.00,1.229930e-13
50.000000,2.00,1.102197e-13
50.390625,2.00,9.516435e-14
50.781250,2.00,7.966506e-14
51.171875,2.00,6.492680e-14
51.562500,2.00,5.144573e-14
51.953125,2.00,3.940719e-14
52.343750,2.00,2.901451e-14
52.734375,2.00,2.051058e-14
53.125000,2.00,1.396416e-14
53.515625,2.00,9.174192e-15
53.906250,2.00,5.828402e-15
54.296875,2.00,3.625660e-15
54.687500,2.00,2.252896e-15
55.078125,2.00,1.408315e-15
55.468750,2.00,8.764082e-16
55.859375,2.00,5.367966e-16
56.250000,2.00,3.230881e-16
56.640625,2.00,1.920946e-16
57.031250,2.00,1.133146e-16
57.421875,2.00,6.611668e-17
57.812500,2.00,3.763376e-17
58.203125,2.00,2.044738e-17
58.593750,2.00,1.046624e-17
58.984375,2.00,5.215008e-18
59.375000,2.00,2.831829e-18
59.765625,2.00,1.884436e-18
60.156250,2.00,1.476151e-18
60.546875,2.00,1.175925e-18
60.937500,2.00,8.572615e-19
61.328125,2.00,5.522718e-19
61.718750,2.00,3.227238e-19
62.109375,2.00,1.850088e-19
62.500000,2.00,1.139084e-19
62.890625,2.00,7.674428e-20
63.281250,2.00,5.154057e-20
63.671875,2.00,3.065321e-20
64.062500,2.00,2.153032e-20
64.453125,2.00,4.242820e-20
64.843750,2.00,1.080853e-19
65.234375,2.00,2.132212e-19
65.625000,2.00,3.254245e-19
66.015625,2.00,3.948109e-19
66.406250,2.00,3.826505e-19
66.796875,2.00,2.906066e-19
67.187500,2.00,1.702601e-19
67.578125,2.00,8.027978e-20
67.968750,2.00,3.701621e-20
68.359375,2.00,2.718063e-20
68.750000,2.00,3.648729e-20
69.140625,2.00,5.582556e-20
69.531250,2.00,7.661144e-20
69.921875,2.00,8.844573e-20
70.312500,2.00,8.264172e-20
70.703125,2.00,5.944469e-20
71.093750,2.00,3.222335e-20
71.484375,2.00,2.042773e-20
71.875000,2.00,3.408407e-20
72.265625,2.00,5.929010e-20
72.656250,2.00,7.214447e-20
73.046875,2.00,6.544886e-20
73.437500,2.00,4.469635e-20
73.828125,2.00,2.125280e-20
74.218750,2.00,5.142063e-21
74.609375,2.00,1.197436e-22
75.000000,2.00,5.308428e-21
75.390625,2.00,1.734668e-20
75.781250,2.00,3.111332e-20
76.171875,2.00,4.046413e-20
76.562500,2.00,3.992336e-20
76.953125,2.00,2.815252e-20
77.343750,2.00,1.131646e-20
77.734375,2.00,1.240133e-21
78.125000,2.00,3.815317e-21
78.515625,2.00,1.264762e-20
78.906250,2.00,2.085785e-20
79.296875,2.00,2.250611e-20
79.687500,2.00,1.584265e-20
80.078125,2.00,7.001434e-21
80.468750,2.00,2.146718e-21
80.859375,2.00,3.022315e-21
81.250000,2.00,8.071140e-21
81.640625,2.00,1.493291e-20
82.031250,2.00,2.097173e-20
82.421875,2.00,2.275900e-20
82.812500,2.00,1.741944e-20
83.203125,2.00,7.475489e-21
83.593750,2.00,1.507088e-21
83.984375,2.00,2.465133e-21
84.375000,2.00,5.791551e-21
84.765625,2.00,8.549429e-21
85.156250,2.00,8.856371e-21
85.546875,2.00,6.450977e-21
85.937500,2.00,4.063169e-21
86.328125,2.00,3.852872e-21
86.718750,2.00,6.335120e-21
87.109375,2.00,1.023760e-20
87.500000,2.00,1.251438e-20
87.890625,2.00,1.108551e-20
88.281250,2.00,7.248996e-21
88.671875,2.00,3.968770e-21
89.062500,2.00,3.135335e-21
89.453125,2.00,5.511612e-21
89.843750,2.00,9.220709e-21
90.234375,2.00,9.793456e-21
90.625000,2.00,6.495245e-21
91.015625,2.00,2.883953e-21
91.406250,2.00,1.898912e-21
91.796875,2.00,3.556875e-21
92.187500,2.00,7.440053e-21
92.578125,2.00,9.233789e-21
92.968750,2.00,6.738517e-21
93.359375,2.00,3.698053e-21
93.750000,2.00,2.759807e-21
94.140625,2.00,4.036306e-21
94.531250,2.00,7.478010e-21
94.921875,2.00,1.179530e-20
95.312500,2.00,1.333083e-20
95.703125,2.00,9.478020e-21
96.093750,2.00,3.812694e-21
96.484375,2.00,8.914547e-22
96.875000,2.00,1.304771e-21
97.265625,2.00,5.420593e-21
97.656250,2.00,8.061465e-21
98.046875,2.00,6.977531e-21
98.437500,2.00,5.052589e-21
98.828125,2.00,4.917626e-21
99.218750,2.00,5.919025e-21
99.609375,2.00,7.747873e-21
-100.000000,1.50,8.911542e-14
-99.609375,1.50,3.090585e-14
-99.218750,1.50,7.412512e-14
-98.828125,1.50,2.412601e-14
-98.437500,1.50,6.308603e-14
-98.046875,1.50,2.216027e-14
-97.656250,1.50,6.070270e-14
-97.265625,1.50,2.350304e-14
-96.875000,1.50,6.742164e-14
-96.484375,1.50,2.971824e-14
-96.093750,1.50,8.704883e-14
-95.703125,1.50,4.271138e-14
-95.312500,1.50,1.188358e-13
-94.921875,1.50,5.912542e-14
-94.531250,1.50,1.527695e-13
-94.140625,1.50,7.680704e-14
-93.750000,1.50,1.683661e-13
-93.359375,1.50,7.128136e-14
-92.968750,1.50,1.373394e-13
-92.578125,1.50,5.513605e-14
-92.187500,1.50,1.134431e-13
-91.796875,1.50,4.762088e-14
-91.406250,1.50,1.049596e-13
-91.015625,1.50,4.944627e-14
-90.625000,1.50,1.209941e-13
-90.234375,1.50,7.039134e-14
-89.843750,1.50,1.783614e-13
-89.453125,1.50,1.209386e-13
-89.062500,1.50,2.858092e-13
-88.671875,1.50,2.059809e-13
-88.281250,1.50,4.162737e-13
-87.890625,1.50,2.667978e-13
-87.500000,1.50,4.411058e-13
-87.109375,1.50,2.430723e-13
-86.718750,1.50,3.571488e-13
-86.328125,1.50,1.694888e-13
-85.937500,1.50,2.513661e-13
-85.546875,1.50,1.275184e-13
-85.156250,1.50,2.284995e-13
-84.765625,1.50,1.319217e-13
-84.375000,1.50,2.514524e-13
-83.984375,1.50,1.665592e-13
-83.593750,1.50,3.695984e-13
-83.203125,1.50,3.205850e-13
-82.812500,1.50,6.892941e-13
-82.421875,1.50,6.223940e-13
-82.031250,1.50,1.117740e-12
-81.640625,1.50,8.430619e-13
-81.250000,1.50,1.194301e-12
-80.859375,1.50,7.619969e-13
-80.468750,1.50,9.085358e-13
-80.078125,1.50,4.884038e-13
-79.687500,1.50,6.114681e-13
-79.296875,1.50,3.513245e-13
-78.906250,1.50,5.058142e-13
-78.515625,1.50,3.198204e-13
-78.125000,1.50,5.347557e-13
-77.734375,1.50,4.234833e-13
-77.343750,1.50,8.643314e-13
-76.953125,1.50,8.932778e-13
-76.562500,1.50,1.814472e-12
-76.171875,1.50,1.960862e-12
-75.781250,1.50,3.288459e-12
-75.390625,1.50,2.914283e-12
-75.000000,1.50,3.720170e-12
-74.609375,1.50,2.601627e-12
-74.218750,1.50,2.607027e-12
-73.828125,1.50,1.464604e-12
-73.437500,1.50,1.570421e-12
-73.046875,1.50,9.878695e-13
-72.656250,1.50,1.214101e-12
-72.265625,1.50,8.198369e-13
-71.875000,1.50,1.218913e-12
-71.484375,1.50,1.058732e-12
-71.093750,1.50,1.884477e-12
-70.703125,1.50,1.907600e-12
-70.312500,1.50,3.422457e-12
-69.921875,1.50,3.648681e-12
-69.531250,1.50,6.086955e-12
-69.140625,1.50,5.646332e-12
-68.750000,1.50,7.261721e-12
-68.359375,1.50,5.707200e-12
-67.968750,1.50,5.792668e-12
-67.578125,1.50,3.490340e-12
-67.187500,1.50,3.576200e-12
-66.796875,1.50,2.481027e-12
-66.406250,1.50,3.158666e-12
-66.015625,1.50,2.621327e-12
-65.625000,1.50,3.662098e-12
-65.234375,1.50,3.937718e-12
-64.843750,1.50,8.107321e-12
-64.453125,1.50,1.373470e-11
-64.062500,1.50,3.291932e-11
-63.671875,1.50,6.678102e-11
-63.281250,1.50,1.329454e-10
-62.890625,1.50,1.765348e-10
-62.500000,1.50,1.758060e-10
-62.109375,1.50,1.177990e-10
-61.718750,1.50,6.975771e-11
-61.328125,1.50,3.374779e-11
-60.937500,1.50,2.159890e-11
-60.546875,1.50,1.229939e-11
-60.156250,1.50,1.106737e-11
-59.765625,1.50,9.112388e-12
-59.375000,1.50,1.193829e-11
-58.984375,1.50,1.292201e-11
-58.593750,1.50,2.114049e-11
-58.203125,1.50,4.540990e-11
-57.812500,1.50,1.819484e-10
-57.421875,1.50,6.778530e-10
-57.031250,1.50,1.877013e-9
-56.640625,1.50,3.117184e-9
-56.250000,1.50,3.068477e-9
-55.859375,1.50,1.833488e-9
-55.468750,1.50,7.172989e-10
-55.078125,1.50,2.282086e-10
-54.687500,1.50,1.010159e-10
-54.296875,1.50,5.807558e-11
-53.906250,1.50,5.123208e-11
-53.515625,1.50,5.252126e-11
-53.125000,1.50,8.231284e-11
-52.734375,1.50,1.171770e-10
-52.343750,1.50,2.356351e-10
-51.953125,1.50,5.095981e-10
-51.562500,1.50,9.769615e-10
-51.171875,1.50,1.234668e-9
-50.781250,1.50,1.149168e-9
-50.390625,1.50,7.295626e-10
-50.000000,1.50,7.767953e-10
-49.609375,1.50,1.454639e-9
-49.218750,1.50,1.941947e-9
-48.828125,1.50,1.653512e-9
-48.437500,1.50,1.140171e-9
-48.046875,1.50,5.958912e-10
-47.656250,1.50,3.591970e-10
-47.265625,1.50,2.254854e-10
-46.875000,1.50,1.636865e-10
-46.484375,1.50,3.076938e-10
-46.093750,1.50,1.733920e-9
-45.703125,1.50,7.635904e-9
-45.312500,1.50,2.265032e-8
-44.921875,1.50,5.585993e-8
-44.531250,1.50,1.231148e-7
-44.140625,1.50,3.012881e-7
-43.750000,1.50,3.711715e-7
-43.359375,1.50,1.752317e-7
-42.968750,1.50,4.640804e-8
-42.578125,1.50,2.392259e-8
-42.187500,1.50,5.032072e-8
-41.796875,1.50,1.149314e-7
-41.406250,1.50,2.248285e-7
-41.015625,1.50,4.420840e-7
-40.625000,1.50,1.072763e-6
-40.234375,1.50,2.931695e-6
-39.843750,1.50,7.219985e-6
-39.453125,1.50,1.293720e-5
-39.062500,1.50,1.399688e-5
-38.671875,1.50,7.470769e-6
-38.281250,1.50,4.241609e-6
-37.890625,1.50,6.222497e-6
-37.500000,1.50,5.377986e-6
-37.109375,1.50,5.198656e-6
-36.718750,1.50,3.950893e-6
-36.328125,1.50,9.849946e-7
-35.937500,1.50,4.148135e-7
-35.546875,1.50,4.459193e-6
-35.156250,1.50,1.685265e-5
-34.765625,1.50,4.822697e-5
-34.375000,1.50,1.416830e-4
-33.984375,1.50,4.354286e-4
-33.593750,1.50,1.154816e-3
-33.203125,1.50,2.057885e-3
-32.812500,1.50,1.730569e-3
-32.421875,1.50,6.452651e-4
-32.031250,1.50,1.760757e-3
-31.640625,1.50,1.170578e-3
-31.250000,1.50,3.263846e-4
-30.859375,1.50,4.235628e-4
-30.468750,1.50,6.847166e-4
-30.078125,1.50,2.609393e-4
-29.687500,1.50,4.126720e-5
-29.296875,1.50,3.389887e-4
-28.906250,1.50,5.658501e-4
-28.515625,1.50,7.902249e-4
-28.125000,1.50,1.378010e-3
-27.734375,1.50,3.030490e-3
-27.343750,1.50,6.637763e-3
-26.953125,1.50,9.892540e-3
-26.562500,1.50,6.532040e-3
-26.171875,1.50,1.911911e-2
-25.781250,1.50,7.169282e-2
-25.390625,1.50,6.523343e-2
-25.000000,1.50,1.500524e-2
-24.609375,1.50,4.977332e-3
-24.218750,1.50,5.708779e-3
-23.828125,1.50,2.674587e-2
-23.437500,1.50,4.710013e-2
-23.046875,1.50,4.280954e-2
-22.656250,1.50,2.938871e-2
-22.265625,1.50,2.081549e-2
-21.875000,1.50,2.004483e-2
-21.484375,1.50,2.785154e-2
-21.093750,1.50,4.316122e-2
-20.703125,1.50,5.021214e-2
-20.312500,1.50,2.686103e-2
-19.921875,1.50,2.935437e-2
-19.531250,1.50,1.564504e-1
-19.140625,1.50,3.079826e-1
-18.750000,1.50,1.557639e-1
-18.359375,1.50,2.009625e-2
-17.968750,1.50,1.210356e-1
-17.578125,1.50,1.569977e-1
-17.187500,1.50,1.106466e-1
-16.796875,1.50,4.809061e-2
-16.406250,1.50,1.218705e-2
-16.015625,1.50,7.210927e-4
-15.625000,1.50,1.804457e-3
-15.234375,1.50,1.129757e-2
-14.843750,1.50,2.395352e-2
-14.453125,1.50,1.984772e-2
-14.062500,1.50,9.256403e-4
-13.671875,1.50,1.054937e-2
-13.281250,1.50,1.361150e-2
-12.890625,1.50,1.344901e-2
-12.500000,1.50,9.990325e-4
-12.109375,1.50,1.657419e-2
-11.718750,1.50,5.443508e-4
-11.328125,1.50,2.986854e-2
-10.937500,1.50,3.015742e-2
-10.546875,1.50,4.127028e-2
-10.156250,1.50,8.052972e-2
-9.765625,1.50,9.471980e-2
-9.375000,1.50,8.722423e-2
-8.984375,1.50,7.236267e-2
-8.593750,1.50,5.611184e-2
-8.203125,1.50,3.959222e-2
-7.812500,1.50,2.807652e-2
-7.421875,1.50,1.597082e-2
-7.031250,1.50,8.214689e-3
-6.640625,1.50,1.933302e-3
-6.250000,1.50,4.045072e-4
-5.859375,1.50,1.972268e-3
-5.468750,1.50,2.967551e-3
-5.078125,1.50,1.234873e-2
-4.687500,1.50,1.028632e-2
-4.296875,1.50,2.024394e-2
-3.906250,1.50,3.003617e-2
-3.515625,1.50,2.833454e-2
-3.125000,1.50,2.307627e-2
-2.734375,1.50,1.768935e-2
-2.343750,1.50,1.307649e-2
-1.953125,1.50,9.019715e-3
-1.562500,1.50,5.839893e-3
-1.171875,1.50,3.428156e-3
-0.781250,1.50,2.025940e-3
-0.390625,1.50,1.178601e-3
0.000000,1.50,6.687907e-4
0.390625,1.50,4.148370e-4
0.781250,1.50,3.037325e-4
1.171875,1.50,2.717516e-4
1.562500,1.50,1.805539e-4
1.953125,1.50,1.394224e-4
2.343750,1.50,7.486068e-5
2.734375,1.50,5.216605e-5
3.125000,1.50,5.546934e-5
3.515625,1.50,4.552676e-5
3.906250,1.50,3.049225e-5
4.296875,1.50,1.893237e-5
4.687500,1.50,1.226913e-5
5.078125,1.50,7.122042e-6
5.468750,1.50,4.166424e-6
5.859375,1.50,2.512445e-6
6.250000,1.50,1.746828e-6
6.640625,1.50,1.118687e-6
7.031250,1.50,4.935072e-7
7.421875,1.50,2.445009e-7
7.812500,1.50,1.004762e-7
8.203125,1.50,6.349465e-8
8.593750,1.50,5.006353e-9
8.984375,1.50,2.460899e-9
