plateifu,cd_re,cd_im,g2_re,g2_im,j3o_re,j3o_im,sl2_re,sl2_im
10213-12701,-1.82601572e-1,-3.31579021e-1,-1.64639622e-1,-1.00887088e0,2.89365129e-1,-8.34744745e-1,-3.91039818e-2,-8.16813180e-2
10213-12702,-1.17501955e-1,-5.98226213e-2,-2.90297075e-1,-1.81648602e-1,-1.96726243e-1,-1.65783338e-1,-2.09760379e-2,-1.34962038e-2
10213-12704,-2.85426518e-2,-1.76773383e-1,2.80614290e-2,-6.09880323e-1,1.74567877e-1,-6.28257441e-1,-8.77567092e-3,-3.66469242e-2
10213-3702,2.56368249e-1,-6.73624309e-2,7.57460887e-1,-2.36550914e-1,6.78510493e-1,-2.50645133e-1,4.81621325e-2,-1.35393262e-2
10213-6102,7.30518410e-1,2.87778900e-1,1.90408264e0,1.01439906e0,1.35338037e0,1.07516176e0,1.46544126e-1,5.77076046e-2
10213-6103,-3.48908875e-2,-1.45996759e-2,-6.95177158e-2,-3.13509505e-2,-2.61539057e-2,-2.80089734e-3,-6.70677344e-3,-4.88375874e-3
10213-6104,3.54572681e-1,-3.89650009e-2,1.04017827e0,-1.29193493e-1,9.20113701e-1,-1.23808523e-1,6.69963705e-2,-8.63118739e-3
10213-9101,4.77248159e-2,6.70945393e-3,1.48169444e-1,3.66669484e-2,1.36677917e-1,5.90746130e-2,9.31766678e-3,6.03637111e-5
10213-9102,-1.74619651e-1,-5.11948582e-2,-4.74766195e-1,-1.90472556e-1,-3.63018178e-1,-2.15813095e-1,-3.49340078e-2,-9.35883690e-3
10214-12704,7.54056403e-1,-1.45759042e-1,2.19862279e0,-5.09578679e-1,1.92839865e0,-5.36166171e-1,1.42739630e-1,-2.95305675e-2
10214-12705,3.32649289e-1,-4.63408961e-2,1.00349962e0,-1.39420899e-1,9.19398291e-1,-1.09300539e-1,6.25212380e-2,-1.17026115e-2
10214-3702,9.93525644e-1,4.20496111e-1,2.54665556e0,1.44812253e0,1.76263712e0,1.48814029e0,1.98598570e-1,8.74156859e-2
10214-6101,-4.36756045e-1,-1.55537630e-1,-1.15132545e0,-5.44020304e-1,-8.43082899e-1,-5.73131587e-1,-8.65783536e-2,-3.14758671e-2
10214-6103,-6.91384849e-1,-4.09510560e-1,-1.64444709e0,-1.36719531e0,-9.60267694e-1,-1.33675235e0,-1.40269018e-1,-8.93871436e-2
10214-6104,2.07854857e-2,9.82720839e-2,-4.94926668e-2,2.93695050e-1,-1.70450582e-1,2.34693645e-1,4.95755863e-3,2.46796808e-2
10214-9101,3.15938706e0,4.85328505e-1,8.72303896e0,1.72182567e0,6.98036536e0,1.85639715e0,6.13953203e-1,9.56476786e-2
10214-9102,-4.96677792e-1,-1.92738225e-1,-1.29744237e0,-6.69722362e-1,-9.34629012e-1,-6.99163098e-1,-9.85792296e-2,-3.94216612e-2
10215-12701,-8.25830224e-1,-3.59633722e-1,-2.11978980e0,-1.24412463e0,-1.47036379e0,-1.28815074e0,-1.65107922e-1,-7.41799319e-2
10215-12702,1.79286474e-1,3.68989974e-1,1.16588717e-1,8.89455712e-1,-2.42435602e-1,5.15436927e-1,8.94676418e-3,9.98844381e-2
10215-12703,-3.08698391e-1,-2.17822365e-1,-6.79208677e-1,-6.72709805e-1,-3.40891079e-1,-5.87621390e-1,-5.97588790e-2,-5.19525368e-2
10215-1902,-5.74376653e-1,-2.06966833e-1,-1.52286489e0,-7.32147190e-1,-1.12469498e0,-7.83937214e-1,-1.13958328e-1,-4.10789918e-2
10215-3701,-3.66270291e-1,-2.54669364e-1,-8.16940890e-1,-8.22410063e-1,-4.03840189e-1,-7.61643156e-1,-7.42513259e-2,-5.82082366e-2
10215-3703,-6.09809098e-1,-2.13852466e-1,-1.61553730e0,-7.51298665e-1,-1.19427440e0,-7.97108682e-1,-1.20703189e-1,-4.29326430e-2
10215-6101,5.91985705e-1,2.99669380e-2,1.69034627e0,1.20501653e-1,1.43080622e0,1.53818889e-1,1.13474963e-1,4.42517831e-3
10215-6102,-2.87746617e-1,-9.73469234e-2,-7.52590869e-1,-3.28386428e-1,-5.48888968e-1,-3.28337930e-1,-5.65254716e-2,-2.08476685e-2
10215-6103,-8.12780536e-1,-4.82882012e-1,-1.92731232e0,-1.60467157e0,-1.12020194e0,-1.55807391e0,-1.64584621e-1,-1.06083682e-1
10215-6104,2.15455361e-1,1.34731455e-1,5.14195410e-1,4.78396853e-1,2.85081257e-1,4.97978910e-1,4.65621065e-2,2.75269341e-2
10215-9101,2.52238245e-2,1.36627122e-1,-9.73729770e-2,3.48100362e-1,-2.48085523e-1,2.01457005e-1,7.73897284e-4,3.83946350e-2
10215-9102,-1.10485126e-1,-4.87481931e-2,-2.56833514e-1,-1.38894273e-1,-1.52309308e-1,-9.99676743e-2,-2.12732291e-2,-1.28657021e-2
10216-12701,-5.21564826e-1,-3.96796885e-1,-1.12055942e0,-1.26295126e0,-4.93779918e-1,-1.14335924e0,-1.05371835e-1,-9.22817869e-2
10216-12702,-8.07320666e-1,-3.29965327e-1,-2.09309430e0,-1.14649516e0,-1.48218049e0,-1.19536458e0,-1.60923388e-1,-6.75501649e-2
10216-12704,-2.13799882e-1,-2.88403097e-1,-2.87283017e-1,-8.55996482e-1,1.33839184e-1,-6.76713702e-1,-4.32411457e-2,-7.28476398e-2
10216-12705,-1.11019557e-1,-8.48322436e-2,-2.23374669e-1,-2.38876120e-1,-9.04869285e-2,-1.75327974e-1,-2.02544519e-2,-2.21608581e-2
10216-1901,9.54831438e-1,4.63062693e-1,2.35201631e0,1.53494547e0,1.51042625e0,1.48567744e0,1.90804769e-1,1.02057810e-1
10216-1902,3.52117630e0,1.28368071e0,9.13212897e0,4.39162014e0,6.49914596e0,4.47005926e0,6.99030785e-1,2.69620563e-1
10216-3704,2.79237739e-1,1.72888361e-1,6.90513782e-1,6.02162521e-1,4.37034074e-1,6.29946862e-1,5.67889558e-2,3.52552446e-2
10216-6101,2.32614846e-1,1.97312974e-2,7.14792270e-1,1.22628140e-1,6.54282369e-1,2.12872230e-1,4.51348003e-2,-1.30750590e-3
10216-6102,-3.91758738e-1,-2.16414469e-1,-9.33274063e-1,-7.10462098e-1,-5.52919301e-1,-6.76177482e-1,-7.88435296e-2,-4.83791150e-2
10216-6103,-7.41710791e-1,-4.32250014e-1,-1.77370955e0,-1.44560996e0,-1.05038801e0,-1.41775458e0,-1.50288302e-1,-9.40936846e-2
10216-9102,-4.53016873e-1,-3.15658369e-1,-9.97425572e-1,-9.65981761e-1,-5.06804159e-1,-8.33378092e-1,-8.68812953e-2,-7.58987416e-2
10217-12701,-1.29186265e-1,-1.70630835e-1,-2.08305043e-1,-3.78929573e-1,-6.28664716e-2,-2.02165255e-1,-6.03466598e-3,-4.51309209e-2
10217-1902,5.78039801e0,9.62271545e-1,1.59302473e1,3.40922012e0,1.27071508e1,3.66826933e0,1.12405078e0,1.90114530e-1
10217-3701,-6.33038501e-1,-3.45985975e-1,-1.54371206e0,-1.16861557e0,-9.56784679e-1,-1.16440016e0,-1.28000963e-1,-7.41978337e-2
10217-3702,1.17695314e0,6.88392735e-1,2.82270526e0,2.30854085e0,1.68312359e0,2.27491906e0,2.38395090e-1,1.49205441e-1
10217-3704,2.41316401e-2,1.00632638e-1,-3.42944086e-2,3.13874341e-1,-1.57100043e-1,2.71101643e-1,6.31766982e-3,2.41362226e-2
10217-6103,-4.38031321e-1,-3.80218601e-1,-8.57414412e-1,-1.12472250e0,-2.86474946e-1,-9.04818722e-1,-8.32586885e-2,-9.51523710e-2
10217-9101,-5.75234433e-1,-2.91035455e-1,-1.43428802e0,-9.95088782e-1,-9.33943160e-1,-1.01100209e0,-1.15923943e-1,-6.12204825e-2
10218-12701,2.01529316e-1,1.58654222e-1,4.18382121e-1,4.68432751e-1,1.83319618e-1,3.80077437e-1,3.75545324e-2,3.95344376e-2
10218-12704,-4.03215056e-1,-3.14114653e-1,-8.55043518e-1,-9.88699137e-1,-3.64620381e-1,-8.80501238e-1,-8.07544134e-2,-7.39225360e-2
10218-1901,1.73702395e-1,1.11429716e-1,4.16102441e-1,3.80145892e-1,2.44715536e-1,3.84776523e-1,3.54695278e-2,2.35269991e-2
10218-1902,4.36494649e-1,1.33237099e-1,1.18068212e0,4.74667586e-1,9.08055513e-1,5.14810419e-1,8.57364079e-2,2.60612631e-2
10218-3701,-7.45776791e-2,3.67062000e-2,-2.69312308e-1,9.85330743e-2,-2.94704122e-1,5.73456438e-2,-1.37180867e-2,1.03701349e-2
10218-3702,-7.86955896e-2,-3.96189728e-2,-1.72361148e-1,-1.16925290e-1,-8.19044434e-2,-8.89255942e-2,-1.58629091e-2,-1.01766366e-2
10218-3703,1.63450300e0,7.65886190e-1,4.18705515e0,2.66752858e0,2.88461612e0,2.79111739e0,3.27682781e-1,1.56162859e-1
10218-3704,4.66530334e-1,2.56316995e-1,1.17117568e0,8.91258103e-1,7.70157879e-1,9.30037098e-1,9.42517824e-2,5.24159511e-2
10218-6101,-1.07100701e-1,-3.08970451e-1,-5.51192290e-2,-1.03128744e0,2.87504017e-1,-1.00520332e0,-2.70362321e-2,-6.75682430e-2
10218-6102,1.08613119e0,5.17853361e-1,2.75882435e0,1.79267603e0,1.86753140e0,1.85725790e0,2.18196038e-1,1.06724972e-1
10218-6103,-3.95227935e-1,-2.74855297e-1,-8.82856239e-1,-8.76702604e-1,-4.47428413e-1,-8.01052836e-1,-7.87976760e-2,-6.35221213e-2
10218-6104,6.76908541e-2,3.37126652e-2,1.86376287e-1,1.43219624e-1,1.32699539e-1,1.81923773e-1,1.51858072e-2,4.73630104e-3
10218-9101,-5.19586285e-1,-4.92886202e-1,-9.76725403e-1,-1.51003316e0,-2.23992427e-1,-1.27541663e0,-1.04413457e-1,-1.20036944e-1
10218-9102,-1.71283546e-2,-1.55733098e-3,-5.15225147e-2,-1.35105903e-2,-4.21963094e-2,-2.50338329e-2,-3.76568714e-3,4.09076353e-4
10219-12703,1.90492782e-1,-2.65357325e-1,9.29261076e-1,-6.34470467e-1,1.16951088e0,-2.70373299e-1,4.31267730e-2,-7.96649744e-2
10219-12705,-7.75292329e-1,-2.12333157e-1,-2.10598052e0,-7.56333772e-1,-1.63314975e0,-8.20104999e-1,-1.51966214e-1,-4.15447302e-2
10219-1901,4.26903330e0,1.16465944e0,1.14553025e1,4.08723245e0,8.68840209e0,4.32872635e0,8.40229711e-1,2.34282620e-1
10219-3701,2.13170890e0,5.67910928e-1,5.74047658e0,1.99499286e0,4.38532793e0,2.11689892e0,4.18793088e-1,1.14011827e-1
10219-3702,2.64585511e0,5.70057491e-1,7.23754816e0,2.02407915e0,5.69097991e0,2.18418676e0,5.16609969e-1,1.12202374e-1
10219-3703,2.24428023e0,7.32164360e-1,5.88635666e0,2.51332256e0,4.28388638e0,2.57138825e0,4.44068610e-1,1.52959697e-1
10219-6101,4.62287069e0,1.55340745e0,1.21640197e1,5.37974512e0,8.89519760e0,5.58222006e0,9.15024422e-1,3.19732518e-1
10219-6102,1.99502432e1,1.56794101e0,5.58289512e1,5.65034811e0,4.57433020e1,6.24082018e0,3.85384782e0,2.99819133e-1
10219-6103,-2.35011541e-1,-4.98841516e-2,-6.51045865e-1,-1.82287518e-1,-5.22018281e-1,-2.04952579e-1,-4.58003429e-2,-9.29522571e-3
10219-9101,-3.69814113e-1,-3.19907913e-1,-7.15689834e-1,-9.31094932e-1,-2.32886140e-1,-7.25151323e-1,-6.95110535e-2,-8.14379994e-2
10219-9102,1.02996269e-1,3.61486432e-2,2.72827589e-1,1.25229697e-1,2.02931573e-1,1.30575915e-1,2.02466732e-2,7.41401438e-3
10220-12704,-7.39424207e-1,-5.16861508e-1,-1.65791340e0,-1.68572459e0,-8.25205259e-1,-1.58590309e0,-1.50700772e-1,-1.16635975e-1
10220-1901,6.46900011e-1,2.05342485e-1,1.73864003e0,7.27951087e-1,1.32132038e0,7.83470490e-1,1.27367351e-1,4.05408841e-2
10220-1902,1.13349880e-1,4.72068609e-2,3.12198412e-1,1.79572279e-1,2.42508604e-1,2.11800510e-1,2.26665825e-2,8.11934348e-3
10220-3701,-7.50676537e-1,-3.53499330e-1,-1.89719496e0,-1.21258191e0,-1.27435372e0,-1.23883364e0,-1.50606146e-1,-7.39500302e-2
10220-3703,-2.80888215e-1,-2.54454619e-1,-5.79454603e-1,-8.34845128e-1,-2.01893916e-1,-7.91272822e-1,-5.87963514e-2,-5.70313748e-2
10220-6101,-2.29235002e-1,-1.26215214e-1,-5.39794549e-1,-4.05422561e-1,-3.14481284e-1,-3.72351426e-1,-4.57858643e-2,-2.90437425e-2
10220-6103,2.12425416e-1,7.58276351e-2,5.51306401e-1,2.59339354e-1,3.92830908e-1,2.63770828e-1,4.21721002e-2,1.59373722e-2
10220-6104,-3.21876255e-1,-2.83778141e-1,-6.23962338e-1,-8.57047652e-1,-1.85469596e-1,-7.07102420e-1,-6.34501422e-2,-7.00967743e-2
10220-9101,1.33311707e-1,1.94163895e-1,1.79342314e-1,5.92008558e-1,-8.71443298e-2,4.95364589e-1,2.73899948e-2,4.75451355e-2
10220-9102,-3.85772017e-1,-2.27448003e-1,-8.87007183e-1,-7.16953218e-1,-4.91366310e-1,-6.38723295e-1,-7.65593026e-2,-5.35320972e-2
10221-12701,-2.99598002e-1,-3.13642608e-1,-4.93280008e-1,-8.61653431e-1,-4.25564538e-2,-5.92731882e-1,-5.31055527e-2,-8.41332084e-2
10221-12702,-4.69685220e-1,-3.72566676e-1,-9.61759593e-1,-1.10573131e0,-3.92297364e-1,-8.96115040e-1,-8.92452477e-2,-9.29504860e-2
10221-12704,-2.17582357e-1,4.13821717e-2,-7.58550402e-1,-5.88987479e-3,-7.51687851e-1,-2.12992874e-1,-4.68649327e-2,2.19628216e-2
10221-1902,-7.27323754e-1,-2.21127091e-1,-1.95935835e0,-7.84110434e-1,-1.49589571e0,-8.44253792e-1,-1.43050298e-1,-4.36361653e-2
10221-3701,-3.11018830e-1,-6.09158635e-2,-8.92720858e-1,-2.43508880e-1,-7.53112424e-1,-3.06137830e-1,-6.03358492e-2,-9.23502337e-3
10221-3704,1.40343060e-2,1.10847008e-1,-8.32394821e-2,3.35949867e-1,-2.20085037e-1,2.74842718e-1,4.27081493e-3,2.74661360e-2
10221-6101,-5.45219348e-1,-3.44968616e-1,-1.25104021e0,-1.11676884e0,-6.74970783e-1,-1.03958927e0,-1.09855934e-1,-7.85442347e-2
10221-6102,-3.46339287e-1,-3.46488068e-1,-6.58384843e-1,-1.10313429e0,-1.44173644e-1,-9.94353908e-1,-7.20018300e-2,-8.07782541e-2
10221-6104,2.17306936e-1,1.41850109e-1,4.76594000e-1,4.49650376e-1,2.21977082e-1,3.99429160e-1,4.43752901e-2,3.33746996e-2
10221-9102,1.89812293e0,1.96290786e-1,5.30481570e0,7.07378313e-1,4.33629512e0,7.81317271e-1,3.66918330e-1,3.75333417e-2
10222-12701,4.72119247e-1,1.32416162e-1,1.26195983e0,4.61380812e-1,9.51339231e-1,4.83379102e-1,9.29393485e-2,2.69696270e-2
10222-12702,-5.64793457e-1,-3.97889012e-1,-1.26835927e0,-1.30386568e0,-6.31632125e-1,-1.23612468e0,-1.15389256e-1,-8.92136345e-2
10222-12703,-6.67493429e-1,-3.17752291e-1,-1.68545612e0,-1.09229363e0,-1.12835258e0,-1.11937312e0,-1.34108286e-1,-6.62511991e-2
10222-12705,-3.87350991e-1,-4.32593416e-1,-6.48192740e-1,-1.30030242e0,-1.63133396e-2,-1.06155173e0,-7.70202083e-2,-1.07460551e-1
10222-1902,-9.18356536e-1,-3.63590378e-1,-2.40253530e0,-1.27296602e0,-1.73098848e0,-1.34309359e0,-1.82688416e-1,-7.34524185e-2
10222-3701,-4.77110926e-1,-3.50708307e-1,-1.02029065e0,-1.09405910e0,-4.52045153e-1,-9.56200419e-1,-9.53209809e-2,-8.36035878e-2
10222-3703,4.53888097e-1,2.01399396e-1,1.17821249e0,7.06463766e-1,8.34351189e-1,7.47588972e-1,9.06330300e-2,4.05492851e-2
10222-3704,-2.79464845e-2,8.40519714e-2,-1.52961422e-1,2.77962263e-1,-2.27342706e-1,2.66110693e-1,-3.41911543e-3,1.86586036e-2
10222-6101,1.66583243e0,4.34122899e-1,4.53006738e0,1.54414328e0,3.52143447e0,1.67074406e0,3.26266486e-1,8.51666352e-2
10222-6102,-2.27172541e-1,-1.04954169e-1,-5.75622605e-1,-3.59398520e-1,-3.89418992e-1,-3.66329728e-1,-4.54843886e-2,-2.20121038e-2
10222-6103,-1.48661989e-1,-5.12322824e-2,-3.79795792e-1,-1.61756412e-1,-2.69733787e-1,-1.46226622e-1,-2.87440960e-2,-1.19587319e-2
10222-6104,-3.70999637e-1,-7.18852787e-2,-1.01866591e0,-2.55101803e-1,-8.06832293e-1,-2.75112590e-1,-7.22910844e-2,-1.41612389e-2
10222-9101,4.57294059e-2,1.28379776e0,-1.40639073e0,1.97731913e0,-1.93908447e0,-3.44499951e-1,-2.02152534e-1,4.06207549e-1
10223-12701,1.94424697e-1,-1.05163934e-1,6.01522937e-1,-3.69546780e-1,5.75854601e-1,-3.91945916e-1,3.56071349e-2,-2.11125854e-2
10223-12702,-3.34645230e-1,-3.64278871e-1,-5.95503373e-1,-9.65262157e-1,-1.59703863e-1,-6.88333507e-1,-4.66546887e-2,-9.29402282e-2
10223-12703,-1.71535065e-1,-1.37801639e-1,-3.51374624e-1,-3.97377668e-1,-1.50777551e-1,-3.13253183e-1,-3.08314894e-2,-3.46855774e-2
10223-1901,2.48370586e0,1.41876647e0,6.22818130e0,4.95846613e0,4.07386528e0,5.21491967e0,5.03008077e-1,2.87591601e-1
10223-3701,5.23405501e-1,5.47789368e-2,1.46162383e0,1.97331691e-1,1.19302535e0,2.17820136e-1,1.01221169e-1,1.04827750e-2
10223-3703,1.00699659e0,4.09846343e-1,2.62072710e0,1.42889005e0,1.86965594e0,1.49788336e0,2.00539721e-1,8.34064209e-2
10223-6101,-4.94056246e-1,-2.43144126e-1,-1.23402615e0,-8.28707889e-1,-8.08195477e-1,-8.38017193e-1,-9.93643485e-2,-5.13964311e-2
10223-6102,1.80972906e0,5.11893792e-1,4.84015911e0,1.79294988e0,3.64811443e0,1.89299504e0,3.56632793e-1,1.03334343e-1
10223-6104,-3.50236257e-1,-2.15150354e-1,-8.15112158e-1,-7.00360649e-1,-4.57726861e-1,-6.58386541e-1,-7.04315308e-2,-4.86497808e-2
10223-9102,-2.85619907e-1,-2.29936834e-1,-5.90802981e-1,-7.22622148e-1,-2.24919532e-1,-6.37331839e-1,-5.79323240e-2,-5.44527912e-2
10224-12701,-3.58938600e-1,-2.79569992e-1,-7.79152029e-1,-8.68535443e-1,-3.63812415e-1,-7.85051716e-1,-6.78177106e-2,-6.39417248e-2
10224-12702,-3.28005018e-1,-2.86775995e-1,-6.45787436e-1,-8.62343765e-1,-2.15050321e-1,-7.12861635e-1,-6.34222233e-2,-7.07478970e-2
10224-12705,-4.54478949e-2,-6.82389313e-2,-5.41220752e-2,-2.11608928e-1,4.92545937e-2,-1.79620274e-1,-1.01025004e-2,-1.65282166e-2
10224-1901,-1.14003217e-1,9.35655562e-2,-4.39346860e-1,2.84029043e-1,-5.16533299e-1,2.28977271e-1,-1.95910140e-2,2.33169818e-2
10224-3702,1.12706469e-2,-9.18257979e-3,4.55954086e-2,-2.78581508e-2,5.64067206e-2,-2.21227523e-2,1.81486868e-3,-2.30102099e-3
10224-3703,-4.22268448e-2,6.24086498e-2,-1.97587648e-1,1.80465413e-1,-2.58107325e-1,1.33364981e-1,-7.44024144e-3,1.62553281e-2
10224-3704,5.64621599e-1,1.53081129e-1,1.51794329e0,5.39038410e-1,1.15492203e0,5.73887109e-1,1.11095156e-1,3.06071882e-2
10224-6101,4.57869380e-1,4.28730165e-1,9.02132125e-1,1.36437640e0,2.59577999e-1,1.23062220e0,9.43323961e-2,9.99317491e-2
10224-6102,9.67300553e-1,2.41310908e-1,2.64676886e0,8.63895420e-1,2.08029006e0,9.44077740e-1,1.89025954e-1,4.67594424e-2
10224-6103,-4.93342767e-1,-2.28246481e-1,-1.26053226e0,-7.94076597e-1,-8.62682589e-1,-8.28448415e-1,-9.91073257e-2,-4.66676954e-2
10224-6104,-2.02427446e-1,-6.84795047e-2,-5.37389669e-1,-2.46709580e-1,-3.94552853e-1,-2.66504388e-1,-4.07857597e-2,-1.34110943e-2
10224-9101,5.38620963e-1,2.45424942e-1,1.34742317e0,8.36171240e-1,8.82461345e-1,8.42241726e-1,1.08680119e-1,5.20253382e-2
10224-9102,1.71693037e-1,1.98409146e-1,2.84005524e-1,5.74710297e-1,1.75297951e-2,4.49342838e-1,3.11781390e-2,5.03549524e-2
10225-12701,-2.98747033e-1,-3.73514118e-1,-4.63038827e-1,-9.36937887e-1,-3.69822837e-2,-5.91280832e-1,-3.52171964e-2,-9.84217384e-2
10225-12702,-3.85243059e-2,5.08618724e-1,-7.52792858e-1,1.48841258e0,-1.41383485e0,1.11365245e0,1.02331260e-3,1.31687172e-1
10225-1902,1.12570953e0,1.21747661e0,2.03267748e0,3.90821502e0,2.08674456e-1,3.55749118e0,2.40090303e-1,2.81520950e-1
10225-3701,-5.16561825e-1,-4.16711813e-1,-1.06338428e0,-1.29637578e0,-4.04579442e-1,-1.12610458e0,-1.03731172e-1,-9.97258563e-2
10225-3703,7.70847329e-1,8.75157845e-2,2.12807066e0,3.01428505e-1,1.70613992e0,3.10401522e-1,1.49476053e-1,1.81705493e-2
10225-6102,-4.02855993e-1,-3.52387046e-1,-7.84978554e-1,-1.03056991e0,-2.64817677e-1,-8.16499628e-1,-7.51858120e-2,-8.88901320e-2
10225-6104,3.30289792e-1,4.23980996e-1,4.44251816e-1,1.18686293e0,-1.64068555e-1,8.41309827e-1,6.07147877e-2,1.12419962e-1
10225-9102,-3.58749593e-1,7.17058010e-2,-1.24761520e0,3.84610477e-2,-1.25923272e0,-2.62106389e-1,-7.38226361e-2,3.41951084e-2
10226-12701,-8.41646808e-1,-3.74014010e-1,-2.15522226e0,-1.29459577e0,-1.48633413e0,-1.34131328e0,-1.68498265e-1,-7.70829286e-2
10226-12702,2.91602988e0,7.50456125e-1,7.73712010e0,2.35815794e0,5.91338913e0,2.17122009e0,5.53551573e-1,1.72963356e-1
10226-12703,1.93384881e0,6.28675267e-1,5.11237553e0,2.18953313e0,3.76873978e0,2.29163765e0,3.82574355e-1,1.28165497e-1
10226-12704,4.14114238e-1,3.10383212e-1,9.04291000e-1,1.02689185e0,3.99133278e-1,9.72661743e-1,8.73632142e-2,6.96813228e-2
10226-1901,-9.10163173e-1,-3.18928005e-1,-2.41533134e0,-1.12257289e0,-1.79106513e0,-1.19457711e0,-1.80076972e-1,-6.38074695e-2
10226-1902,-4.47101483e-1,-2.55163620e-1,-1.07013076e0,-8.50715628e-1,-6.36115909e-1,-8.29905441e-1,-9.04866142e-2,-5.58115750e-2
10226-3701,-2.19312148e-1,6.66451770e-2,-6.83203224e-1,2.22240470e-1,-6.57730593e-1,2.15195133e-1,-4.02248204e-2,1.46328270e-2
10226-3702,-6.93044097e-1,-4.44680933e-1,-1.60689791e0,-1.46954235e0,-8.78916804e-1,-1.41328914e0,-1.40947813e-1,-9.85056777e-2
10226-3703,-7.37768589e-1,-2.94224244e-1,-1.93528290e0,-1.03325576e0,-1.40148533e0,-1.09552082e0,-1.46665816e-1,-5.91115327e-2
10226-3704,-1.36110772e-1,1.05127134e-1,-5.01184537e-1,3.31782632e-1,-5.70798205e-1,2.90557706e-1,-2.35052530e-2,2.49367899e-2
10226-6101,2.05135228e0,1.07012149e0,5.02243511e0,3.60429142e0,3.14645118e0,3.57290426e0,4.14128042e-1,2.30586083e-1
10226-6104,-4.60469955e-1,-1.49367968e-1,-1.22264669e0,-5.23124975e-1,-9.08461347e-1,-5.52322645e-1,-9.10094213e-2,-3.01543878e-2
10226-9101,-5.47511624e-1,-3.53711061e-1,-1.25886506e0,-1.16246324e0,-6.73390725e-1,-1.10721073e0,-1.11409872e-1,-7.89957451e-2
10226-9102,-1.35334534e-1,-1.15081459e-1,-3.03871612e-1,-3.93849740e-1,-1.44727399e-1,-4.00312442e-1,-2.83252808e-2,-2.41862869e-2
10492-12702,-2.38454078e-3,1.35450621e-2,5.67955260e-3,8.03607311e-2,2.16783387e-3,1.26890699e-1,1.60271295e-3,-8.29540964e-5
10492-12704,2.09948559e-1,2.89978354e-1,2.91428075e-1,8.62109137e-1,-1.05653063e-1,6.92614472e-1,4.11500514e-2,7.26554314e-2
10492-1901,-6.47655118e-1,-2.47585607e-1,-1.70234704e0,-8.68290441e-1,-1.23840578e0,-9.18609980e-1,-1.28608806e-1,-4.98647423e-2
10492-3701,6.49806016e0,1.28654731e0,1.77151445e1,4.50276273e0,1.38649832e1,4.75280230e0,1.26858847e0,2.59914670e-1
10492-3702,3.30131597e0,1.48838163e0,8.30781566e0,5.05487533e0,5.54093297e0,5.08046384e0,6.61905456e-1,3.16495587e-1
10492-3703,-8.21590621e-1,-2.45022710e-1,-2.21616680e0,-8.68994341e-1,-1.69630090e0,-9.35938273e-1,-1.61488883e-1,-4.83347023e-2
10492-3704,3.64112198e-1,3.70282419e-1,7.02782830e-1,1.19999501e0,1.64360467e-1,1.11461888e0,7.65752097e-2,8.43748112e-2
10492-6101,-4.17678535e-1,-1.41919837e-1,-1.11912356e0,-5.11913774e-1,-8.38664838e-1,-5.61196641e-1,-8.31426770e-2,-2.72914168e-2
