mode,k,bin_index,n_galaxies,log_m200_median,log_m200_min,log_m200_max,re,im,power,phase,rms,bin_snr,mode_snr
4,3.590392,7,699,12.0700,11.9200,12.2900,-6.52270476e-4,2.85778368e-3,8.59238432e-6,1.795196,0.00000000e0,0.000000,0.000000
5,4.487990,7,699,12.0700,11.9200,12.2900,-1.82762126e-3,2.29176457e-3,8.59238432e-6,2.243995,0.00000000e0,0.000000,0.000000
6,5.385587,7,699,12.0700,11.9200,12.2900,-2.64098924e-3,1.27183339e-3,8.59238432e-6,2.692794,0.00000000e0,0.000000,0.000000
7,6.283185,7,699,12.0700,11.9200,12.2900,-2.93127691e-3,3.58977889e-19,8.59238432e-6,3.141593,0.00000000e0,0.000000,0.000000
1,0.897598,8,699,12.6000,12.2900,12.9300,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
2,1.795196,8,699,12.6000,12.2900,12.9300,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
3,2.692794,8,699,12.6000,12.2900,12.9300,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
4,3.590392,8,699,12.6000,12.2900,12.9300,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
5,4.487990,8,699,12.6000,12.2900,12.9300,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
6,5.385587,8,699,12.6000,12.2900,12.9300,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
7,6.283185,8,699,12.6000,12.2900,12.9300,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
1,0.897598,9,699,13.2300,12.9300,14.9900,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
2,1.795196,9,699,13.2300,12.9300,14.9900,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
3,2.692794,9,699,13.2300,12.9300,14.9900,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
4,3.590392,9,699,13.2300,12.9300,14.9900,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
5,4.487990,9,699,13.2300,12.9300,14.9900,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
6,5.385587,9,699,13.2300,12.9300,14.9900,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
7,6.283185,9,699,13.2300,12.9300,14.9900,0.00000000e0,0.00000000e0,0.00000000e0,0.000000,0.00000000e0,0.000000,0.000000
