rank,plateifu,total_power,is_anomalous,p1,p2,p3,p4,p5,p6,p7,ph1,ph2,ph3,ph4,ph5,ph6,ph7
20,10517-3703,5.63302987e2,1,8.44912126e1,8.38234418e1,8.27255569e1,8.12197603e1,7.93363532e1,7.71129784e1,7.45936837e1,0.056679,0.113126,0.169110,0.224393,0.278733,0.331883,0.383588
21,8243-3704,5.45089139e2,1,7.98303613e1,7.95259868e1,7.90157886e1,7.82960502e1,7.73627979e1,7.62128940e1,7.48452604e1,0.052957,0.105912,0.158857,0.211771,0.264613,0.317319,0.369799
22,8487-3701,5.43666253e2,1,7.98630415e1,7.95003117e1,7.89030626e1,7.80819919e1,7.70515807e1,7.58296214e1,7.44366433e1,0.056063,0.112008,0.167716,0.223073,0.277969,0.332302,0.385977
23,11835-3701,5.43363924e2,1,8.02515012e1,7.98099409e1,7.90861941e1,7.80981276e1,7.68699411e1,7.54313892e1,7.38168296e1,0.034674,0.069124,0.103129,0.136472,0.168941,0.200333,0.230458
24,8555-9101,5.03497253e2,1,7.35690094e1,7.32957730e1,7.28468372e1,7.22316983e1,7.14632748e1,7.05575470e1,6.95331136e1,0.022419,0.044690,0.066666,0.088203,0.109163,0.129414,0.148832
25,8317-3702,5.02833591e2,1,7.21742802e1,7.21271045e1,7.20453940e1,7.19246634e1,7.17589094e1,7.15408743e1,7.12623649e1,0.037343,0.074746,0.112266,0.149956,0.187861,0.226018,0.264455
26,10503-1902,4.72768827e2,1,7.15870824e1,7.09104435e1,6.97998378e1,6.82803690e1,6.63860347e1,6.41586328e1,6.16464266e1,0.063319,0.126381,0.188928,0.250699,0.311426,0.370836,0.428649
27,9873-1902,4.31111723e2,1,6.42040215e1,6.37729313e1,6.30625811e1,6.20849793e1,6.08565596e1,5.93978137e1,5.77328366e1,0.061223,0.122276,0.182987,0.243183,0.302687,0.361320,0.418899
28,9873-3703,4.12829124e2,1,6.28834378e1,6.22140174e1,6.11225592e1,5.96443629e1,5.78267696e1,5.57271984e1,5.34107788e1,0.062180,0.123937,0.184848,0.244486,0.302424,0.358237,0.411507
29,12485-6103,4.01248945e2,1,5.73197146e1,5.73486907e1,5.73823769e1,5.74008684e1,5.73800559e1,5.72948206e1,5.71224176e1,0.027289,0.054775,0.082629,0.110965,0.139828,0.169185,0.198924
30,11004-6104,4.00345197e2,1,6.57418784e1,6.42107082e1,6.17446574e1,5.84667198e1,5.45378112e1,5.01464728e1,4.54969490e1,0.097864,0.194838,0.290001,0.382378,0.470907,0.554419,0.631626
31,8724-1901,3.95021770e2,1,5.81773029e1,5.78943989e1,5.74261652e1,5.67774620e1,5.59549954e1,5.49672212e1,5.38242242e1,0.073376,0.146684,0.219853,0.292814,0.365496,0.437825,0.509726
32,8315-1902,3.93040527e2,1,6.12389845e1,6.03521296e1,5.89126647e1,5.69766681e1,5.46190191e1,5.19299784e1,4.90110832e1,0.070018,0.139410,0.207542,0.273765,0.337405,0.397768,0.454144
33,8935-1902,3.79299260e2,1,5.70807044e1,5.66034276e1,5.58171427e1,5.47353606e1,5.33764974e1,5.17633951e1,4.99227318e1,0.075344,0.150546,0.225464,0.299952,0.373861,0.447041,0.519333
34,8626-1901,3.71737647e2,1,5.84153887e1,5.74856302e1,5.59787941e1,5.39566397e1,5.15010115e1,4.87095508e1,4.56906318e1,0.073681,0.146688,0.218337,0.287928,0.354736,0.418015,0.477001
35,9184-1902,3.68648597e2,1,5.70700418e1,5.63365505e1,5.51313041e1,5.34796611e1,5.14161396e1,4.89834701e1,4.62314298e1,0.102312,0.204500,0.306437,0.407988,0.509009,0.609342,0.708807
36,11979-1902,3.61081097e2,1,5.83178531e1,5.71033686e1,5.51512395e1,5.25641771e1,4.94757924e1,4.60413710e1,4.24272951e1,0.089043,0.177125,0.263269,0.346470,0.425682,0.499831,0.567834
37,8149-1902,3.47738151e2,1,5.37086156e1,5.30255828e1,5.19085897e1,5.03888840e1,4.85085601e1,4.63189910e1,4.38789283e1,0.074343,0.148323,0.221570,0.293705,0.364332,0.433033,0.499366
38,8449-1901,3.44275009e2,1,5.04455549e1,5.02385519e1,4.98969513e1,4.94257832e1,4.88319400e1,4.81240300e1,4.73121977e1,0.040395,0.080672,0.120716,0.160410,0.199638,0.238288,0.276248
39,9183-6102,3.34133991e2,1,5.24630088e1,5.16562214e1,5.03393540e1,4.85528438e1,4.63509019e1,4.37992516e1,4.09724091e1,0.077659,0.154927,0.231407,0.306684,0.380318,0.451835,0.520721
40,9025-12702,3.29759663e2,1,7.33250349e1,6.43066562e1,5.23291044e1,4.09131427e1,3.32396095e1,3.11331613e1,3.45129544e1,0.164990,0.313750,0.427220,0.483441,0.469068,0.409171,0.370360
41,8614-6103,3.26794225e2,1,4.69859740e1,4.69382457e1,4.68587822e1,4.67477089e1,4.66052011e1,4.64314835e1,4.62268298e1,0.029963,0.059924,0.089879,0.119827,0.149764,0.179688,0.209597
42,8934-3703,3.21520663e2,1,4.82908607e1,4.78895178e1,4.72339036e1,4.63434139e1,4.52441451e1,4.39678916e1,4.25509304e1,0.050041,0.099744,0.148769,0.196783,0.243455,0.288465,0.331504
43,7977-1901,3.11544761e2,1,4.83861224e1,4.77207255e1,4.66361835e1,4.51680837e1,4.33641191e1,4.12820808e1,3.89874459e1,0.071307,0.142129,0.211974,0.280335,0.346685,0.410473,0.471120
44,8990-6101,3.11375278e2,1,4.62110456e1,4.59286141e1,4.54621238e1,4.48178771e1,4.40046120e1,4.30334136e1,4.19175914e1,0.048396,0.096659,0.144654,0.192242,0.239281,0.285621,0.331104
45,11968-1902,3.08680091e2,1,5.04746858e1,4.93573696e1,4.75472363e1,4.51190628e1,4.21711535e1,3.88195096e1,3.51910734e1,0.111907,0.223299,0.333646,0.442390,0.548930,0.652602,0.752665
46,11942-3703,3.05807444e2,1,4.75170380e1,4.68685055e1,4.58077393e1,4.43641627e1,4.25774821e1,4.04962709e1,3.81762458e1,0.077438,0.154534,0.230939,0.306290,0.380202,0.452259,0.522011
47,9194-3701,3.04225688e2,1,4.35955948e1,4.35742406e1,4.35386825e1,4.34889690e1,4.34251677e1,4.33473654e1,4.32556676e1,0.019086,0.038168,0.057246,0.076315,0.095372,0.114416,0.133443
48,8092-1901,3.03040814e2,1,4.65402019e1,4.59618824e1,4.50295378e1,4.37877555e1,4.22938281e1,4.06132043e1,3.88144040e1,0.074387,0.148176,0.220788,0.291674,0.360340,0.426368,0.489444
49,8950-1902,2.97452315e2,1,4.32088742e1,4.30936228e1,4.29025460e1,4.26371439e1,4.22994902e1,4.18922069e1,4.14184313e1,0.041024,0.082006,0.122902,0.163669,0.204265,0.244648,0.284775
50,12506-9101,2.86569253e2,1,4.92268082e1,4.72986138e1,4.44142389e1,4.10073389e1,3.75758711e1,3.45972888e1,3.24490934e1,0.086613,0.169037,0.243158,0.305167,0.352133,0.382981,0.399651
51,11967-1902,2.82779843e2,1,4.12279191e1,4.10938352e1,4.08716629e1,4.05633393e1,4.01715476e1,3.96996895e1,3.91518490e1,0.037929,0.075794,0.113527,0.151065,0.188340,0.225286,0.261834
52,8326-3704,2.80947066e2,1,4.31355277e1,4.25974803e1,4.17318193e1,4.05824374e1,3.92056028e1,3.76654135e1,3.60287852e1,0.052939,0.105194,0.156101,0.205027,0.251398,0.294722,0.334612
53,12087-1902,2.79548073e2,1,4.11609004e1,4.09546221e1,4.06167048e1,4.01557459e1,3.95833457e1,3.89136930e1,3.81630608e1,0.053189,0.106179,0.158772,0.210776,0.262008,0.312299,0.361493
54,12073-12705,2.73776445e2,1,3.92987561e1,3.92681943e1,3.92176659e1,3.91477750e1,3.90593519e1,3.89534375e1,3.88312644e1,0.020536,0.041050,0.061521,0.081930,0.102255,0.122478,0.142584
55,9867-1902,2.66654300e2,1,3.86596183e1,3.85685128e1,3.84174406e1,3.82075455e1,3.79404069e1,3.76180180e1,3.72427579e1,0.058860,0.117696,0.176485,0.235202,0.293826,0.352333,0.410703
56,7957-1901,2.66171344e2,1,4.04956781e1,4.00788773e1,3.93964102e1,3.84661550e1,3.73123103e1,3.59646017e1,3.44573108e1,0.068526,0.136715,0.204228,0.270718,0.335829,0.399195,0.460436
57,8611-3703,2.65726963e2,1,4.01664574e1,3.97688187e1,3.91295598e1,3.82822414e1,3.72706693e1,3.61459782e1,3.49632377e1,0.055671,0.110747,0.164648,0.216827,0.266791,0.314127,0.358533
58,9042-3704,2.65387009e2,1,3.89065272e1,3.87438137e1,3.84752320e1,3.81046320e1,3.76372822e1,3.70797526e1,3.64397693e1,0.043517,0.086931,0.130139,0.173038,0.215527,0.257509,0.298887
59,8082-1902,2.61464584e2,1,3.83421196e1,3.81810696e1,3.79147862e1,3.75464297e1,3.70803465e1,3.65219929e1,3.58778396e1,0.065716,0.131356,0.196844,0.262104,0.327060,0.391637,0.455758
60,11015-1902,2.60984070e2,1,3.78528105e1,3.77614120e1,3.76097515e1,3.73988277e1,3.71300240e1,3.68050951e1,3.64261488e1,0.076088,0.152146,0.228143,0.304050,0.379836,0.455471,0.530924
61,9028-6102,2.58543137e2,1,3.71093590e1,3.70816724e1,3.70355787e1,3.69711539e1,3.68885042e1,3.67877654e1,3.66691031e1,0.025646,0.051288,0.076920,0.102538,0.128138,0.153714,0.179261
62,8601-1901,2.56510254e2,1,3.77598137e1,3.75800837e1,3.72821486e1,3.68684099e1,3.63421884e1,3.57076841e1,3.49699254e1,0.061024,0.122018,0.182954,0.243802,0.304531,0.365110,0.425508
63,12674-1902,2.50907497e2,1,3.73589189e1,3.71128568e1,3.67058399e1,3.61424461e1,3.54289815e1,3.45733794e1,3.35850747e1,0.077935,0.155834,0.233660,0.311377,0.388946,0.466327,0.543481
64,9497-1902,2.48350956e2,1,4.27136350e1,4.13623803e1,3.92110656e1,3.64022099e1,3.31188425e1,2.95697797e1,2.59730432e1,0.110192,0.218912,0.324612,0.425597,0.519952,0.605482,0.679700
65,9890-3702,2.47907740e2,1,3.55863883e1,3.55590950e1,3.55137374e1,3.54505114e1,3.53696887e1,3.52716145e1,3.51567046e1,0.021237,0.042463,0.063668,0.084841,0.105971,0.127048,0.148062
66,8332-1902,2.47676893e2,1,3.55183668e1,3.54968463e1,3.54610029e1,3.54108725e1,3.53465054e1,3.52679661e1,3.51753333e1,0.021383,0.042764,0.064143,0.085517,0.106886,0.128247,0.149600
67,9030-3701,2.38409430e2,1,3.46476562e1,3.45533153e1,3.43966419e1,3.41785002e1,3.39001409e1,3.35632392e1,3.31699366e1,0.032995,0.065940,0.098784,0.131476,0.163960,0.196179,0.228069
68,12073-6104,2.35753003e2,1,3.44661791e1,3.43470362e1,3.41453201e1,3.38572562e1,3.34792813e1,3.30094068e1,3.24485234e1,0.052122,0.104261,0.156421,0.208568,0.260629,0.312486,0.363977
69,8138-3703,2.34577370e2,1,3.46109196e1,3.44294196e1,3.41304876e1,3.37193766e1,3.32032466e1,3.25909780e1,3.18929423e1,0.038998,0.077838,0.116362,0.154414,0.191838,0.228482,0.264195
70,8141-1902,2.32799759e2,1,3.46136689e1,3.43916628e1,3.40251873e1,3.35194685e1,3.28816740e1,3.21207677e1,3.12473294e1,0.063895,0.127672,0.191209,0.254385,0.317077,0.379158,0.440496
71,10494-1902,2.26283595e2,0,3.34614596e1,3.32764550e1,3.29707079e1,3.25480650e1,3.20138229e1,3.13746428e1,3.06384416e1,0.063871,0.127635,0.191187,0.254417,0.317216,0.379469,0.441061
72,12485-3701,2.25040102e2,0,3.36251845e1,3.33669118e1,3.29482347e1,3.23861490e1,3.17031504e1,3.09260283e1,3.00844438e1,0.048208,0.096009,0.143003,0.188808,0.233070,0.275475,0.315764
73,8095-1901,2.24716698e2,0,3.57894448e1,3.51626327e1,3.41385345e1,3.27471979e1,3.10290570e1,2.90333880e1,2.68164428e1,0.129699,0.259155,0.388115,0.516309,0.643435,0.769152,0.893057
74,10001-1902,2.24484413e2,0,3.29511705e1,3.28084146e1,3.25720604e1,3.22444427e1,3.18287844e1,3.13291502e1,3.07503901e1,0.049171,0.098273,0.147235,0.195986,0.244457,0.292573,0.340263
75,11014-1902,2.22450080e2,0,3.29754928e1,3.27773188e1,3.24512097e1,3.20033236e1,3.14420587e1,3.07778372e1,3.00228392e1,0.054209,0.108243,0.161929,0.215093,0.267562,0.319163,0.369727
76,8153-1902,2.20960544e2,0,3.40989845e1,3.36410191e1,3.29056055e1,3.19322546e1,3.07719263e1,2.94831430e1,2.81276110e1,0.069013,0.137254,0.203965,0.268420,0.329946,0.387953,0.441973
77,8321-6102,2.19431976e2,0,3.42779775e1,3.37456012e1,3.28917159e1,3.17637602e1,3.04230366e1,2.89401343e1,2.73897499e1,0.073231,0.145587,0.216200,0.284224,0.348852,0.409351,0.465105
78,8710-1902,2.11955249e2,0,3.22413522e1,3.19174808e1,3.13840839e1,3.06505884e1,2.97298829e1,2.86380191e1,2.73938413e1,0.101137,0.202138,0.302865,0.403175,0.502916,0.601925,0.700024
79,8562-1902,2.06079913e2,0,3.00661006e1,2.99652630e1,2.97980878e1,2.95658945e1,2.92705073e1,2.89142320e1,2.84998278e1,0.059466,0.118894,0.178247,0.237486,0.296575,0.355473,0.414145
80,12506-3702,2.05473222e2,0,3.16009496e1,3.12199193e1,3.05969567e1,2.97496700e1,2.87016902e1,2.74817094e1,2.61223274e1,0.088656,0.176988,0.264667,0.351361,0.436727,0.520414,0.602060
81,8931-1902,2.01489174e2,0,3.00099968e1,2.98042966e1,2.94670107e1,2.90062907e1,2.84332134e1,2.77614579e1,2.70069082e1,0.047874,0.095492,0.142595,0.188929,0.234237,0.278269,0.320777
82,11975-1901,2.01104578e2,0,2.94185537e1,2.93127545e1,2.91347917e1,2.88825183e1,2.85534942e1,2.81454811e1,2.76569848e1,0.054991,0.109996,0.165022,0.220059,0.275078,0.330019,0.384797
83,8462-1901,2.00188030e2,0,3.07664153e1,3.04045293e1,2.98103016e1,2.89968443e1,2.79820000e1,2.67878472e1,2.54400925e1,0.070735,0.141210,0.211159,0.280305,0.348355,0.414994,0.479874
84,12696-1901,1.99972493e2,0,2.87265156e1,2.87013155e1,2.86593562e1,2.86006991e1,2.85254299e1,2.84336584e1,2.83255184e1,0.031341,0.062682,0.094020,0.125355,0.156685,0.188010,0.219329
85,8449-3704,1.96681032e2,0,2.95255436e1,2.92841592e1,2.88892914e1,2.83516728e1,2.76855087e1,2.69077292e1,2.60371266e1,0.084164,0.168100,0.251587,0.334409,0.416368,0.497282,0.576993
86,11006-9101,1.94517656e2,0,2.85210893e1,2.84024679e1,2.82060723e1,2.79338437e1,2.75884615e1,2.71733067e1,2.66924146e1,0.041838,0.083606,0.125230,0.166640,0.207762,0.248523,0.288848
87,8937-3702,1.88805727e2,0,3.17067385e1,3.08194524e1,2.94096973e1,2.75734005e1,2.54305667e1,2.31132097e1,2.07526617e1,0.103280,0.205187,0.304330,0.399290,0.488618,0.570863,0.644628
88,10519-1902,1.85366077e2,0,2.79752552e1,2.77272165e1,2.73193267e1,2.67596882e1,2.60593315e1,2.52319133e1,2.42933454e1,0.061368,0.122524,0.183255,0.243344,0.302568,0.360695,0.417486
89,8953-3702,1.84963240e2,0,3.34738545e1,3.21087772e1,2.99579372e1,2.71942308e1,2.40342639e1,2.07164860e1,1.74776901e1,0.119631,0.237335,0.351054,0.458471,0.556860,0.642959,0.712908
90,8984-3701,1.80962678e2,0,2.99089771e1,2.91706055e1,2.79868365e1,2.64242383e1,2.45689113e1,2.25201105e1,2.03829991e1,0.107037,0.213026,0.316887,0.417487,0.513612,0.603963,0.687167
91,9877-1902,1.80080972e2,0,3.00251881e1,2.92820082e1,2.80731703e1,2.64420340e1,2.44467006e1,2.21575564e1,1.96543141e1,0.146005,0.291940,0.437730,0.583290,0.728519,0.873292,1.017447
92,8938-1901,1.78387289e2,0,2.66516062e1,2.64597405e1,2.61433503e1,2.57074454e1,2.51589026e1,2.45063323e1,2.37599115e1,0.058805,0.117451,0.175777,0.233617,0.290803,0.347158,0.402498
93,8603-1901,1.77302358e2,0,2.81861343e1,2.77037043e1,2.69140296e1,2.58381443e1,2.45044604e1,2.29477814e1,2.12081041e1,0.124433,0.248873,0.373328,0.497808,0.622326,0.746900,0.871556
94,8336-1901,1.76921613e2,0,2.69826306e1,2.66965914e1,2.62273520e1,2.55858892e1,2.47870551e1,2.38490867e1,2.27930077e1,0.086738,0.173232,0.259236,0.344500,0.428763,0.511757,0.593201
95,10492-3701,1.75842364e2,0,2.82240652e1,2.76635503e1,2.67626027e1,2.55689782e1,2.41454534e1,2.25660581e1,2.09116565e1,0.077834,0.154639,0.229365,0.300920,0.368163,0.429903,0.484936
96,8990-6103,1.74488460e2,0,2.98849712e1,2.89962363e1,2.75654255e1,2.56644894e1,2.33871270e1,2.08424504e1,1.81477605e1,0.135819,0.271055,0.405094,0.537259,0.666768,0.792682,0.913831
97,8546-3702,1.73160689e2,0,2.53173407e1,2.52190871e1,2.50584124e1,2.48398031e1,2.45692767e1,2.42541304e1,2.39026384e1,0.052693,0.105232,0.157469,0.209263,0.260485,0.311024,0.360789
98,8309-3704,1.71389272e2,0,2.56174004e1,2.54319541e1,2.51258158e1,2.47033409e1,2.41705212e1,2.35348829e1,2.28053563e1,0.057913,0.115690,0.173193,0.230282,0.286810,0.342624,0.397562
99,9893-9101,1.69814398e2,0,2.55564010e1,2.53326361e1,2.49685262e1,2.44768636e1,2.38746742e1,2.31823953e1,2.24229016e1,0.046107,0.091810,0.136706,0.180405,0.222529,0.262724,0.300667
100,12772-1902,1.65235276e2,0,2.43614458e1,2.42388422e1,2.40359294e1,2.37548251e1,2.33984493e1,2.29704810e1,2.24753032e1,0.052398,0.104720,0.156892,0.208837,0.260478,0.311734,0.362525
101,8615-3702,1.64276712e2,0,2.35661988e1,2.35509215e1,2.35253641e1,2.34893851e1,2.34427896e1,2.33853322e1,2.33167209e1,0.032626,0.065267,0.097938,0.130652,0.163425,0.196269,0.229198
102,9189-6103,1.62878405e2,0,2.60889055e1,2.56099462e1,2.48271586e1,2.37631524e1,2.24483939e1,2.09200790e1,1.92207690e1,0.118210,0.236233,0.353879,0.470938,0.587184,0.702353,0.816136
103,8612-1901,1.60550172e2,0,2.32344948e1,2.31868904e1,2.31077423e1,2.29973383e1,2.28560792e1,2.26844765e1,2.24831503e1,0.039757,0.079503,0.119229,0.158923,0.198575,0.238173,0.277708
104,11015-6102,1.59335439e2,0,2.80083081e1,2.70539681e1,2.55238267e1,2.35036928e1,2.11044725e1,1.84539118e1,1.56872595e1,0.164577,0.328656,0.491706,0.653119,0.812166,0.967925,1.119180
105,11948-3703,1.59249340e2,0,2.85166269e1,2.74234916e1,2.56913048e1,2.34452587e1,2.08429936e1,1.80594067e1,1.52702579e1,0.145301,0.289219,0.430287,0.566863,0.697028,0.818477,0.928407
106,12506-9102,1.59023230e2,0,2.66999190e1,2.59322028e1,2.47214901e1,2.31632449e1,2.13765887e1,1.94919351e1,1.76378491e1,0.099519,0.197295,0.291560,0.380512,0.462341,0.535312,0.597936
107,11943-6101,1.58813045e2,0,2.50009623e1,2.45842693e1,2.39141487e1,2.30255082e1,2.19640315e1,2.07832195e1,1.95409056e1,0.063195,0.125518,0.186096,0.244049,0.298509,0.348631,0.393646
108,9192-6103,1.58517008e2,0,2.28248510e1,2.27960200e1,2.27481827e1,2.26816581e1,2.25968887e1,2.24944353e1,2.23749721e1,0.021091,0.042157,0.063174,0.084116,0.104960,0.125682,0.146259
109,9042-3703,1.55814265e2,0,2.28761331e1,2.27762772e1,2.26109481e1,2.23817763e1,2.20910125e1,2.17414972e1,2.13366211e1,0.048132,0.096197,0.144127,0.191854,0.239309,0.286423,0.333123
110,12514-1901,1.55667212e2,0,2.34953342e1,2.32890109e1,2.29486782e1,2.24795701e1,2.18888656e1,2.11855447e1,2.03802083e1,0.087629,0.175145,0.262431,0.349368,0.435832,0.521688,0.606795
111,8140-3703,1.53816585e2,0,2.50046728e1,2.44559198e1,2.35749594e1,2.24095785e1,2.10216035e1,1.94823543e1,1.78674966e1,0.112717,0.224456,0.334222,0.440989,0.543695,0.641241,0.732523
112,8710-3701,1.53172107e2,0,2.34833550e1,2.32163472e1,2.27777864e1,2.21771485e1,2.14273015e1,2.05441249e1,1.95460432e1,0.088951,0.177690,0.266001,0.353661,0.440435,0.526074,0.610307
113,11960-1902,1.52554456e2,0,2.27479509e1,2.25827773e1,2.23143209e1,2.19523915e1,2.15098740e1,2.10019499e1,2.04451911e1,0.072986,0.145660,0.217718,0.288876,0.358879,0.427511,0.494605
114,9036-3702,1.51221146e2,0,2.17480734e1,2.17249630e1,2.16865379e1,2.16329360e1,2.15643496e1,2.14810251e1,2.13832614e1,0.021510,0.043007,0.064476,0.085903,0.107275,0.128578,0.149798
115,11011-1901,1.50347051e2,0,2.19052674e1,2.18348028e1,2.17187385e1,2.15591019e1,2.13586577e1,2.11208363e1,2.08496463e1,0.061902,0.123707,0.185320,0.246649,0.307603,0.368099,0.428059
116,8321-1901,1.49581977e2,0,2.49938380e1,2.43463523e1,2.33026546e1,2.19136621e1,2.02463082e1,1.83795381e1,1.63996235e1,0.099567,0.198262,0.295173,0.389303,0.479522,0.564515,0.642723
117,10504-1901,1.49023801e2,0,2.33592610e1,2.30114810e1,2.24414197e1,2.16631204e1,2.06956248e1,1.95623802e1,1.82905143e1,0.088629,0.177030,0.264972,0.352207,0.438466,0.523451,0.606822
118,9187-1902,1.47742504e2,0,2.15976222e1,2.15192885e1,2.13890446e1,2.12073660e1,2.09749321e1,2.06926387e1,2.03616124e1,0.068042,0.136088,0.204143,0.272207,0.340284,0.408372,0.476469
119,12511-1902,1.46742402e2,0,2.23691228e1,2.21258841e1,2.17305028e1,2.11973766e1,2.05454533e1,1.97971242e1,1.89769379e1,0.097746,0.195079,0.291591,0.386887,0.480588,0.572348,0.661858
120,12090-1902,1.46669977e2,0,2.26398241e1,2.23295081e1,2.18337470e1,2.11826161e1,2.04142952e1,1.95716310e1,1.86983551e1,0.077223,0.153620,0.228390,0.300788,0.370161,0.435989,0.497940
121,8935-1901,1.45829685e2,0,2.29777291e1,2.26163684e1,2.20245378e1,2.12174957e1,2.02158273e1,1.90447088e1,1.77330179e1,0.135320,0.270659,0.406042,0.541492,0.677041,0.812730,0.948610
122,11014-1901,1.45275230e2,0,2.18983208e1,2.17098858e1,2.13993371e1,2.09718329e1,2.04343872e1,1.97956743e1,1.90657920e1,0.085603,0.171090,0.256347,0.341256,0.425699,0.509555,0.592699
123,7957-1902,1.44998127e2,0,2.14871254e1,2.13614602e1,2.11536421e1,2.08660749e1,2.05020615e1,2.00657423e1,1.95620201e1,0.127215,0.254422,0.381611,0.508773,0.635899,0.762976,0.889993
124,8456-1901,1.44670409e2,0,2.17025434e1,2.15335617e1,2.12544114e1,2.08687737e1,2.03817082e1,1.97995609e1,1.91298502e1,0.105298,0.210546,0.315693,0.420687,0.525472,0.629992,0.734182
125,9183-1901,1.44650368e2,0,2.28114474e1,2.24473032e1,2.18519837e1,2.10424005e1,2.00413110e1,1.88764490e1,1.75794735e1,0.127520,0.254809,0.381626,0.507719,0.632811,0.756596,0.878723
126,11863-6104,1.44412028e2,0,2.08615812e1,2.08270759e1,2.07685803e1,2.06847122e1,2.05737254e1,2.04336841e1,2.02626685e1,0.034350,0.068721,0.103129,0.137583,0.172077,0.206589,0.241078
127,8335-1902,1.43063969e2,0,2.13556204e1,2.12056762e1,2.09580300e1,2.06160311e1,2.01842852e1,1.96685738e1,1.90757524e1,0.067717,0.135321,0.202697,0.269727,0.336289,0.402258,0.467500
