x,delta_nfw,delta_dc14,delta_nfw_err,delta_dc14_err,n_contributing
3.555276,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.603015,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.650754,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.698492,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.746231,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.793970,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.841709,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.889447,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.937186,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
3.984925,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.032663,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.080402,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.128141,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.175879,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.223618,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.271357,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.319095,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.366834,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.414573,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.462312,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.510050,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.557789,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.605528,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.653266,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.701005,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.748744,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.796482,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.844221,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.891960,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.939698,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
4.987437,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.035176,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.082915,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.130653,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.178392,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.226131,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.273869,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.321608,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.369347,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.417085,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.464824,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.512563,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.560302,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.608040,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.655779,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.703518,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.751256,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.798995,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.846734,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.894472,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.942211,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
5.989950,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.037688,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.085427,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.133166,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.180905,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.228643,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.276382,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.324121,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.371859,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.419598,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.467337,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.515075,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.562814,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.610553,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.658291,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.706030,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.753769,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.801508,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.849246,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.896985,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.944724,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
6.992462,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.040201,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.087940,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.135678,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.183417,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.231156,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.278894,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.326633,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.374372,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.422111,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.469849,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.517588,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.565327,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.613065,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.660804,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.708543,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.756281,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.804020,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.851759,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.899497,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.947236,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
7.994975,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.042714,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.090452,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.138191,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.185930,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.233668,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.281407,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.329146,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.376884,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.424623,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.472362,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.520101,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.567839,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.615578,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.663317,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.711055,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.758794,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.806533,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.854271,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.902010,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.949749,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
8.997487,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.045226,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.092965,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.140704,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.188442,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.236181,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.283920,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.331658,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.379397,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.427136,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.474874,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.522613,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.570352,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.618090,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.665829,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.713568,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.761307,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.809045,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.856784,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.904523,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
9.952261,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
10.000000,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0
