x,delta_nfw,delta_corrected,correction,n_contributing
3.603015,0.00000000e0,-1.08420187e1,1.08420187e1,0
3.650754,0.00000000e0,-1.12182974e1,1.12182974e1,0
3.698492,0.00000000e0,-1.16009528e1,1.16009528e1,0
3.746231,0.00000000e0,-1.19899848e1,1.19899848e1,0
3.793970,0.00000000e0,-1.23853935e1,1.23853935e1,0
3.841709,0.00000000e0,-1.27871788e1,1.27871788e1,0
3.889447,0.00000000e0,-1.31953408e1,1.31953408e1,0
3.937186,0.00000000e0,-1.36098794e1,1.36098794e1,0
3.984925,0.00000000e0,-1.40307947e1,1.40307947e1,0
4.032663,0.00000000e0,-1.44580866e1,1.44580866e1,0
4.080402,0.00000000e0,-1.48917552e1,1.48917552e1,0
4.128141,0.00000000e0,-1.53318005e1,1.53318005e1,0
4.175879,0.00000000e0,-1.57782224e1,1.57782224e1,0
4.223618,0.00000000e0,-1.62310210e1,1.62310210e1,0
4.271357,0.00000000e0,-1.66901962e1,1.66901962e1,0
4.319095,0.00000000e0,-1.71557480e1,1.71557480e1,0
4.366834,0.00000000e0,-1.76276765e1,1.76276765e1,0
4.414573,0.00000000e0,-1.81059817e1,1.81059817e1,0
4.462312,0.00000000e0,-1.85906636e1,1.85906636e1,0
4.510050,0.00000000e0,-1.90817220e1,1.90817220e1,0
4.557789,0.00000000e0,-1.95791572e1,1.95791572e1,0
4.605528,0.00000000e0,-2.00829690e1,2.00829690e1,0
4.653266,0.00000000e0,-2.05931574e1,2.05931574e1,0
4.701005,0.00000000e0,-2.11097225e1,2.11097225e1,0
4.748744,0.00000000e0,-2.16326642e1,2.16326642e1,0
4.796482,0.00000000e0,-2.21619826e1,2.21619826e1,0
4.844221,0.00000000e0,-2.26976777e1,2.26976777e1,0
4.891960,0.00000000e0,-2.32397494e1,2.32397494e1,0
4.939698,0.00000000e0,-2.37881978e1,2.37881978e1,0
4.987437,0.00000000e0,-2.43430228e1,2.43430228e1,0
5.035176,0.00000000e0,-2.49042245e1,2.49042245e1,0
5.082915,0.00000000e0,-2.54718028e1,2.54718028e1,0
5.130653,0.00000000e0,-2.60457578e1,2.60457578e1,0
5.178392,0.00000000e0,-2.66260894e1,2.66260894e1,0
5.226131,0.00000000e0,-2.72127977e1,2.72127977e1,0
5.273869,0.00000000e0,-2.78058826e1,2.78058826e1,0
5.321608,0.00000000e0,-2.84053442e1,2.84053442e1,0
5.369347,0.00000000e0,-2.90111825e1,2.90111825e1,0
5.417085,0.00000000e0,-2.96233974e1,2.96233974e1,0
5.464824,0.00000000e0,-3.02419890e1,3.02419890e1,0
5.512563,0.00000000e0,-3.08669572e1,3.08669572e1,0
5.560302,0.00000000e0,-3.14983020e1,3.14983020e1,0
5.608040,0.00000000e0,-3.21360236e1,3.21360236e1,0
5.655779,0.00000000e0,-3.27801217e1,3.27801217e1,0
5.703518,0.00000000e0,-3.34305965e1,3.34305965e1,0
5.751256,0.00000000e0,-3.40874480e1,3.40874480e1,0
5.798995,0.00000000e0,-3.47506762e1,3.47506762e1,0
5.846734,0.00000000e0,-3.54202810e1,3.54202810e1,0
5.894472,0.00000000e0,-3.60962624e1,3.60962624e1,0
5.942211,0.00000000e0,-3.67786205e1,3.67786205e1,0
5.989950,0.00000000e0,-3.74673552e1,3.74673552e1,0
6.037688,0.00000000e0,-3.81624666e1,3.81624666e1,0
6.085427,0.00000000e0,-3.88639547e1,3.88639547e1,0
6.133166,0.00000000e0,-3.95718194e1,3.95718194e1,0
6.180905,0.00000000e0,-4.02860608e1,4.02860608e1,0
6.228643,0.00000000e0,-4.10066788e1,4.10066788e1,0
6.276382,0.00000000e0,-4.17336735e1,4.17336735e1,0
6.324121,0.00000000e0,-4.24670448e1,4.24670448e1,0
6.371859,0.00000000e0,-4.32067928e1,4.32067928e1,0
6.419598,0.00000000e0,-4.39529174e1,4.39529174e1,0
6.467337,0.00000000e0,-4.47054187e1,4.47054187e1,0
6.515075,0.00000000e0,-4.54642966e1,4.54642966e1,0
6.562814,0.00000000e0,-4.62295512e1,4.62295512e1,0
6.610553,0.00000000e0,-4.70011825e1,4.70011825e1,0
6.658291,0.00000000e0,-4.77791904e1,4.77791904e1,0
6.706030,0.00000000e0,-4.85635749e1,4.85635749e1,0
6.753769,0.00000000e0,-4.93543361e1,4.93543361e1,0
6.801508,0.00000000e0,-5.01514740e1,5.01514740e1,0
6.849246,0.00000000e0,-5.09549885e1,5.09549885e1,0
6.896985,0.00000000e0,-5.17648797e1,5.17648797e1,0
6.944724,0.00000000e0,-5.25811475e1,5.25811475e1,0
6.992462,0.00000000e0,-5.34037920e1,5.34037920e1,0
7.040201,0.00000000e0,-5.42328131e1,5.42328131e1,0
7.087940,0.00000000e0,-5.50682109e1,5.50682109e1,0
7.135678,0.00000000e0,-5.59099854e1,5.59099854e1,0
7.183417,0.00000000e0,-5.67581365e1,5.67581365e1,0
7.231156,0.00000000e0,-5.76126642e1,5.76126642e1,0
7.278894,0.00000000e0,-5.84735686e1,5.84735686e1,0
7.326633,0.00000000e0,-5.93408497e1,5.93408497e1,0
7.374372,0.00000000e0,-6.02145074e1,6.02145074e1,0
7.422111,0.00000000e0,-6.10945417e1,6.10945417e1,0
7.469849,0.00000000e0,-6.19809528e1,6.19809528e1,0
7.517588,0.00000000e0,-6.28737404e1,6.28737404e1,0
7.565327,0.00000000e0,-6.37729048e1,6.37729048e1,0
7.613065,0.00000000e0,-6.46784457e1,6.46784457e1,0
7.660804,0.00000000e0,-6.55903634e1,6.55903634e1,0
7.708543,0.00000000e0,-6.65086577e1,6.65086577e1,0
7.756281,0.00000000e0,-6.74333286e1,6.74333286e1,0
7.804020,0.00000000e0,-6.83643762e1,6.83643762e1,0
7.851759,0.00000000e0,-6.93018004e1,6.93018004e1,0
7.899497,0.00000000e0,-7.02456013e1,7.02456013e1,0
7.947236,0.00000000e0,-7.11957789e1,7.11957789e1,0
7.994975,0.00000000e0,-7.21523331e1,7.21523331e1,0
8.042714,0.00000000e0,-7.31152640e1,7.31152640e1,0
8.090452,0.00000000e0,-7.40845715e1,7.40845715e1,0
8.138191,0.00000000e0,-7.50602557e1,7.50602557e1,0
8.185930,0.00000000e0,-7.60423165e1,7.60423165e1,0
8.233668,0.00000000e0,-7.70307540e1,7.70307540e1,0
8.281407,0.00000000e0,-7.80255681e1,7.80255681e1,0
8.329146,0.00000000e0,-7.90267589e1,7.90267589e1,0
8.376884,0.00000000e0,-8.00343263e1,8.00343263e1,0
8.424623,0.00000000e0,-8.10482704e1,8.10482704e1,0
8.472362,0.00000000e0,-8.20685912e1,8.20685912e1,0
8.520101,0.00000000e0,-8.30952886e1,8.30952886e1,0
8.567839,0.00000000e0,-8.41283626e1,8.41283626e1,0
8.615578,0.00000000e0,-8.51678133e1,8.51678133e1,0
8.663317,0.00000000e0,-8.62136407e1,8.62136407e1,0
8.711055,0.00000000e0,-8.72658447e1,8.72658447e1,0
8.758794,0.00000000e0,-8.83244254e1,8.83244254e1,0
8.806533,0.00000000e0,-8.93893827e1,8.93893827e1,0
8.854271,0.00000000e0,-9.04607167e1,9.04607167e1,0
8.902010,0.00000000e0,-9.15384273e1,9.15384273e1,0
8.949749,0.00000000e0,-9.26225146e1,9.26225146e1,0
8.997487,0.00000000e0,-9.37129785e1,9.37129785e1,0
9.045226,0.00000000e0,-9.48098191e1,9.48098191e1,0
9.092965,0.00000000e0,-9.59130364e1,9.59130364e1,0
9.140704,0.00000000e0,-9.70226303e1,9.70226303e1,0
9.188442,0.00000000e0,-9.81386008e1,9.81386008e1,0
9.236181,0.00000000e0,-9.92609480e1,9.92609480e1,0
9.283920,0.00000000e0,-1.00389672e2,1.00389672e2,0
9.331658,0.00000000e0,-1.01524772e2,1.01524772e2,0
9.379397,0.00000000e0,-1.02666250e2,1.02666250e2,0
9.427136,0.00000000e0,-1.03814103e2,1.03814103e2,0
9.474874,0.00000000e0,-1.04968334e2,1.04968334e2,0
9.522613,0.00000000e0,-1.06128941e2,1.06128941e2,0
9.570352,0.00000000e0,-1.07295925e2,1.07295925e2,0
9.618090,0.00000000e0,-1.08469285e2,1.08469285e2,0
9.665829,0.00000000e0,-1.09649022e2,1.09649022e2,0
9.713568,0.00000000e0,-1.10835136e2,1.10835136e2,0
9.761307,0.00000000e0,-1.12027626e2,1.12027626e2,0
9.809045,0.00000000e0,-1.13226494e2,1.13226494e2,0
9.856784,0.00000000e0,-1.14431737e2,1.14431737e2,0
9.904523,0.00000000e0,-1.15643358e2,1.15643358e2,0
9.952261,0.00000000e0,-1.16861355e2,1.16861355e2,0
10.000000,0.00000000e0,-1.18085728e2,1.18085728e2,0
