z,ra,dec,bestObjID
0.1020418,177.2698,45.050052,1237661851467055395
0.1020845,11.099089,1.914313,1237678596484694086
0.1021148,251.12612,24.957872,1237661465456738651
0.1021172,223.44865,21.455207,1237665548356419643
0.1021305,140.06187,7.5013233,1237660412650848559
0.1021888,166.47764,5.2276058,1237654602107453594
0.1022035,11.182748,21.217457,1237679540819460154
0.1022283,172.85169,34.503372,1237665128539553997
0.1022303,142.00851,50.093804,1237657634872885401
0.1022453,189.31013,65.283447,1237654876434858154
0.102256,135.33157,2.4950476,1237654600483209531
0.1023378,143.96261,53.986806,1237654654182162456
0.1023437,180.56362,25.87971,1237667912738996281
0.1023661,353.16906,14.291143,1237672766056300665
0.1023856,227.06044,18.470053,1237665565538648158
0.1023871,126.09051,31.12269,1237658191610904801
0.102402,195.67304,4.1274102,1237655124477280281
0.1024374,216.13971,18.614562,1237667733984837704
0.102508,172.10525,7.180649,1237658423559061533
0.1025109,175.6884,44.171575,1237661850392789002
0.1025147,236.89877,11.550562,1237668350292918542
0.1025316,17.962495,31.54927,1237680310699032878
0.1025468,349.65375,30.810239,1237680327342555450
0.1025553,159.10869,26.026569,1237667324320612518
0.1025585,171.26062,22.861796,1237667783902953562
0.1025858,11.899841,20.423315,1237679504323772578
0.1026439,140.45486,31.200571,1237664668966322239
0.1027043,130.25401,25.835487,1237664668424863898
0.1027463,238.64481,10.239835,1237662638522236986
0.1027759,170.28578,53.855859,1237658801497374731
0.10279,175.19231,42.711109,1237661967963848801
0.1027947,126.21728,5.9051782,1237660413181689987
0.1028201,0.5123242,-10.510551,1237652946915229748
0.1028808,112.30111,41.097616,1237673706114121926
0.1029109,125.83449,4.7166821,1237658300593537487
0.1029236,170.83969,22.938398,1237667736650645647
0.1030224,241.68884,9.1114287,1237662637986742356
0.1030373,168.42173,37.370542,1237664339323846840
0.1030621,161.64874,1.8679403,1237651735748935760
0.1030937,160.16001,37.542495,1237664668973924418
0.1030941,217.62591,-0.18752293,1237648721247207679
0.103131,145.63146,48.622188,1237657591386276151
0.1032136,253.31274,23.828602,1237662474236199477
0.1032266,201.82157,52.833303,1237658916386898073
0.103319,154.81359,51.76883,1237657591389225056
0.1033441,190.9262,65.432001,1237654610679890071
0.1034205,175.31933,10.474422,1237658493351100507
0.1034309,15.317672,-10.794177,1237652946384781378
0.1034701,167.13335,19.857848,1237667916486738122
0.1034894,189.97567,7.6982984,1237661976012455988
0.1035132,160.18752,26.049973,1237667431175749682
0.1035262,201.43125,0.69557251,1237648722313871478
0.1035556,339.407,18.763158,1237666186174202251
0.103571,146.00148,28.874153,1237665098465018081
0.1035943,150.4825,5.9037155,1237658298993672253
0.1036019,228.82735,31.493765,1237662663212073270
0.1036028,132.69429,13.669533,1237667730198954207
0.1037444,347.20075,-10.561596,1237653436008169578
0.1037654,154.77707,-0.35650228,1237654669737656587
0.1038685,189.4639,7.215551,1237661971187499037
0.1038784,211.3253,17.820691,1237668297678127255
0.1038913,348.82116,18.470706,1237672763906326655
0.1039666,196.8705,56.521347,1237661417134620790
0.1039815,219.69809,-0.13483641,1237648721248124995
0.103993,217.19464,17.398086,1237668272441524374
0.1040085,181.29101,22.55573,1237667782833275030
0.1040156,133.71114,14.015683,1237667730199412962
0.1040224,167.92895,28.190728,1237667210522853434
0.1040709,175.14161,10.763714,1237658493887905947
0.1040794,197.75429,11.133672,1237661815488774255
0.1040888,167.85729,19.753014,1237668294446219428
0.1041567,208.26648,34.846653,1237664672720552140
0.1041975,40.342763,0.76064358,1237657587097731819
0.1042021,154.29814,8.5510366,1237660583908278462
0.1042485,162.16876,54.217309,1237657219875602580
0.104257,139.31249,28.141172,1237664878874918936
0.1042611,158.49637,52.179908,1237658802031034404
0.1042794,217.03255,23.622994,1237665531713159198
0.1042868,238.88677,33.438831,1237662337328218118
0.104296,191.85989,7.0902958,1237661971188547629
0.1043216,130.58383,7.9384406,1237664285097066830
0.1043482,166.50214,19.907582,1237668294982565897
0.1044022,167.77077,1.4754785,1237654028716277873
0.1044081,189.85281,21.613554,1237667781763006538
0.1044289,253.0472,28.568458,1237666227490586649
0.1044374,198.92131,18.18531,1237668625702584486
0.1044767,0.384743189999995,24.041767,1237666308022141220
0.1045295,143.13555,39.15057,1237660343935762556
0.1045442,121.02438,35.406906,1237674368067830139
0.104567,163.85655,48.492115,1237658613589999768
0.1046958,163.02017,21.200588,1237667782825803822
0.1047547,184.95018,42.31902,1237662194526519399
0.104757,220.521,54.984637,1237659326019076267
0.1048031,209.70688,56.30769,1237659144021082157
0.1048326,154.71838,39.207165,1237661139034243177
0.1049646,205.39054,9.0657522,1237662263238918174
0.104972,219.98281,55.541494,1237659150458355828
0.104985,154.16614,19.680116,1237667782822133949
0.105052,0.766927310000028,-4.3271567,1237672841745006732
0.1051226,222.23169,57.177479,1237655370370187318
0.1051416,354.09869,24.302564,1237678579826360483
0.1051569,135.47197,35.30157,1237660635450507406
0.1051576,5.9622959,-9.2284384,1237652948528201829
0.1051708,222.22999,22.094308,1237665548892766414
0.1051865,221.30591,17.935893,1237667734523871435
0.1052019,121.68024,15.637557,1237667107961241892
0.1052122,157.86994,6.2303524,1237658423016030364
0.1052723,255.60917,34.188159,1237655474508792204
0.1052867,182.05984,64.179897,1237654398618697805
0.1053532,211.84652,0.47566235,1237648705126400177
0.1053884,239.02388,13.765007,1237667782857457690
0.1054872,169.76939,35.739435,1237664337176756329
0.105503,161.35934,1.8444933,1237651735748804725
0.1055599,183.55024,16.444436,1237668588648726604
0.1055754,196.24748,68.324857,1237651540324712536
0.1055859,166.41246,2.0492806,1237651753467510819
0.1056367,253.55054,62.895564,1237671767467819244
0.1056615,192.59466,54.042367,1237658800966205537
0.1056711,4.2831219,1.251738,1237678617419710603
0.1057008,51.855102,-6.6144156,1237649962992861287
0.1057384,192.45992,44.848517,1237661872942743707
0.10575,252.00343,29.949275,1237661386010263761
0.1057724,177.20685,-1.1695925,1237674648853741768
0.1057768,165.44912,54.044686,1237657591392174204
0.1057908,190.20586,59.302282,1237658311331610709
0.1057976,169.89168,53.588522,1237657589782610121
0.1058168,154.48048,7.5897931,1237658425162072180
0.1058275,216.95121,5.0394564,1237654881274757156
0.105891,157.08784,17.950282,1237670965392834727
0.1059358,210.26041,45.409359,1237661435389739253
0.105939,125.79269,29.72023,1237658190536704045
0.10596,5.6182,-0.975193,1237657189833900309
0.1059605,124.65239,36.726345,1237657119482642709
0.1060284,346.11287,-10.388503,1237653436007710791
0.106114,344.29006,2.4255677,1237678619021606918
0.1061252,238.99228,33.351509,1237662337328218421
0.1061253,122.94071,16.026741,1237667255064134078
0.1061291,152.49522,47.162203,1237657856065011820
0.1061812,69.846818,24.672951,1237660557599114036
0.1062344,126.09069,54.408616,1237663530260038067
0.1062461,344.81917,22.236149,1237666184566210720
0.1062798,209.3522,65.418307,1237651538716590209
0.1062945,198.20897,55.808117,1237661385990340648
0.1063061,211.62543,-0.32765233,1237648704052592865
0.1063283,161.72531,32.575724,1237665016311185683
0.1063302,190.86682,56.877191,1237661386525376531
0.1064095,312.92309,0.85987386,1237678617934102742
0.1064117,148.977,20.015707,1237667536933093569
0.1064244,241.82207,23.493942,1237662698112418098
0.1064276,212.43433,23.577923,1237665567679774783
0.1064666,211.36535,50.929605,1237659131133493287
0.1065004,141.08788,36.893821,1237660765916496041
0.1065005,147.7648,19.425741,1237667540678869104
0.1065194,340.90492,24.587905,1237680301567770958
0.1065345,154.30955,4.9448513,1237654606396981268
0.1065493,9.62649579999999,19.152594,1237679502712242321
0.1066005,32.820438,1.6002255,1237680099704373430
0.1066446,22.353277,11.575631,1237678919140507725
0.1066507,157.2255,18.177184,1237668289621393632
0.1066646,340.66336,1.301616,1237678595934519630
0.1066692,220.27352,18.085558,1237667734523412584
0.1067022,163.05614,40.042449,1237661382778749192
0.1067178,160.74151,38.89647,1237661136888660166
0.1067201,208.33939,37.514982,1237664294761529349
0.1067212,158.17778,8.0128802,1237660582836240398
0.1067321,317.83137,10.395606,1237653008120677280
0.1067452,230.15021,31.373855,1237662663749402968
0.1067491,8.3668888,-0.32025154,1237663783664156741
0.1067538,133.79189,27.44274,1237664092900885630
0.1067558,127.70689,30.808154,1237660635983904890
0.1067889,219.98578,49.468126,1237659132209725450
0.1068002,6.5349269,-0.096369892,1237656851586547849
0.1068421,134.64994,1.5304218,1237653664715243744
0.1068865,131.5939,3.222823,1237658297911607474
0.1068961,237.05353,12.742118,1237668311091249446
0.1069303,245.68876,9.1011392,1237668270843560008
0.1069553,184.57609,63.471762,1237655465916104903
0.1070111,181.81493,15.204406,1237664291000811654
0.1070238,45.703261,0.35878605,1237666301090463853
0.1070698,169.90843,51.554316,1237657629525147693
0.1070857,220.67,26.392391,1237665178450002041
0.107115,5.458976,-0.917376,1237657189833834804
0.1071161,122.76022,21.195125,1237664668421259561
0.1071661,241.112,52.858438,1237654948914397323
0.1071915,138.3072,36.971461,1237660343933861948
0.1072304,196.64843,37.94968,1237664674326904881
0.1072375,169.51344,45.113004,1237661852538437650
0.1072541,258.83413,27.807216,1237659327109726668
0.1073102,358.59873,26.610658,1237680275796197451
0.1073111,175.48358,-2.7686015,1237671140406067442
0.1073313,218.28494,23.4419,1237665531713683483
0.1073665,154.41134,42.017614,1237661852533457006
0.1073727,126.92231,17.964166,1237667212653363453
0.1073959,236.43967,56.592993,1237654949449236689
0.1074373,148.01862,3.3098298,1237654600488779945
0.1074382,46.664867,0.06199503,1237663784217804830
0.1074623,184.97126,55.751822,1237658918529925220
0.1074887,167.33904,37.35628,1237664820355793058
0.1074986,141.6736,42.199133,1237657627905228937
0.1074993,208.42402,54.377743,1237661416600764563
0.1075266,119.8605,14.902983,1237667255599628347
0.1075542,241.09985,27.641982,1237662307273867557
0.1075639,203.96658,54.747256,1237658919071514677
0.107579,186.39564,7.5071024,1237661971723059295
0.1075999,329.24294,11.061995,1237656240622010690
0.1076085,325.28357,-0.42838243,1237663542607020293
0.1076454,216.20619,1.3982468,1237651752952398062
0.1077482,172.33873,38.442124,1237664667367505987
0.1077494,12.421314,-1.2871257,1237678882099822604
0.1077765,162.93359,54.086384,1237657591928455172
0.1077822,154.38111,6.3215722,1237658423551393814
0.1078039,30.16179,30.850895,1237679582158389454
0.1078159,221.77939,29.340427,1237665128557707415
0.1078286,152.96836,61.003453,1237651250955616432
0.1079485,203.82801,23.611055,1237667447274274865
0.1079617,47.314792,0.41895064,1237666301091119248
0.1079672,191.47796,46.071874,1237661852545122329
0.1080115,230.47439,8.4877329,1237662198821683659
0.108064,347.27537,-1.1212762,1237663275774705852
0.1080781,136.87633,62.873805,1237663549054910715
0.1080859,173.59369,4.1910085,1237655124467646510
0.1081963,25.557084,17.931069,1237679459217702917
0.1082213,137.74789,52.72144,1237654382514864273
0.108239,34.871353,-8.086412,1237652901300076589
0.1082475,236.27027,53.575557,1237655129833865494
0.108288,202.05624,-2.9079691,1237655498126852309
0.1082883,155.26589,7.1823147,1237658424625528988
0.1082938,138.96525,4.7923271,1237658423007772796
0.1083092,169.4549,4.7209769,1237654605329793229
0.1083364,164.41957,-1.1648163,1237674648848105651
0.1083449,169.97031,54.494868,1237658802571051222
0.1085062,242.15224,54.85602,1237662700788842595
0.1085468,227.77463,52.857406,1237659150997520415
0.1085854,136.23316,30.10369,1237664094512873513
0.1085985,173.5039,35.445733,1237665129613623438
0.1086039,171.00222,31.167124,1237665367971332130
0.1086646,119.18021,30.379077,1237657118405558542
0.1087345,200.00143,45.102529,1237661852547743903
0.1087411,147.57335,7.0549758,1237658425159057462
0.1087456,349.97719,25.046491,1237678542235959347
0.1088016,185.32873,64.307782,1237654398619287697
0.1088866,213.25874,35.580276,1237662661595562020
0.1089337,225.88375,29.839963,1237662697031860263
0.1089384,169.24422,55.628263,1237657610726670399
0.1089964,15.013213,15.849506,1237653653451898962
0.1090383,245.27823,9.4914412,1237668310021308523
0.1090483,337.93546,-2.1003793,1237679997696082111
0.1091102,151.573,36.950869,1237661137422254164
0.1091158,211.11898,24.428311,1237665531173928964
0.1091298,124.10765,7.3336808,1237661066552672833
0.1091317,148.22158,18.415421,1237667782819577991
0.1091754,137.64562,49.502597,1237654652568993891
0.1092201,201.14287,18.481519,1237668297137061895
0.1092406,2.78265169999997,27.452373,1237678790271434968
0.1092861,218.02943,47.009715,1237662301362323568
0.1093212,0.895433939999975,20.161944,1237680246814736693
0.1093393,201.24088,20.345432,1237668273508515908
0.1093813,154.74392,34.608974,1237662223519907881
0.1094153,328.60728,11.524851,1237656241158619693
0.109468,229.38444,22.656443,1237665429177368718
0.1094733,162.99157,8.3702772,1237671930134855970
0.1094898,207.11684,38.37456,1237662225685610738
0.1094991,359.17938,10.104546,1237678906782187661
0.1095742,177.66193,2.1483957,1237671140945297540
0.1095879,171.97963,66.877163,1237651538710036619
0.1096307,119.45328,20.539756,1237661125071929611
0.1096508,174.72588,12.441645,1237661812807368760
0.1096729,125.80513,56.099773,1237663531871174843
0.1097441,118.69862,14.634858,1237667142857326652
0.1097587,174.40554,11.284847,1237661948639379543
0.1097622,128.88619,34.280084,1237664869745230037
0.1097756,11.362743,0.71046868,1237663204919148656
0.1097952,115.48982,21.286557,1237657877001012126
0.1098213,326.47932,12.176157,1237652943697871343
0.1098327,213.09161,6.4040707,1237655743476793507
0.109861,180.71442,24.346066,1237667446728163441
0.1098676,84.484632,-2.753668,1237667727512764706
0.1099081,235.29815,19.847374,1237665441532281098
0.10992,152.57926,10.122654,1237661064417575008
0.1099299,36.298526,-8.4106454,1237652900763795590
0.1099417,237.72153,5.3533845,1237662268615229513
0.1099455,196.53194,39.727624,1237664295294271654
0.1099922,198.11736,1.7009156,1237651752944533539
0.1100022,15.356102,0.0076614634,1237663784204107837
0.110066,143.53891,30.619816,1237664879950561540
0.1100668,234.21719,11.397257,1237668349218062364
0.1100874,169.53685,23.422976,1237667910587056148
0.1100895,123.94812,32.703812,1237657775537848660
0.1101719,330.36646,-0.80064708,1237656567583015134
0.1102507,240.68021,16.669644,1237665532260188457
0.1102614,204.4723,20.778955,1237667734516793425
0.110278,208.63456,54.475145,1237661416600829993
0.1103326,259.00806,31.20386,1237655503499886636
0.1103828,231.70297,29.894787,1237662662676513069
0.1103864,185.505,61.984611,1237658608220307617
0.1104246,181.89607,-0.2639688,1237674649929515180
0.1105128,152.20893,-0.20239725,1237648721218568377
0.110554,166.64837,35.666043,1237664337712513169
0.1105864,224.55459,23.676467,1237665441527627834
0.1106625,182.26488,20.970784,1237668299276746786
0.1106634,330.17806,-7.5156784,1237652600642797753
0.1106864,149.53371,14.635122,1237671261742629006
0.1107216,147.81606,12.530479,1237661070321123470
0.1107467,127.35621,34.707707,1237674288611393658
0.1107819,6.3639793,16.040808,1237656496726999153
0.110824,327.60292,-0.87857604,1237657189817254227
0.110858,155.20703,6.079719,1237658423014850759
0.1108756,167.73405,17.126807,1237668585969287273
0.1109319,153.17171,21.93225,1237667550877253812
0.1109506,185.53375,46.213925,1237661852543352837
0.1109599,158.16415,21.361836,1237667536400023634
0.1109736,171.5609,15.388868,1237664132633198788
0.1110077,230.52296,30.278931,1237662662676054046
0.1110507,254.58341,33.555369,1237655374113996816
0.1110553,143.01519,2.0677461,1237651753994158210
0.1110746,179.25552,62.719468,1237655370360684615
0.1110928,170.00565,44.869272,1237661874009538621
0.1111225,217.54515,57.367249,1237655463776092317
0.1111441,23.56271,26.166941,1237678790279562049
0.1111507,180.55599,28.926958,1237667252940374045
0.1111684,174.33895,61.333733,1237653616937271392
0.1112027,224.07328,22.356873,1237665532252913848
0.1112474,137.47757,56.709791,1237651192434327633
0.1112651,144.60744,30.974052,1237664837007900973
0.1112838,126.13748,51.689811,1237651534945124602
0.1112887,171.51023,34.580052,1237665025437139019
0.1113008,165.54379,18.563774,1237668293371494481
0.1113157,197.19043,-1.5149735,1237650762934976634
0.1113216,132.32207,53.298846,1237651191895490668
0.111323,159.06264,22.776523,1237667538011095124
0.111324,216.05181,6.2134695,1237655743478104193
0.1113527,155.05303,34.477698,1237664879955148816
0.1113538,194.27541,54.596049,1237658917458542640
0.1113738,356.40418,15.40665,1237656242781159492
0.1114446,174.14375,15.413379,1237664291534471307
0.1114544,135.83677,41.08036,1237657630050877764
0.1114668,227.26758,4.5782747,1237662266463224217
0.1114743,48.365304,0.46558206,1237660241386668207
0.1115956,174.63112,59.814481,1237674474365649081
0.1116103,177.3715,64.152439,1237654398617780422
0.1116228,230.82236,32.231566,1237662306195734889
0.111654,191.03799,22.111662,1237667782300336148
0.1116673,223.74266,13.71799,1237668332029477143
0.1116768,177.60831,26.510754,1237667322180403205
0.1116928,203.87143,-2.2497512,1237655494906019868
0.1116929,21.49192,15.303813,1237649921115947018
0.111708,243.85496,22.860812,1237662662145278293
0.1117088,221.41653,60.940599,1237654400774045815
0.1117244,230.39568,32.110728,1237662340008509494
0.1117566,164.00094,37.112814,1237664667364556904
0.1118007,154.43025,16.584918,1237670964317913120
0.1118104,254.23989,47.789781,1237665583255388183
0.1118383,166.97152,-0.12156497,1237648721225056413
0.1118512,219.97048,39.399713,1237661872951984140
0.1118597,218.7562,56.628919,1237659327092031748
0.1119416,181.31778,1.5856501,1237651735220650139
0.1119518,172.4157,60.961818,1237655368748564562
0.1119941,124.64255,51.312442,1237651496834433188
0.1120009,143.18602,33.764672,1237661137418977354
0.1120035,180.29327,59.276979,1237655107303178263
0.1120068,358.40224,-0.70688665,1237663783122960429
0.1120844,143.48284,14.322362,1237671125375057939
0.1121027,160.90229,14.830322,1237664133165548231
0.1121098,180.15082,62.979188,1237655465378381992
0.1121445,171.80304,11.728522,1237661949175201845
0.1121488,150.65194,36.380188,1237661382237356077
0.1121549,124.5512,16.610207,1237667107425681728
0.1121617,251.23636,25.940115,1237662474234953922
0.112185,348.7189,2.0048502,1237678618486636733
0.1121855,152.6833,19.079413,1237667735032430717
0.1121988,325.41389,0.64932951,1237656238472036778
0.1123369,130.90666,5.2621857,1237658300595765605
0.1123442,245.66035,47.331407,1237655130374537244
0.1123522,203.88534,23.730294,1237667447274274890
0.1123536,54.123931,-5.854587,1237649963530715307
0.1123611,120.58624,13.855245,1237667253989081166
0.1123681,205.48798,47.319619,1237661150307746179
0.1123706,200.92939,1.2182483,1237651505952915701
0.1123815,210.19907,26.721795,1237665427558891740
0.1124256,141.83867,7.2463859,1237660412114763967
0.1124538,121.03342,39.791233,1237654390566551806
0.1124575,141.75222,8.7248575,1237661064412856456
0.1125173,230.84242,-1.6826214,1237655692480938032
0.1125559,125.31468,16.388536,1237667211578704080
0.1125598,118.74324,34.524807,1237674367530107200
0.1125616,214.12885,31.319706,1237665102210924663
0.1125644,228.37093,27.68359,1237665103290302499
0.112591,206.36417,-3.1574929,1237671990269706486
0.1126324,255.317,35.829243,1237655502960590935
0.1126439,335.73151,0.84268339,1237663480333598885
0.1126555,127.29816,17.41695,1237667106889990424
0.11268,336.20094,1.0094143,1237678617407390039
0.1127177,178.05881,15.359958,1237661070334033979
0.1128065,227.76117,11.36283,1237662637443776609
0.112847,229.77752,30.146228,1237662662138921283
0.1128494,346.84685,0.28558127,1237666408436662436
0.1128551,199.58602,-0.84875655,1237648720165535906
0.1128566,190.98541,12.046424,1237661816559632533
0.1128585,178.10959,15.290992,1237664290999238738
0.1128586,346.30073,15.002215,1237652944243261768
0.1128763,159.56574,15.599034,1237668495238103124
0.1128906,220.4857,16.072527,1237668271369224252
0.1129288,120.30619,14.193203,1237667254525886656
0.1129549,5.79848909999998,32.497971,1237676441460211838
0.1130216,133.18724,62.981181,1237663787961024601
0.1130808,194.68581,45.151698,1237661873480270653
0.1131055,158.19664,11.755881,1237660670893031606
0.1131128,185.47029,46.898445,1237661433771655277
0.1131246,176.94366,40.799708,1237664670053564475
0.1131429,225.16859,12.476909,1237668330956456049
0.113144,332.36855,-7.9004032,1237656539121647759
