name,gl,gb,p0,p1,dm
PSR J0525-6607,276.09,-33.25,8.0470,6.5E-11,null
PSR J1300-6602,303.85,-3.18,1.14331584211,3.35E-16,460.00000
PSR J1036-6559,289.77,-6.63,0.53350188629,1.362E-15,158.36000
PSR J1210-6550,298.77,-3.29,4.2370102164,4.3E-16,37.00000
PSR J1148-6546,296.52,-3.69,1.496743,null,121.50000
PSR J1141-6545,295.79,-3.86,0.3938988148378,4.30737E-15,116.08000
PSR J1236-65,301.43,-2.79,100.5652e-3,null,175.00000
PSR J1244-6531,302.23,-2.66,1.5468189400,7.18E-15,388.00000
PSR J1155-6529,297.14,-3.25,0.07886984,null,33.00000
PSR J1136-6527,295.24,-3.71,1.18930900495,1.75E-15,164.10000
PSR J1309-6526,304.76,-2.63,0.39829216279,1.84E-17,340.00000
PSR J1231-6511,300.87,-2.40,0.247525,2.84E-14,null
PSR J2228-65,323.53,-45.79,2.74598,null,36.00000
PSR J0511-6508,275.25,-34.83,0.3220619574372,2.0713E-16,25.66000
PSR J1249-6507,302.77,-2.25,0.43444487308,1.21E-17,215.00000
PSR J1232-6501,300.91,-2.22,0.0882819082341,8.1E-19,239.40000
PSR J1340-6456,308.05,-2.56,0.378628984546,5.0557E-15,76.87200
PSR J1305-6455,304.41,-2.09,0.5716524152602,4.01706E-15,505.11000
PSR J1054-6452,290.89,-4.78,1.8400035414,3.14E-15,234.00000
PSR J1607-6449,321.95,-9.49,0.298116357616,2.49E-17,89.39000
PSR J1117-6447,293.17,-3.72,1.1552719604,2.4E-16,303.00000
PSR J1248-6444,302.62,-1.86,1.23489349389,1.932E-15,236.40000
PSR J1136-64,295.01,-2.96,1.023619,null,309.00000
PSR J1106-6438,291.99,-4.03,2.7179341360,2.33E-15,203.00000
PSR J1424-6438,312.74,-3.56,1.02350369913,2.4E-16,248.00000
PSR J1244-6437,302.16,-1.77,0.2129047,null,321.60000
PSR J1357-6429,309.92,-2.51,0.166308023620,3.61051E-13,127.41000
PSR J1338-6425,307.98,-2.01,0.0040877977,null,85.92000
PSR J1101-6424,291.42,-4.02,0.005109272904279,1.8E-21,207.36330
PSR J1243-6423,302.05,-1.53,0.3884851271101,4.49499E-15,297.01900
PSR J1337-6423,307.89,-1.96,0.009423406717798,2.469E-20,259.89100
PSR J0101-6422,301.19,-52.72,0.0025731519721683,5.16E-21,11.92100
PSR J1124-6421,293.75,-3.04,0.47909858452,6.2E-16,298.00000
PSR J1309-6415,304.87,-1.46,0.6194535568,8.79E-15,574.00000
PSR J1148-6415,296.18,-2.21,3.2410285031,2.7E-15,241.00000
PSR J1453-6413,315.73,-4.43,0.17948743248844,2.74433E-15,71.18710
PSR J1216-6410,299.10,-1.56,0.00353937571409245,1.598E-21,47.39301
PSR J1159-6409,297.30,-1.87,0.667485560764,2.63E-17,173.57000
PSR J1255-62,303.37,0.07,0.18291150816,null,713.00000
PSR J1225-6408,300.13,-1.41,0.419619075511,9.3308E-16,413.23900
PSR J1326-6408,306.75,-1.53,0.7926743697494,3.09034E-15,502.27700
PSR J1224-6407,299.98,-1.41,0.216479797870,4.95328E-15,97.72200
PSR J1436-6405,314.11,-3.54,0.009332971,null,148.20000
PSR J1312-6400,305.20,-1.23,2.437433007538,6.778E-16,90.74000
PSR J1327-6400,306.84,-1.40,0.280677974168,3.1177E-14,679.00000
PSR J1244-6359,302.20,-1.13,0.14727431048,4.4E-18,286.00000
PSR J1401-6357,310.57,-2.14,0.84280532179,1.68254E-14,97.72400
PSR J1349-63,309.24,-1.77,0.37303400,null,478.00000
PSR J1235-6354,301.23,-1.09,0.256777653406,1.97E-16,439.90000
PSR J1302-6350,304.18,-0.99,0.0477625075,2.2787E-15,146.73000
PSR J1052-6348,290.29,-3.88,0.383830423532,3.87E-16,167.50000
PSR J1035-6345,288.53,-4.77,0.579576736318,3.504E-16,189.70000
PSR J1423-62,312.91,-2.68,1.671473,null,382.00000
PSR J1445-63,315.58,-3.82,0.00371866853,null,79.00000
PSR J1233-6344,300.97,-0.94,0.75689193363,3.878E-15,495.00000
PSR J1302-63,304.11,-0.90,0.325724330,null,875.00000
PSR J1440-6344,314.65,-3.38,0.459606723901,1.1208E-15,124.20000
PSR J1248-6344,302.64,-0.87,0.198335136357,1.6918E-14,433.00000
PSR J1530-6343,319.51,-6.10,0.9103198224414,8.2646E-16,206.42800
PSR J1353-6341,309.75,-1.64,2.0762,null,439.00000
PSR J1449-6339,315.63,-3.74,0.02946618,null,75.40000
PSR J0457-6337,273.82,-36.70,2.49701169613,2.1E-16,27.50000
PSR J1322-6329,306.37,-0.83,2.7642094208,1.108E-14,659.00000
PSR J1108-6329,291.78,-2.86,0.0042775833,null,233.20000
PSR J1431-6328,311.93,-2.04,0.00277229565,null,228.27000
PSR J1400-6325,310.59,-1.59,0.0311816011,3.89E-14,563.00000
PSR J0902-6325,280.39,-11.08,0.6603135135210,9.68E-17,72.79600
PSR J1211-6324,298.47,-0.89,0.4330841129386,2.6364E-16,333.47000
PSR J1539-6322,320.49,-6.39,1.63084630957,2.016E-16,163.50000
PSR J0849-6322,279.43,-12.17,0.36795380205804,7.9083E-16,91.31000
PSR J1210-6322,298.39,-0.86,1.16318571439,9.247E-15,547.00000
PSR J1220-6318,299.44,-0.65,0.7892120794007,7.76E-17,349.82000
PSR J1307-6318,304.78,-0.50,4.9624272525,2.11E-14,374.00000
PSR J1252-6314,303.08,-0.37,0.823339366055,1.151E-16,276.68000
PSR J1302-6313,304.16,-0.38,0.9678462129,6.33E-15,500.00000
PSR J1233-6312,300.91,-0.41,0.5647593892,6.92E-15,414.00000
PSR J1006-6311,285.55,-6.03,0.8357974680,5.73E-16,195.99000
PSR J1301-6310,304.06,-0.33,0.66382964770,5.6433E-14,86.10000
PSR J1403-6310,310.93,-1.42,0.3991702438468,8.591E-17,304.35000
PSR J1227-63,300.20,-0.41,0.44457796,null,359.00000
PSR J1519-6308,318.74,-4.90,1.254051952290,6.0023E-15,249.82000
PSR J1413-6307,312.05,-1.72,0.3949528848671,7.4773E-15,121.63000
PSR J1348-6307,309.35,-0.96,0.9277722389,3.79E-15,597.00000
PSR J1201-6306,297.31,-0.79,0.59213602908,3.555E-15,683.00000
PSR J1337-6306,308.10,-0.70,0.207953012189,3.558E-16,777.70000
PSR J1301-6305,304.10,-0.24,0.18452809509,2.66747E-13,374.00000
PSR J1139-6247,294.76,-1.07,0.120482,4.05E-15,null
PSR J1303-6305,304.24,-0.24,2.3066415539,2.18E-15,343.00000
PSR J0736-6304,274.88,-19.15,4.8628739612,1.519E-13,19.40000
PSR J1231-6303,300.64,-0.27,1.35123639261,1.32E-16,301.00000
PSR J1317-6302,305.91,-0.33,0.26127055606,1.02E-16,678.10000
PSR J1324-6302,306.64,-0.40,2.48380369300,9.79E-16,497.00000
PSR J1327-6301,306.97,-0.43,0.1964801858441,1.52995E-15,294.21400
PSR J1123-6259,293.18,-1.78,0.2714381286594,5.25228E-15,223.26000
PSR J1056-6258,290.29,-2.97,0.4224510879822,3.57751E-15,320.68200
PSR J1305-6256,304.53,-0.12,0.47823093284,2.11E-15,967.00000
PSR J1325-6253,306.75,-0.27,0.02896859323602,4.8E-20,303.33100
PSR J1322-62,306.51,-0.20,1.044851,null,733.60000
PSR J1133-6250,294.21,-1.30,1.0228756127923,4.65E-16,568.48000
PSR J1154-6250,296.47,-0.68,0.28201171065,5.59E-16,74.00000
PSR J1437-62,314.66,-2.39,0.7779940,null,323.00000
PSR J1354-6249,310.07,-0.83,2.951938334,1.48E-14,254.00000
PSR J1409-6011,312.53,1.21,0.3005806,null,448.60000
PSR J1328-62,307.17,-0.20,528.85764e-3,null,194.80000
PSR J1359-6242,310.64,-0.86,0.899747,null,784.00000
PSR J1306-6242,304.69,0.12,0.98190211848,5.86E-15,480.00000
PSR J1203-6242,297.41,-0.35,0.100604,4.41E-14,null
PSR J1322-6241,306.49,-0.04,0.50605841373,2.587E-15,618.80000
PSR J1245-6238,302.23,0.21,2.2830933508,1.092E-14,336.00000
PSR J1208-6238,297.99,-0.18,0.440590723652,3.26951E-12,null
PSR J1055-6236,290.08,-2.66,0.44863544246,7.08E-16,149.70000
PSR J1316-6232,305.85,0.19,0.34282539844,5.297E-15,966.40000
PSR J1142-6230,295.11,-0.68,0.55838338569,7.8E-17,343.80000
PSR J1348-62,309.41,-0.34,0.616257,null,790.00000
PSR J1357-62,310.47,-0.57,0.4557610,null,416.70000
PSR J1350-6225,309.73,-0.34,0.1381577782128,8.88351E-15,null
PSR J1157-6224,296.71,-0.20,0.400525716696,3.93281E-15,324.30000
PSR J1216-6223,298.92,0.20,0.3740530135813,1.68236E-14,790.00000
PSR J1327-6222,307.07,0.20,0.529929186747,1.8792E-14,318.44400
PSR J1408-6009,312.35,1.29,0.567635,null,546.00000
PSR J1413-6222,312.24,-0.99,0.29240770249,2.229E-15,808.10000
PSR J1341-6220,308.73,-0.03,0.193339746306,2.53107E-13,719.65000
PSR J1128-6219,293.49,-0.97,0.51598351050,1.1E-17,675.00000
PSR J1144-6217,295.19,-0.44,0.85066494337,3.0835E-14,284.70000
PSR J1051-6214,289.47,-2.55,1.14605,null,246.00000
PSR J1551-6214,322.30,-6.35,0.19883861077335,2.2773E-17,123.55600
PSR J1303-62,304.32,0.64,419.41599e-3,null,490.00000
PSR J1933-6211,334.43,-28.63,0.00354343149574080,3.871E-21,11.51476
PSR J1425-6210,313.63,-1.26,0.50173030987,4.8E-16,430.10000
PSR J1227-6208,300.08,0.59,0.034527834688743,1.8641E-19,362.91300
PSR J1224-6208,299.82,0.57,0.58576120812,2.0196E-14,454.20000
PSR J1039-6208,288.13,-3.13,1.246563,null,281.80000
PSR J1138-6207,294.51,-0.46,0.117563794023,1.24784E-14,518.86000
PSR J1134-6207,294.02,-0.59,0.688961,null,662.00000
PSR J1355-6206,310.33,-0.16,0.276603043150,3.1E-18,547.00000
PSR J1413-6205,312.37,-0.74,0.10974069969,2.768E-14,null
PSR J1338-6204,308.37,0.31,1.2390027421609,1.37911E-14,643.03000
PSR J1305-6203,304.56,0.77,0.427773663317,3.21575E-14,468.78000
PSR J1329-6158,307.33,0.57,1.5652179638,3.39E-14,514.00000
PSR J1020-6158,286.15,-4.14,0.2828786,null,363.00000
PSR J1138-6154,294.44,-0.25,0.624372,null,456.00000
PSR J1117-6154,292.10,-1.03,0.505105803070,1.25043E-14,493.39800
PSR J1407-6153,311.81,-0.35,0.7016149492,8.85E-15,645.00000
PSR J1254-6150,303.30,1.02,0.184502203069,6.24E-16,95.00000
PSR J0955-6150,283.68,-5.74,0.0019993604927577,1.426E-20,160.89970
PSR J1536-6149,321.19,-4.98,0.006875163,null,245.00000
PSR J1333-61,307.89,0.67,1.532135,null,546.00000
PSR J1316-6147,305.90,0.94,1.9326,null,625.00000
PSR J1144-6146,295.12,0.07,0.98778306934,-3.8E-17,78.70000
PSR J1437-6146,315.10,-1.42,0.46761632345,6.3304E-15,200.50000
PSR J1324-6146,306.86,0.85,0.8441085753,5.58E-15,828.00000
PSR J1152-6012,295.72,1.84,0.37656956576,6.685E-15,74.00000
PSR J1412-6145,312.32,-0.37,0.31525843337,9.9033E-14,512.48000
PSR J1107-6143,290.92,-1.32,1.7993956675,1.558E-13,406.00000
PSR J1536-6142,321.26,-4.87,0.369501,null,292.00000
PSR J1537-61,321.27,-4.88,369.5015e-3,null,288.70000
PSR J1352-6141,310.05,0.34,0.0047383371,null,76.30000
PSR J1413-6141,312.46,-0.34,0.28562462018,3.3344E-13,667.60000
PSR J1422-6138,313.52,-0.66,0.34096785164,9.6836E-14,null
PSR J0856-6137,278.57,-10.43,0.96251087175047,1.67957E-15,95.71900
PSR J1441-6137,315.65,-1.50,1.17584002290,3.6E-16,166.00000
PSR J1426-6136,313.94,-0.78,0.2837001,null,722.00000
PSR J1705-6135,328.75,-12.23,0.8085460890,6E-17,95.00000
PSR J1410-6132,312.20,-0.09,0.0500519462,3.2E-14,961.00000
PSR J1255-6131,303.47,1.35,0.65797363034,4E-15,206.50000
PSR J1349-6130,309.81,0.59,0.259364764102,5.11709E-15,283.87000
PSR J1502-6128,317.92,-2.48,0.842104227629,1.3558E-15,257.81000
PSR J1119-6127,292.15,-0.54,0.40796298356,4.02022E-12,704.80000
PSR J1406-6121,311.84,0.20,0.213074653776,5.4701E-14,537.29000
PSR J1706-6118,329.05,-12.15,0.3619213249276,2.9213E-16,76.13000
PSR J1031-6117,286.88,-2.88,0.306410837119,1.784E-15,506.80000
PSR J1043-6116,288.22,-2.11,0.288605287388,1.04047E-14,448.75800
PSR J1345-6115,309.41,0.93,1.2530869310808,3.25203E-15,280.43200
PSR J1412-6111,312.60,0.14,0.5291577804693,1.90078E-15,313.61000
PSR J1039-6108,287.70,-2.24,0.2715526,null,488.20000
PSR J1151-6108,295.81,0.91,0.1016331767601,1.02791E-14,217.80000
PSR J1105-6107,290.49,-0.85,0.0632021309179,1.58446E-14,271.63200
PSR J1519-6106,319.88,-3.22,2.15430706064,8.372E-15,221.00000
PSR J1319-6105,306.31,1.60,0.421118114249,1.5012E-15,440.60000
PSR J1112-6103,291.22,-0.46,0.064961851894,3.14596E-14,595.69000
PSR J1104-6103,290.33,-0.83,0.2809053015394,1.9667E-15,78.50600
PSR J1123-6102,292.51,0.05,0.6402383527987,6.4467E-15,439.10800
PSR J1101-6101,290.04,-0.93,0.062800077,8.6E-15,null
PSR J1314-6101,305.71,1.73,2.9483896038,1.17E-14,309.00000
PSR J1435-6100,315.19,-0.64,0.009347972210248,2.45E-20,113.78190
PSR J1114-6100,291.44,-0.32,0.8808654186784,4.60138E-14,680.26000
PSR J1344-6059,309.34,1.22,0.54010232140,4.3E-17,435.00000
PSR J1418-6058,313.32,0.13,0.110573011690,1.69394E-13,null
PSR J1319-6056,306.31,1.74,0.28435291379674,1.52648E-15,400.64000
PSR J1152-6056,295.85,1.12,2.449000,null,381.00000
PSR J1135-6055,293.79,0.58,0.114943,7.93E-14,null
PSR J1126-6054,292.83,0.29,0.20273719421559,2.81777E-16,280.33000
PSR J1500-6054,318.01,-1.88,0.2136614,null,419.20000
PSR J2324-6054,320.43,-53.17,2.347488764458,2.5814E-15,15.17000
PSR J1459-6053,317.89,-1.79,0.103150638274,2.52704E-14,null
PSR J1115-6052,291.56,-0.13,0.25978188965412,7.22886E-15,227.66000
PSR J1407-6048,312.13,0.68,0.49234420664,3.156E-15,575.20000
PSR J1420-6048,313.54,0.23,0.06817987659,8.3167E-14,360.15000
PSR J1648-6044,328.22,-10.14,0.583765161075,4.334E-16,106.26100
PSR J1306-6043,304.75,2.09,0.005671161,null,67.05000
PSR J0919-6040,279.69,-7.77,1.2169757230,1E-17,82.50000
PSR J1111-6039,291.02,-0.11,0.10668920,1.96E-13,null
PSR J1433-6038,315.09,-0.20,1.9544296353,5.63E-15,409.00000
PSR J1359-6038,311.24,1.13,0.12750945301957,6.33038E-15,293.80440
PSR J1416-6037,313.18,0.53,0.2955835864300,4.28914E-15,288.90000
PSR J1105-6037,290.24,-0.40,0.194938267113,2.18372E-14,null
PSR J1452-6036,317.30,-1.17,0.1549922876728,1.45221E-15,349.52500
PSR J1225-6035,299.75,2.12,0.626323941978,2.88E-16,176.10000
PSR J0834-60,276.08,-11.92,0.384645,null,20.00000
PSR J1757-6032,332.98,-17.18,0.0029124980699772,2.994E-21,62.91800
PSR J1146-6030,294.98,1.34,0.2733745086436,1.7884E-15,111.65900
PSR J1512-6029,319.46,-2.23,0.2295951,null,337.00000
PSR J1434-6029,315.31,-0.13,0.96334832315,1.03E-15,282.00000
PSR J1518-60,320.07,-2.59,0.5106556,null,420.00000
PSR J1055-6028,289.13,-0.75,0.099660833480,2.95322E-14,636.50000
PSR J1444-6026,316.40,-0.54,4.7585755679,1.8542E-14,367.70000
PSR J1020-6026,285.30,-2.85,0.1404812898086,6.73794E-15,446.00000
PSR J1103-6025,289.99,-0.29,0.396586748928,9.904E-16,275.90000
PSR J1358-6025,311.06,1.40,0.060533,3.02E-15,null
PSR J1341-6023,309.04,1.89,0.6272990397265,1.9501E-14,364.95200
PSR J1833-6023,334.83,-21.19,1.8894355004,2.7E-16,35.00000
PSR J1055-6022,289.11,-0.65,0.9475584093,9.239E-14,590.00000
PSR J1306-60,304.76,2.47,1.783181,null,283.00000
PSR J1435-60,315.43,-0.00,3262.16598e-3,null,507.40000
PSR J0905-6019,278.22,-8.82,0.340854176542,5.22E-16,91.40000
PSR J1704-6016,329.76,-11.37,0.3063230254,9.1E-16,54.00000
PSR J1509-6015,319.23,-1.81,0.33903844870,2.121E-15,423.60000
