energy_ev,n,k
543.346,0.997592989,0.00364069994
552.134,0.997564715,0.0035524819
561.065,0.997537096,0.00346638658
570.139,0.997502557,0.00338240213
579.361,0.997463104,0.00327653038
588.732,0.997445197,0.00316034485
598.254,0.997439611,0.00304828093
607.93,0.997441742,0.00294019783
617.763,0.997449439,0.0028359389
627.755,0.997461485,0.00273500527
637.908,0.997477274,0.00263752422
648.226,0.997496026,0.00254350466
658.711,0.997517022,0.00245283873
669.365,0.997539707,0.00236541192
680.191,0.997563538,0.00228109782
691.193,0.997587944,0.0021997949
702.372,0.997612168,0.0021213825
713.733,0.997634834,0.00204576945
725.277,0.997650248,0.0019728437
737.008,0.997670549,0.00188187006
748.928,0.997700582,0.00179457043
761.042,0.997739329,0.00171523837
773.351,0.997776202,0.00164412026
785.859,0.997807705,0.00157595366
798.57,0.997836376,0.00150289057
811.486,0.997873598,0.00142576637
824.611,0.997919676,0.00135283357
837.949,0.997964658,0.00129430748
851.502,0.998006091,0.0012383147
865.274,0.99803909,0.00118474613
879.269,0.998073634,0.00112075486
893.491,0.998115374,0.00105838816
907.943,0.998161463,0.000999494387
922.628,0.998210241,0.000947890979
937.551,0.998256883,0.000901837937
952.715,0.998300667,0.000857655551
968.124,0.998343885,0.000814994295
983.783,0.998386645,0.000774483824
999.695,0.998428671,0.00073591356
1015.86,0.998469682,0.000699196908
1032.29,0.99851013,0.000663681601
1048.99,0.998550145,0.000629817053
1065.96,0.998589648,0.000597532909
1083.2,0.998628579,0.000566912379
1100.72,0.998666827,0.000537858677
1118.52,0.998704348,0.000510297164
1136.61,0.998741122,0.000484150606
1155.0,0.998777128,0.000459337334
1173.68,0.998812338,0.000435798884
1192.66,0.998846753,0.000413466445
1211.95,0.998880374,0.000392275506
1231.55,0.998913204,0.000372171561
1251.47,0.99894524,0.000353109397
1271.72,0.998976491,0.000335028232
1292.29,0.999006934,0.000317883511
1313.19,0.999036576,0.000301622254
1334.43,0.999065442,0.000286192591
1356.01,0.999093528,0.000271552265
1377.94,0.999120854,0.000257661347
1400.23,0.999147431,0.00024447803
1422.88,0.99917326,0.000231970348
1445.89,0.999198307,0.000220103512
1469.28,0.999222625,0.000208788088
1493.04,0.999246116,0.000197979161
1517.19,0.999269007,0.000187418711
1541.73,0.999291497,0.000177380634
1566.67,0.999313426,0.000167879473
1592.01,0.999334778,0.000158890643
1617.76,0.999355553,0.000150382323
1643.92,0.99937575,0.000142328907
1670.51,0.999395385,0.000134703749
1697.53,0.99941446,0.000127488049
1724.99,0.999432971,0.000120660513
1752.89,0.999450932,0.000114145123
1781.24,0.999468399,0.000107962165
1810.05,0.999485384,0.000102097241
1839.32,0.999501886,9.65565687e-05
1869.07,0.99951791,9.13152361e-05
1899.3,0.999533466,8.63553227e-05
1930.02,0.999548569,8.16670517e-05
1961.24,0.999563225,7.72339773e-05
1992.96,0.999577449,7.3042423e-05
2025.2,0.999591242,6.90982503e-05
2057.95,0.999604597,6.53362453e-05
2091.24,0.999617572,6.17707417e-05
2125.06,0.999630163,5.8398926e-05
2159.43,0.999642383,5.52108598e-05
2194.36,0.99965424,5.21956475e-05
2229.85,0.999665742,4.93465752e-05
2265.92,0.999676904,4.66500726e-05
2302.57,0.999687734,4.41011582e-05
2339.81,0.999698243,4.16913686e-05
2377.66,0.999708446,3.94128948e-05
2416.11,0.999718347,3.72595476e-05
2455.19,0.999727961,3.52239543e-05
2494.9,0.999737298,3.3299872e-05
2535.26,0.99974637,3.14812781e-05
2576.26,0.999755186,2.9762893e-05
2617.93,0.999763759,2.81387508e-05
2660.27,0.999772101,2.66037336e-05
2703.3,0.999780226,2.51533623e-05
2747.03,0.999788147,2.37828722e-05
2791.46,0.999795877,2.24876086e-05
2836.61,0.999803437,2.1263661e-05
2882.49,0.999810844,2.01074728e-05
2929.11,0.999818125,1.90149422e-05
2976.48,0.999825309,1.79827125e-05
3024.63,0.99983244,1.70071913e-05
3073.55,0.999839575,1.60857907e-05
3123.26,0.999846807,1.52150317e-05
3173.78,0.999854297,1.4392191e-05
3225.11,0.999862367,1.36148268e-05
3277.27,0.999871871,1.28803652e-05
3330.28,0.99988734,1.21862019e-05
3351.0,0.999934701,1.19280642e-05
3351.2,0.999934706,3.89211526e-05
3384.15,0.999887466,3.76091935e-05
3438.88,0.99988455,3.55533921e-05
3494.5,0.999888116,3.36113196e-05
3523.6,0.999910121,3.26493507e-05
3523.8,0.999910119,4.47100213e-05
3551.02,0.999889001,4.35216226e-05
3608.46,0.999886444,4.11442826e-05
3666.82,0.999886926,3.8897013e-05
3726.13,0.999888689,3.67705888e-05
3786.4,0.99989277,3.47619158e-05
3805.7,0.999900346,3.41484638e-05
3805.9,0.99990034,3.91321406e-05
3847.64,0.999892817,3.77068083e-05
3909.87,0.999893394,3.57036483e-05
3973.11,0.999894839,3.38018745e-05
4037.38,0.999896645,3.19911855e-05
4102.68,0.999898655,3.02740107e-05
4169.03,0.999900791,2.86427639e-05
4236.46,0.999903008,2.70943842e-05
4304.98,0.999905276,2.56259171e-05
4374.62,0.99990757,2.42335953e-05
4445.37,0.999909875,2.29111873e-05
4517.27,0.99991218,2.16581676e-05
4590.33,0.999914474,2.04708545e-05
4664.58,0.999916749,1.93452124e-05
4740.03,0.999918999,1.82788861e-05
4816.69,0.99992122,1.72692894e-05
4894.6,0.999923407,1.63130805e-05
4973.77,0.999925558,1.54076677e-05
5054.21,0.99992767,1.45506784e-05
5135.96,0.999929741,1.37397168e-05
5219.03,0.999931769,1.29724134e-05
5303.44,0.999933754,1.2246519e-05
5389.22,0.999935695,1.15600194e-05
5476.39,0.999937591,1.09106737e-05
5564.97,0.999939443,1.02969011e-05
5654.98,0.999941249,9.71647778e-06
5746.44,0.999943011,9.16802722e-06
5839.39,0.999944727,8.64965658e-06
5933.83,0.999946399,8.15984037e-06
6029.81,0.999948027,7.69703212e-06
6127.33,0.999949612,7.25989636e-06
6226.44,0.999951154,6.84695566e-06
6327.15,0.999952653,6.45704858e-06
6429.48,0.999954111,6.08891249e-06
6533.48,0.999955528,5.7411651e-06
6639.15,0.999956905,5.41303039e-06
6746.54,0.999958242,5.10320471e-06
6855.65,0.999959541,4.81086395e-06
6966.54,0.999960802,4.53477241e-06
7079.22,0.999962027,4.27440336e-06
7193.72,0.999963216,4.02869823e-06
7310.07,0.999964369,3.79691816e-06
7428.31,0.999965488,3.57828325e-06
7548.45,0.999966574,3.37202055e-06
7670.54,0.999967626,3.17739981e-06
7794.61,0.999968648,2.99387745e-06
7920.68,0.999969638,2.82092573e-06
8048.79,0.999970598,2.65767497e-06
8178.98,0.999971529,2.50384837e-06
8311.26,0.999972431,2.35877374e-06
8445.69,0.999973306,2.22206856e-06
8582.29,0.999974153,2.09313849e-06
8721.11,0.999974975,1.97162774e-06
8862.16,0.999975771,1.85705774e-06
9005.5,0.999976542,1.74912324e-06
9151.16,0.999977289,1.6474551e-06
9299.17,0.999978013,1.55157257e-06
9449.58,0.999978714,1.46119077e-06
9602.42,0.999979393,1.37609634e-06
9757.73,0.999980051,1.29592057e-06
9915.55,0.999980688,1.22031152e-06
10075.9,0.999981305,1.14912521e-06
10238.9,0.999981903,1.08205298e-06
10404.5,0.999982482,1.01887676e-06
10572.8,0.999983043,9.59358918e-07
10743.8,0.999983585,9.03305086e-07
10917.6,0.999984111,8.50496768e-07
11094.2,0.99998462,8.00764547e-07
11273.6,0.999985113,7.53930167e-07
11455.9,0.99998559,7.0982424e-07
11641.2,0.999986052,6.68282181e-07
11829.5,0.999986499,6.29157826e-07
12020.8,0.999986932,5.92320485e-07
12215.3,0.999987351,5.57621632e-07
12412.8,0.999987757,5.2496096e-07
12613.6,0.99998815,4.94199283e-07
12817.6,0.99998853,4.65239089e-07
13025.0,0.999988898,4.37962944e-07
13235.6,0.999989255,4.12292109e-07
13449.7,0.9999896,3.88119336e-07
13667.2,0.999989934,3.65361731e-07
13888.3,0.999990257,3.43934904e-07
14112.9,0.99999057,3.23764198e-07
14341.2,0.999990874,3.0477279e-07
14573.1,0.999991167,2.86897483e-07
14808.9,0.999991451,2.70064407e-07
15048.4,0.999991726,2.54222858e-07
15291.8,0.999991992,2.39310218e-07
15539.1,0.99999225,2.25272608e-07
15790.4,0.999992499,2.12057768e-07
16045.8,0.999992741,1.99618201e-07
16305.4,0.999992975,1.87906149e-07
