plateifu,ring_idx,r_kpc,n_pixels,mean_v_circ_km_s,rms_residual_km_s,mode_0_abs_km_s,mode_1_abs_km_s,mode_2_abs_km_s,mode_3_abs_km_s,mode_4_abs_km_s,mode_0_rel_axisymmetric,mode_1_rel_axisymmetric,mode_2_rel_axisymmetric,mode_3_rel_axisymmetric,mode_4_rel_axisymmetric
10001-6104,2,8.396430,185,238.247318,101.567508,238.247318,30.423440,156.592637,18.957777,52.585215,1.000000,0.127697,0.657269,0.079572,0.220717
10001-6104,3,11.541937,266,229.220174,205.030325,229.220174,32.385586,169.524590,52.212326,96.078912,1.000000,0.141286,0.739571,0.227782,0.419156
10001-6104,4,14.369363,162,136.673118,286.355221,136.673118,63.374286,95.729593,117.279479,76.960185,1.000000,0.463692,0.700427,0.858102,0.563097
10001-9101,0,1.224606,45,11.566077,10.976557,11.566077,4.463456,7.829008,2.286046,1.738561,1.000000,0.385909,0.676894,0.197651,0.150315
10001-9101,1,3.183644,117,60.481210,19.880347,60.481210,34.779034,43.710958,18.836095,16.517177,1.000000,0.575039,0.722720,0.311437,0.273096
10001-9101,2,5.137629,214,98.208478,20.614722,98.208478,84.447971,78.005403,58.899924,41.533303,1.000000,0.859885,0.794284,0.599744,0.422910
10001-9101,3,6.729463,267,109.786379,31.580959,109.786379,83.483293,75.620567,67.730444,32.929918,1.000000,0.760416,0.688797,0.616929,0.299945
10001-9101,4,8.900970,127,137.553544,78.482592,137.553544,119.400423,108.786393,110.297482,105.064220,1.000000,0.868029,0.790866,0.801851,0.763806
10001-9101,5,10.841895,43,64.926468,189.689188,64.926468,98.878341,146.381033,169.596961,159.580779,1.000000,1.522928,2.254566,2.612139,2.457869
10001-9102,0,2.592146,46,81.246414,37.926767,81.246414,20.271606,43.786383,11.219051,10.153704,1.000000,0.249508,0.538933,0.138087,0.124974
10001-9102,1,5.734071,152,151.922049,95.350235,151.922049,35.880718,78.450937,32.449515,25.326563,1.000000,0.236178,0.516389,0.213593,0.166708
10001-9102,2,10.763236,238,-691.223248,846.880842,691.223248,808.591693,752.140544,771.111977,788.179836,1.000000,1.169798,1.088130,1.115576,1.140268
10001-9102,3,13.387205,340,-479.473496,1040.454634,479.473496,611.031758,597.844373,580.020474,594.915147,1.000000,1.274381,1.246877,1.209703,1.240768
10001-9102,4,17.352312,272,234.125110,387.517308,234.125110,132.028044,154.188034,118.871806,106.062149,1.000000,0.563921,0.658571,0.507728,0.453015
10001-9102,5,20.019458,20,257.376217,492.974736,257.376217,285.252842,305.730012,264.182174,210.193562,1.000000,1.108311,1.187872,1.026444,0.816678
10213-12701,0,5.126911,50,229.586447,123.575265,229.586447,205.022678,164.017820,86.220931,59.559929,1.000000,0.893009,0.714405,0.375549,0.259423
10213-12701,1,9.560865,135,115.245181,280.806781,115.245181,197.741386,60.836324,96.747178,21.804451,1.000000,1.715832,0.527886,0.839490,0.189201
10213-12701,2,15.568336,167,-127.113216,323.196602,127.113216,78.773065,92.009888,60.163192,71.939241,1.000000,0.619708,0.723842,0.473304,0.565946
10213-12701,3,22.913949,49,-218.201797,280.677112,218.201797,213.742378,204.023103,195.133626,187.204736,1.000000,0.979563,0.935020,0.894281,0.857943
10213-12701,4,28.767756,54,-14.612698,384.836965,14.612698,18.270971,25.987989,34.593841,43.311739,1.000000,1.250349,1.778452,2.367382,2.963980
10213-12701,5,33.480243,51,-571.833305,293.973959,571.833305,570.451297,566.397675,559.951800,551.583805,1.000000,0.997583,0.990494,0.979222,0.964588
10213-12702,0,1.262384,28,-38.456039,12.147208,38.456039,4.167546,22.431451,1.003527,5.922682,1.000000,0.108372,0.583301,0.026095,0.154012
10213-12702,1,2.928991,90,-72.273594,10.549736,72.273594,23.120588,39.696865,10.790005,2.842548,1.000000,0.319904,0.549258,0.149294,0.039330
10213-12702,2,4.782313,152,-92.779101,9.097937,92.779101,16.040413,44.355908,18.294683,27.397504,1.000000,0.172888,0.478081,0.197185,0.295298
10213-12702,3,6.624682,208,-107.608389,9.968842,107.608389,75.384817,74.018427,53.761697,38.703722,1.000000,0.700548,0.687850,0.499605,0.359672
10213-12702,4,8.266970,242,-120.750455,36.211695,120.750455,67.860521,72.019471,65.368913,44.857851,1.000000,0.561990,0.596432,0.541355,0.371492
10213-12702,5,9.938543,86,-105.793712,62.090058,105.793712,64.161241,22.454962,63.392987,45.508936,1.000000,0.606475,0.212252,0.599213,0.430167
10213-12704,0,2.627348,42,-244.864940,447.653821,244.864940,169.517486,151.983955,92.515587,61.272454,1.000000,0.692290,0.620685,0.377823,0.250230
10213-12704,1,6.084472,106,-21.386213,377.689881,21.386213,47.861207,91.220703,114.444135,105.911945,1.000000,2.237947,4.265398,5.351304,4.952347
10213-12704,2,9.961131,198,-8.597382,288.856725,8.597382,38.384729,26.409036,61.272198,34.033119,1.000000,4.464700,3.071753,7.126844,3.958544
10213-12704,3,13.920458,268,28.054230,370.005549,28.054230,118.370294,33.025122,90.294405,56.948030,1.000000,4.219339,1.177189,3.218566,2.029927
10213-12704,4,17.844379,341,152.517290,286.004613,152.517290,61.586872,140.225059,46.052441,87.024986,1.000000,0.403803,0.919404,0.301949,0.570591
10213-12704,5,21.389793,309,128.970167,169.837285,128.970167,105.708670,107.512663,76.039958,51.941841,1.000000,0.819637,0.833624,0.589593,0.402743
10213-12704,6,24.362095,110,24.561832,356.222596,24.561832,49.625333,70.148352,50.335719,67.290627,1.000000,2.020425,2.855990,2.049347,2.739642
10213-1902,0,1.716364,42,-124.796517,49.451488,124.796517,38.921274,68.919009,6.386606,14.077987,1.000000,0.311878,0.552251,0.051176,0.112808
10213-1902,1,3.896816,126,-198.037827,24.235249,198.037827,62.785987,110.424975,36.706328,21.392050,1.000000,0.317040,0.557595,0.185350,0.108020
10213-1902,2,5.627072,99,-208.222983,32.406316,208.222983,63.765606,53.658414,27.553660,89.862078,1.000000,0.306237,0.257697,0.132328,0.431567
