==PROF== Connected to process 1477064 (/home/eirikr/Github/open_gororoba/.cache/cargo-default-target/release/deps/gpu_sparse_1024-32f6a2758b8dee11)
==PROF== Disconnected from process 1477064
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Instruction Statistics","Executed Instructions","inst","5080326578",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Instruction Statistics","Avg. Issued Instructions Per Scheduler","inst","21168104.95",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Instruction Statistics","Issued Instructions","inst","5080345188",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","InstructionStats","","","","FPInstructions","OPT","This workload executes 341377776 fused and 115721280 non-fused FP32 instructions. By converting pairs of non-fused instructions to their fused (https://docs.nvidia.com/cuda/floating-point/#cuda-and-floating-point), higher-throughput equivalent, the achieved FP32 performance could be increased by up to 13% (relative to its current performance).","local","12.66"
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Block Size","","512",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Function Cache Configuration","","CachePreferNone",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Grid Size","","120543",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Registers Per Thread","register/thread","128",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Shared Memory Configuration Size","byte","8192",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Driver Shared Memory Per Block","byte/block","1024",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","0",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Static Shared Memory Per Block","byte/block","0",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","# SMs","SM","60",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Stack Size","","1024",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Threads","thread","61718016",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","# TPCs","","30",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Enabled TPC IDs","","all",
