Dimension,Gamma,Perturbation Magnitude,Quantum Coherence,Stable,Stability Boundary
32,10,0.01616161616161616,0.8507676991743109,True,0.01616161616161616
32,10,0.0202020202020202,0.8170784211407314,True,0.0202020202020202
32,10,0.024242424242424242,0.7847231940537559,True,0.024242424242424242
32,10,0.028282828282828285,0.7536491912565962,True,0.028282828282828285
32,10,0.03232323232323232,0.7238056779583512,True,0.03232323232323232
32,10,0.03636363636363636,0.6951439283988787,True,0.03636363636363636
32,10,0.0404040404040404,0.6676171462938304,True,0.0404040404040404
32,10,0.044444444444444446,0.6411803884299545,True,0.044444444444444446
32,10,0.048484848484848485,0.6157904912859287,True,0.048484848484848485
32,10,0.052525252525252523,0.5914060005589061,True,0.052525252525252523
32,10,0.05656565656565657,0.5679871034817214,True,0.05656565656565657
32,10,0.06060606060606061,0.5454955638202436,True,0.06060606060606061
