Iteration,Dimension,Perturbation Magnitude,Quantum Coherence
90,64,0.009593289327859033,0.9085249821559375
91,64,0.0173511216571682,0.8407077212505767
92,64,0.02721772026674889,0.7617192704432393
93,64,0.0390362323380267,0.6768116053988114
94,64,0.052618774791624925,0.5908531628172082
95,64,0.06774942113133539,0.5078880593410622
96,64,0.08418763410423488,0.43090124673252794
97,64,0.10167208960673381,0.3617793092328727
98,64,0.11992483104656208,0.3014207015633978
99,64,0.13865568811733128,0.24993437860048798
100,64,0.15756688973884164,0.20686913216950217
101,64,0.1763577978295873,0.17143039097516816
102,64,0.19472968665699952,0.1426591776476807
103,64,0.21239049178639793,0.11956382881516749
104,64,0.22905945313292855,0.10120627366336071
105,64,0.24447157830424054,0.08675078744310608
106,64,0.25838185527856156,0.07548520872966101
107,64,0.270569147447734,0.06682410070726467
108,64,0.2808397091043289,0.06030157289811804
109,64,0.2890302654858948,0.05555939474582705
110,64,0.29501060841178295,0.052334153831400325
111,64,0.2986856662487905,0.05044575580462851
112,64,0.2999970152986433,0.049788554385345456
113,64,0.2989238085802544,0.050325766035554505
114,64,0.29548310724157917,0.05208745884139957
115,64,0.28972960933249253,0.05517219903025593
116,64,0.28175478025048534,0.0597522876123145
117,64,0.27168539868278907,0.06608232360802807
118,64,0.25968154116060715,0.0745104860161902
119,64,0.24593403726570623,0.08549132478783447
120,64,0.23066143594485192,0.09959788401480654
121,64,0.21410653115966563,0.11752957069198562
122,64,0.19653250210487688,0.14011034040469597
123,64,0.17821872935529537,0.1682696892461211
124,64,0.15945635345369347,0.20299711039745952
125,64,0.14054364654630697,0.24525998557507947
126,64,0.12178127064470533,0.29587662870787207
127,64,0.10346749789512355,0.3553418557406848
128,64,0.08589346884033501,0.4236131219975484
129,64,0.06933856405514867,0.49988078421889137
130,64,0.05406596273429411,0.5823639824440823
131,64,0.04031845883939332,0.6681887480514568
132,64,0.028314601317211197,0.7534097720773149
133,64,0.018245219749515006,0.8332244731932746
134,64,0.010270390667507711,0.9023941268058036
135,64,0.004516892758420948,0.9558360011276402
136,64,0.001076191419745659,0.9892957880201962
137,64,2.984701356650854e-06,0.9999701534318514
138,64,0.0013143337512093677,0.986942658975801
139,64,0.0049893915882168295,0.951330340187749
140,64,0.01096973451410504,0.8961053048837153
141,64,0.01916029089567074,0.8256346555334704
142,64,0.02943085255226569,0.7450465900912834
143,64,0.04161814472143793,0.6595605841956289
144,64,0.055528421695758896,0.5739091233092977
145,64,0.07094054686707106,0.49193658224656434
146,64,0.0876095082136014,0.4164057713878467
147,64,0.10527031334300004,0.3489930980172979
148,64,0.123642202170412,0.29042148293925313
149,64,0.14243311026115762,0.24066939250786984
150,64,0.16134431188266826,0.19920056074977657
151,64,0.18007516895343723,0.16517468146557476
152,64,0.19832791039326575,0.1376172354174541
153,64,0.21581236589576444,0.11554171343293526
154,64,0.232250578868664,0.09802764103660629
155,64,0.24738122520837474,0.0842630140633887
156,64,0.2609637676619728,0.07356119187484549
157,64,0.2727822797332508,0.0653614399684195
158,64,0.28264887834283164,0.05922042477949928
159,64,0.2904067106721407,0.054799889211322436
160,64,0.2959324477083104,0.05185393386476211
161,64,0.2991382448492517,0.05021796496412969
162,64,0.2999731384004607,0.049800443767133946
163,64,0.29842385576294933,0.05057800112350346
164,64,0.294515026432462,0.05259415619711277
165,64,0.2883087904556421,0.05596169139576803
166,64,0.279903810567666,0.06086858362025345
167,64,0.26943370371573666,0.06758717471002922
168,64,0.2570649169030711,0.07648587704140587
169,64,0.24299408112183624,0.08804204352944561
170,64,0.22744488544050626,0.10285358011428232
171,64,0.21066452093938196,0.12164537743147484
172,64,0.19291975102628545,0.1452647251727546
173,64,0.17449267060402726,0.17465778985870706
174,64,0.15567622150765112,0.21081754924831173
175,64,0.1367695355041538,0.25469326122513414
176,64,0.11807317888866029,0.3070539576912506
177,64,0.0998843742753917,0.36830505045047074
178,64,0.08249227554432215,0.4382688450401538
179,64,0.0661733710593591,0.5159560401726547
180,64,0.05118708823473116,0.5993731725066865
181,64,0.03777166932534551,0.6854246585914737
182,64,0.02614038400513501,0.7699699121318136
183,64,0.016478138943390713,0.8480790828726953
184,64,0.008938538277836356,0.914493075773188
185,64,0.0036414417151566566,0.9642406128233919
186,64,0.0006710590787162184,0.9933118749463233
187,64,7.461159512056614e-05,0.9992541623240879
188,64,0.0018615812016246458,0.9815563919841973
189,64,0.006003559808411385,0.9417310091678728
190,64,0.012434700912075202,0.883073353200962
191,64,0.02105276638084621,0.8101566428251524
192,64,0.03172075177044465,0.728179629280507
193,64,0.04426906433233769,0.6423058779679128
194,64,0.05849821908982965,0.5571157834554741
195,64,0.07418201012151261,0.4762463097083527
196,64,0.09107110663704943,0.40223810433172086
197,64,0.10889701667720836,0.33656291897323437
198,64,0.1273763554257935,0.27977668313708953
199,64,0.1462153502786057,0.23173669138523814
200,64,0.16511451105075994,0.1918301161197776
201,64,0.1837733910784036,0.15917772864819607
202,64,0.2018953635259281,0.13279434372763396
203,64,0.21919233696801046,0.11170169821335131
204,64,0.23538933528120937,0.09499857829474095
205,64,0.2502288690369591,0.08189734629900662
206,64,0.2634750289023643,0.07173688065868994
207,64,0.27491723597456375,0.06398079237898055
208,64,0.28437358942825713,0.058207801066575186
209,64,0.29169375825765953,0.054099107928277906
210,64,0.2967613711418359,0.051425881021919945
211,64,0.2994958664408751,0.05003869542289867
212,64,0.2998537729128627,0.04985992380191698
213,64,0.29782940079163495,0.05087955999338848
214,64,0.29345493223901126,0.05315466952849644
215,64,0.2867999097335492,0.05681248918909061
216,64,0.2779701305290918,0.062057040719039
217,64,0.2671059647582869,0.06917888122249372
218,64,0.2543801239187885,0.07856717880674559
219,64,0.23999491521730484,0.09072256621748048
220,64,0.22417902542015652,0.10626808709302632
221,64,0.20718388533862125,0.1259539577635023
222,64,0.18927967274412177,0.15064989243060678
223,64,0.17075101725634048,0.1813166783107781
224,64,0.1518924754851762,0.21894718232495627
225,64,0.13300384835980988,0.26446708345903497
226,64,0.11438541508697395,0.31858876337892816
227,64,0.09633315950586611,0.38161936453502604
228,64,0.07913406472804978,0.45323675716518724
229,64,0.0630615508651149,0.5322640870115921
230,64,0.048371128372156694,0.6164911672558046
231,64,0.03529633610742416,0.7026029355224487
232,64,0.02404502868223274,0.7862737326423045
233,64,0.014796072122466624,0.8624649908453477
234,64,0.007696500371907732,0.9259222568749094
235,64,0.002859177841465099,0.9718130985875603
236,64,0.00036100516359386937,0.9963964567662236
237,64,0.0002416966756572436,0.9975859517557895
238,64,0.002503149067016508,0.9752791993491684
239,64,0.0071094112266864625,0.9313742342623309
240,64,0.013987255770902445,0.8694690354641607
241,64,0.023027343164818435,0.794316381569756
242,64,0.03408595993188542,0.7111587483701064
243,64,0.04698730331797447,0.6250816278712678
244,64,0.061526276090129166,0.5404988546825686
245,64,0.07747174704004507,0.4608339618428272
246,64,0.09457022535888589,0.38840671509636887
247,64,0.11254989047060816,0.32449053711178344
248,64,0.13112491326009404,0.26948322577271566
249,64,0.1499999999999998,0.22313016014843026
