id	key	title	status	has_links	working_count	nonworking_count	source_refs
ASOT-0035	doi:10.1103/physreve.66.056108	**Laskin, N.** (2002). *Fractional Schrodinger equation*. Physical Review E, 66, 056108. DOI: 10.1103/PhysRevE.66.056108.	blocked	yes	0	1	BIB-0100; docs/BIBLIOGRAPHY.md:217; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:199; refs.bib::Laskin2002FractionalSchrodinger; registry/bibliography.toml::entry/99::BIB-0100; registry/bibliography_normalized.toml::entry/99::BIBN-0100
ASOT-0036	doi:10.1103/physrevlett.43.744	Parisi, G. & Sourlas, N.** (1979). *Random Magnetic Fields, Supersymmetry, and Negative Dimensions*. Physical Review Letters 43, 744. [APS]().	blocked	yes	0	1	docs/BIBLIOGRAPHY.md:212; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:196
ASOT-0037	doi:10.1103/physrevlett.49.405	**Thouless, D. J., Kohmoto, M., Nightingale, M. P., & den Nijs, M.** (TKNN) (1982). *Quantized Hall Conductance in a Two-Dimensional Periodic Potential*. Phys. Rev. Lett. 49, 405. DOI: 10.1103/PhysRevLett.49.405.	blocked	yes	0	1	BIB-0024; docs/BIBLIOGRAPHY.md:63; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:61; refs.bib::TKNN1982QuantizedHall; registry/bibliography.toml::entry/23::BIB-0024; registry/bibliography_normalized.toml::entry/23::BIBN-0024
ASOT-0038	doi:10.1103/physrevlett.69.2863	**White, S. R.** (1992). *Density matrix formulation for quantum renormalization groups*. Phys. Rev. Lett. 69, 2863. DOI: 10.1103/PhysRevLett.69.2863.	blocked	yes	0	1	BIB-0033; docs/BIBLIOGRAPHY.md:83; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:79; refs.bib::White1992DMRG; registry/bibliography.toml::entry/32::BIB-0033; registry/bibliography_normalized.toml::entry/32::BIBN-0033
ASOT-0039	doi:10.1103/physrevlett.71.3697	**Hatsugai, Y.** (1993). *Chern number and edge states in the integer quantum Hall effect*. Phys. Rev. Lett. 71, 3697. DOI: 10.1103/PhysRevLett.71.3697.	blocked	yes	0	1	BIB-0027; docs/BIBLIOGRAPHY.md:69; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:67; refs.bib::Hatsugai1993BulkEdge; registry/bibliography.toml::entry/26::BIB-0027; registry/bibliography_normalized.toml::entry/26::BIBN-0027
ASOT-0040	doi:10.1103/physrevlett.78.5	**Lamoreaux, S. K.** (1997). *Demonstration of the Casimir Force in the 0.6 to 6 um Range*. Phys. Rev. Lett. 78, 5-8. DOI: 10.1103/PhysRevLett.78.5.	blocked	yes	0	1	BIB-0145; docs/BIBLIOGRAPHY.md:313; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:279; refs.bib::Lamoreaux1997CasimirMeasurement; registry/bibliography.toml::entry/144::BIB-0145; registry/bibliography_normalized.toml::entry/144::BIBN-0145
ASOT-0045	doi:10.1143/jpsj.74.1674	**Fukui, T., Hatsugai, Y., & Suzuki, H.** (2005). *Chern Numbers in Discretized Brillouin Zone: Efficient Method of Computing (Spin) Hall Conductances*. J. Phys. Soc. Jpn. 74, 1674-1677. DOI: 10.1143/JPSJ.74.1674.	blocked	yes	0	1	BIB-0025; docs/BIBLIOGRAPHY.md:65; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:63; refs.bib::FukuiHatsugaiSuzuki2005ChernNumbers; registry/bibliography.toml::entry/24::BIB-0025; registry/bibliography_normalized.toml::entry/24::BIBN-0025
ASOT-0047	doi:10.1177/2156587216668109	Effects of Singing Bowl Sound Meditation on Mood, Tension, and Well-being	blocked	yes	0	1	refs.bib::Goldsby2017SingingBowl
ASOT-0062	doi:10.7151/dmgaa.1088	**Cawagas, R. E.** (2004). *On the structure and zero divisors of the Cayley-Dickson sedenion algebra*. Discussiones Mathematicae -- General Algebra and Applications 24(2), 251-265. DOI: 10.7151/dmgaa.1088.	blocked	yes	0	1	BIB-0091; docs/BIBLIOGRAPHY.md:200; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:186; refs.bib::Cawagas2004SedenionStructure; registry/bibliography.toml::entry/90::BIB-0091; registry/bibliography_normalized.toml::entry/90::BIBN-0091; reports/literature_canonical_gap_matrix_2026_02_14.toml::canonical_check/10::CAN-SED-2004-CAWAGAS
ASOT-0066	title:abbott_r_et_al_2020_gw190521_a_binary_black_hole_merger_with_a_total_mass_of_150_solar_masses_physical_review_letters_125_10_101102	**Abbott, R., et al.** (2020). *GW190521: A Binary Black Hole Merger with a Total Mass of 150 Solar Masses*. Physical Review Letters, 125(10), 101102.	citation_only_no_link	no	0	0	BIB-0010
ASOT-0072	title:anderson_d_f_livingston_p_s_1999_the_zero_divisor_graph_of_a_commutative_ring_journal_of_algebra_217_2_434_447	**Anderson, D. F., & Livingston, P. S.** (1999). *The zero-divisor graph of a commutative ring*. Journal of Algebra 217(2), 434-447.	citation_only_no_link	no	0	0	BIB-0164
ASOT-0073	title:antoniadis_j_et_al_ipta_2022_the_international_pulsar_timing_array_second_data_release_search_for_an_isotropic_gravitational_wave_background_mnras_510_4_4873_4887	**Antoniadis, J., et al. (IPTA).** (2022). *The International Pulsar Timing Array second data release: Search for an isotropic gravitational wave background*. MNRAS 510(4), 4873-4887.	citation_only_no_link	no	0	0	BIB-0181
ASOT-0078	title:bales_j_w_2023_the_cayley_dickson_algebras_and_their_combinatorics_bulletin_of_the_malaysian_mathematical_sciences_society	**Bales, J. W.** (2023). *The Cayley-Dickson Algebras and their Combinatorics*. Bulletin of the Malaysian Mathematical Sciences Society.	citation_only_no_link	no	0	0	BIB-0160
ASOT-0079	title:bardeen_j_m_1973_timelike_and_null_geodesics_in_the_kerr_metric_in_black_holes_les_astres_occlus_ed_dewitt_dewitt_gordon_and_breach_pp_215_239	**Bardeen, J. M.** (1973). *Timelike and null geodesics in the Kerr metric*. In: Black Holes (Les Astres Occlus), ed. DeWitt & DeWitt, Gordon and Breach, pp. 215-239.	citation_only_no_link	no	0	0	BIB-0011
ASOT-0080	title:besag_j_clifford_p_1991_sequential_monte_carlo_p_values_biometrika_78_2_301_304	**Besag, J., & Clifford, P.** (1991). *Sequential Monte Carlo p-values*. Biometrika 78(2), 301-304.	citation_only_no_link	no	0	0	BIB-0171
ASOT-0084	title:bohren_c_f_huffman_d_r_1983_absorption_and_scattering_of_light_by_small_particles_wiley	**Bohren, C. F., & Huffman, D. R.** (1983). *Absorption and Scattering of Light by Small Particles*. Wiley.	citation_only_no_link	no	0	0	BIB-0177
ASOT-0086	title:borcherds_r_e_1992_monstrous_moonshine_and_monstrous_lie_superalgebras_invent_math_109_405_444	**Borcherds, R. E.** (1992). *Monstrous moonshine and monstrous Lie superalgebras*. Invent. Math. 109, 405-444.	citation_only_no_link	no	0	0	BIB-0115
ASOT-0088	title:boyer_r_h_lindquist_r_w_1967_maximal_analytic_extension_of_the_kerr_metric_journal_of_mathematical_physics_8_2_265_281	**Boyer, R. H., & Lindquist, R. W.** (1967). *Maximal analytic extension of the Kerr metric*. Journal of Mathematical Physics 8(2), 265-281.	citation_only_no_link	no	0	0	BIB-0176
ASOT-0089	title:bradley_p_e_2008_on_p_adic_classification_p_adic_numbers_ultrametric_analysis_and_applications_1_4_271_285	**Bradley, P. E.** (2008). *On p-adic classification*. p-Adic Numbers, Ultrametric Analysis and Applications, 1(4), 271-285.	citation_only_no_link	no	0	0	BIB-0169
ASOT-0090	title:bradley_p_e_2010_ultrametric_approximation_of_distances_mathematics_in_computer_science_4_2_3_233_244	**Bradley, P. E.** (2010). *Ultrametric approximation of distances*. Mathematics in Computer Science 4(2-3), 233-244.	citation_only_no_link	no	0	0	BIB-0170
ASOT-0093	title:casimir_h_b_g_1948_on_the_attraction_between_two_perfectly_conducting_plates_proc_k_ned_akad_wet_51_793_795	**Casimir, H. B. G.** (1948). *On the attraction between two perfectly conducting plates*. Proc. K. Ned. Akad. Wet. 51, 793-795.	citation_only_no_link	no	0	0	BIB-0141
ASOT-0094	title:cayley_a_1845_on_jacobi_s_elliptic_functions_in_reply_to_the_rev_b_bronwin_and_on_quaternions	**Cayley, A.** (1845). *On Jacobi's Elliptic Functions, in reply to the Rev. B. Bronwin; and on Quaternions*.	citation_only_no_link	no	0	0	BIB-0094
ASOT-0150	title:collingwood_d_h_mcgovern_w_m_1993_nilpotent_orbits_in_semisimple_lie_algebras_van_nostrand_reinhold	**Collingwood, D. H., & McGovern, W. M.** (1993). *Nilpotent Orbits in Semisimple Lie Algebras*. Van Nostrand Reinhold.	citation_only_no_link	no	0	0	BIB-0124
ASOT-0162	title:conway_j_h_norton_s_p_1979_monstrous_moonshine_bull_london_math_soc_11_308_339	**Conway, J. H., & Norton, S. P.** (1979). *Monstrous Moonshine*. Bull. London Math. Soc. 11, 308-339.	citation_only_no_link	no	0	0	BIB-0114
ASOT-0163	title:conway_j_h_sloane_n_j_a_1999_sphere_packings_lattices_and_groups_springer_3rd_ed	**Conway, J. H., & Sloane, N. J. A.** (1999). *Sphere Packings, Lattices and Groups*. Springer, 3rd ed.	citation_only_no_link	no	0	0	BIB-0127
ASOT-0168	title:cunningham_c_t_bardeen_j_m_1973_the_optical_appearance_of_a_star_orbiting_an_extreme_kerr_black_hole_apj_183_237	**Cunningham, C. T., & Bardeen, J. M.** (1973). *The Optical Appearance of a Star Orbiting an Extreme Kerr Black Hole*. ApJ 183, 237.	citation_only_no_link	no	0	0	BIB-0012
ASOT-0181	title:de_marrais_r_p_c_undated_flying_higher_than_a_box_kite_kite_chain_middens_sand_mandalas_and_zero_divisor_patterns_in_the_2_n_ions_beyond_the_sedenions_unpublished_manuscript_contains_the_canonical_strut_table_7_box_kites_x_6_assessor_pairs_kite_chain_midden_definitions_emanation_table_structure_168_cells_each_psl_2_7_and_15_sand_mandala_layouts_for_32d_pathions_extracted_to_docs_external_sources_de_marrais_flying_higher_md	**de Marrais, R. P. C.** (undated). *Flying Higher Than A Box-Kite: Kite-Chain Middens, Sand Mandalas, and Zero-Divisor Patterns in the 2^n-ions Beyond the Sedenions*. Unpublished manuscript. Contains the canonical strut table (7 box-kites x 6 assessor pairs), kite-chain midden definitions, emanation table structure (168 cells each, |PSL(2,7)|), and 15 sand mandala layouts for 32D pathions. Extracted to `docs/external_sources/DE_MARRAIS_FLYING_HIGHER.md`.	citation_only_no_link	no	0	0	BIB-0081
ASOT-0182	title:demeyer_f_r_mckenzie_t_schneider_k_2002_the_zero_divisor_graph_of_a_commutative_semigroup_semigroup_forum_65_206_214	**DeMeyer, F. R., McKenzie, T., & Schneider, K.** (2002). *The zero-divisor graph of a commutative semigroup*. Semigroup Forum 65, 206-214.	citation_only_no_link	no	0	0	BIB-0166
ASOT-0183	title:derjaguin_b_v_rabinovich_y_i_churaev_n_v_1978_direct_measurement_of_molecular_forces_nature_272_313_318	**Derjaguin, B. V., Rabinovich, Y. I., & Churaev, N. V.** (1978). *Direct measurement of molecular forces*. Nature 272, 313-318.	citation_only_no_link	no	0	0	BIB-0144
ASOT-0185	title:distler_j_garibaldi_s_2010_there_is_no_theory_of_everything_inside_e8_commun_math_phys_298_419_436	"**Distler, J., & Garibaldi, S.** (2010). *There is no ""Theory of Everything"" inside E8*. Commun. Math. Phys. 298, 419-436."	citation_only_no_link	no	0	0	BIB-0140
ASOT-0186	title:dixon_g_m_1994_division_algebras_octonions_quaternions_complex_numbers_and_the_algebraic_design_of_physics_springer	**Dixon, G. M.** (1994). *Division Algebras: Octonions, Quaternions, Complex Numbers and the Algebraic Design of Physics*. Springer.	citation_only_no_link	no	0	0	BIB-0133
ASOT-0190	title:draine_b_t_2003_scattering_by_interstellar_dust_grains_i_optical_and_ultraviolet_apj_598_1017	**Draine, B. T.** (2003). *Scattering by interstellar dust grains. I. Optical and ultraviolet*. ApJ 598, 1017.	citation_only_no_link	no	0	0	BIB-0178
ASOT-0196	title:eht_collaboration_2019_first_m87_event_horizon_telescope_results_ii_array_and_instrumentation_apjl_875_l2	**EHT Collaboration.** (2019). *First M87 Event Horizon Telescope Results. II. Array and Instrumentation*. ApJL 875, L2.	citation_only_no_link	no	0	0	BIB-0182
ASOT-0197	title:eht_collaboration_2019_first_m87_event_horizon_telescope_results_iii_data_processing_and_calibration_apjl_875_l3	**EHT Collaboration.** (2019). *First M87 Event Horizon Telescope Results. III. Data Processing and Calibration*. ApJL 875, L3.	citation_only_no_link	no	0	0	BIB-0183
ASOT-0198	title:eht_collaboration_2019_first_m87_event_horizon_telescope_results_iv_imaging_the_central_supermassive_black_hole_apjl_875_l4	**EHT Collaboration.** (2019). *First M87 Event Horizon Telescope Results. IV. Imaging the Central Supermassive Black Hole*. ApJL 875, L4.	citation_only_no_link	no	0	0	BIB-0184
ASOT-0199	title:eht_collaboration_2019_first_m87_event_horizon_telescope_results_v_physical_origin_of_the_asymmetric_ring_apjl_875_l5	**EHT Collaboration.** (2019). *First M87 Event Horizon Telescope Results. V. Physical Origin of the Asymmetric Ring*. ApJL 875, L5.	citation_only_no_link	no	0	0	BIB-0185
ASOT-0200	title:eht_collaboration_2019_first_m87_event_horizon_telescope_results_vi_the_shadow_and_mass_of_the_central_black_hole_apjl_875_l6	**EHT Collaboration.** (2019). *First M87 Event Horizon Telescope Results. VI. The Shadow and Mass of the Central Black Hole*. ApJL 875, L6.	citation_only_no_link	no	0	0	BIB-0186
ASOT-0201	title:eht_collaboration_2022_first_sagittarius_a_event_horizon_telescope_results_i_apjl_930_l12	**EHT Collaboration.** (2022). *First Sagittarius A* Event Horizon Telescope Results. I.* ApJL 930, L12.	citation_only_no_link	no	0	0	BIB-0016
ASOT-0223	title:frenkel_i_lepowsky_j_meurman_a_1988_vertex_operator_algebras_and_the_monster_academic_press	**Frenkel, I., Lepowsky, J., & Meurman, A.** (1988). *Vertex Operator Algebras and the Monster*. Academic Press.	citation_only_no_link	no	0	0	BIB-0117
ASOT-0224	title:furey_c_2018a_three_generations_two_unbroken_gauge_symmetries_and_one_eight_dimensional_algebra_phys_lett_b_785_84_89	**Furey, C.** (2018a). *Three generations, two unbroken gauge symmetries, and one eight-dimensional algebra*. Phys. Lett. B 785, 84-89.	citation_only_no_link	no	0	0	BIB-0131
ASOT-0225	title:furey_c_gillard_a_b_sherwin_m_2024_clifford_algebra_cl_8_and_three_generations_of_fermions_eur_phys_j_c_84	**Furey, C., Gillard, A. B., & Sherwin, M.** (2024). *Clifford algebra Cl(8) and three generations of fermions*. Eur. Phys. J. C 84.	citation_only_no_link	no	0	0	BIB-0137
ASOT-0227	title:gaberdiel_m_r_zwiebach_b_1997_tensor_constructions_of_open_string_theories_i_ii_nucl_phys_b_505_569_624	**Gaberdiel, M. R., & Zwiebach, B.** (1997). *Tensor constructions of open string theories I, II*. Nucl. Phys. B 505, 569-624.	citation_only_no_link	no	0	0	BIB-0122
ASOT-0228	title:gannon_t_2006_moonshine_beyond_the_monster_the_bridge_connecting_algebra_modular_forms_and_physics_cambridge_university_press	**Gannon, T.** (2006). *Moonshine beyond the Monster: The Bridge Connecting Algebra, Modular Forms and Physics*. Cambridge University Press.	citation_only_no_link	no	0	0	BIB-0116
ASOT-0238	title:gresnigt_n_g_gourlay_l_varma_a_2023_toward_a_three_generation_model_of_standard_model_fermions_based_on_cayley_dickson_sedenions_phys_part_nucl_54_1006_1010	**Gresnigt, N. G., Gourlay, L., & Varma, A.** (2023). *Toward a Three Generation Model of Standard Model Fermions Based on Cayley-Dickson Sedenions*. Phys. Part. Nucl. 54, 1006-1010.	citation_only_no_link	no	0	0	BIB-0136
ASOT-0239	title:gugenheim_v_k_a_m_stasheff_j_d_1991_on_perturbations_and_a_infinity_structures_bulletin_de_la_societe_mathematique_de_belgique_38_237_246	**Gugenheim, V. K. A. M., & Stasheff, J. D.** (1991). *On perturbations and A-infinity structures*. Bulletin de la Societe Mathematique de Belgique, 38, 237-246.	citation_only_no_link	no	0	0	BIB-0070
ASOT-0240	title:guterman_a_zhilina_s_2023_on_doubly_alternative_zero_divisors_in_cayley_dickson_algebras_j_math_sci	**Guterman, A., & Zhilina, S.** (2023). *On Doubly Alternative Zero Divisors in Cayley-Dickson Algebras*. J. Math. Sci.	citation_only_no_link	no	0	0	BIB-0092
ASOT-0241	title:gwpy_2023_a_python_package_for_gravitational_wave_astrophysics	**GWpy.** (2023). *A Python package for gravitational-wave astrophysics*.	citation_only_no_link	no	0	0	BIB-0149
ASOT-0244	title:harper_p_g_1955_single_band_motion_of_conduction_electrons_in_a_uniform_magnetic_field_proc_phys_soc_a_68_874	**Harper, P. G.** (1955). *Single Band Motion of Conduction Electrons in a Uniform Magnetic Field*. Proc. Phys. Soc. A 68, 874.	citation_only_no_link	no	0	0	BIB-0026
ASOT-0247	title:hirschfeld_j_w_p_1998_projective_geometries_over_finite_fields_oxford_mathematical_monographs_2nd_ed	**Hirschfeld, J. W. P.** (1998). *Projective Geometries over Finite Fields*. Oxford Mathematical Monographs, 2nd ed.	citation_only_no_link	no	0	0	BIB-0163
ASOT-0255	title:jarvis_nist_landing_page_accessed_2026_01_27_https_jarvis_nist_gov	**JARVIS (NIST) landing page**. (Accessed 2026-01-27). https://jarvis.nist.gov/	citation_only_no_link	no	0	0	BIB-0129
ASOT-0256	title:kac_v_g_1990_infinite_dimensional_lie_algebras_cambridge_university_press_3rd_ed	**Kac, V. G.** (1990). *Infinite-Dimensional Lie Algebras*. Cambridge University Press, 3rd ed.	citation_only_no_link	no	0	0	BIB-0109
ASOT-0260	title:kolmogorov_a_n_1941_the_local_structure_of_turbulence_in_incompressible_viscous_fluid_for_very_large_reynolds_numbers_proc_ussr_acad_sci_30_299_303	**Kolmogorov, A. N.** (1941). *The local structure of turbulence in incompressible viscous fluid for very large Reynolds numbers*. Proc. USSR Acad. Sci. 30, 299-303.	citation_only_no_link	no	0	0	BIB-0045
ASOT-0261	title:kraichnan_r_h_1967_inertial_ranges_in_two_dimensional_turbulence_phys_fluids_10_1417_1423	**Kraichnan, R. H.** (1967). *Inertial Ranges in Two-Dimensional Turbulence*. Phys. Fluids 10, 1417-1423.	citation_only_no_link	no	0	0	BIB-0044
ASOT-0269	title:leonhardt_u_philbin_t_2010_geometry_and_light_the_science_of_invisibility_dover	**Leonhardt, U., & Philbin, T.** (2010). *Geometry and Light: The Science of Invisibility*. Dover.	citation_only_no_link	no	0	0	BIB-0058
ASOT-0271	title:mandelbrot_b_b_1990_negative_fractal_dimensions_and_multifractals_physica_a_163_306_315	**Mandelbrot, B. B.** (1990). *Negative fractal dimensions and multifractals*. Physica A 163, 306-315.	citation_only_no_link	no	0	0	BIB-0047
ASOT-0274	title:mathis_j_s_rumpl_w_nordsieck_k_h_1977_the_size_distribution_of_interstellar_grains_apj_217_425_433	**Mathis, J. S., Rumpl, W., & Nordsieck, K. H.** (1977). *The size distribution of interstellar grains*. ApJ 217, 425-433.	citation_only_no_link	no	0	0	BIB-0179
ASOT-0275	title:moreno_g_1998_the_zero_divisors_of_the_cayley_dickson_algebras_over_the_real_numbers_boletin_de_la_sociedad_matematica_mexicana_4_1_13_28_cited_by_reggiani_2024_original_source_for_the_bundle_topology_picture	**Moreno, G.** (1998). *The zero divisors of the Cayley-Dickson algebras over the real numbers*. *Boletin de la Sociedad Matematica Mexicana* 4(1), 13-28. (Cited by Reggiani 2024; original source for the bundle/topology picture.)	citation_only_no_link	no	0	0	BIB-0089
ASOT-0277	title:mulay_s_b_2002_cycles_and_symmetries_of_zero_divisors_communications_in_algebra_30_7_3533_3558	**Mulay, S. B.** (2002). *Cycles and symmetries of zero-divisors*. Communications in Algebra 30(7), 3533-3558.	citation_only_no_link	no	0	0	BIB-0165
ASOT-0279	title:murtagh_f_2004_on_ultrametricity_data_coding_and_computation_journal_of_classification_21_2_167_184	**Murtagh, F.** (2004). *On ultrametricity, data coding, and computation*. Journal of Classification 21(2), 167-184.	citation_only_no_link	no	0	0	BIB-0168
ASOT-0288	title:nielsen_m_a_chuang_i_l_2000_quantum_computation_and_quantum_information_cambridge_university_press	**Nielsen, M. A., & Chuang, I. L.** (2000). *Quantum Computation and Quantum Information*. Cambridge University Press.	citation_only_no_link	no	0	0	BIB-0034
ASOT-0291	title:north_b_v_curtis_d_sham_p_c_2002_a_note_on_the_calculation_of_empirical_p_values_from_monte_carlo_procedures_american_journal_of_human_genetics_71_2_439_441	**North, B. V., Curtis, D., & Sham, P. C.** (2002). *A note on the calculation of empirical P values from Monte Carlo procedures*. American Journal of Human Genetics 71(2), 439-441.	citation_only_no_link	no	0	0	BIB-0173
ASOT-0292	title:novikov_i_d_thorne_k_s_1973_astrophysics_of_black_holes_in_black_holes_les_astres_occlus_ed_dewitt_dewitt_gordon_and_breach_pp_343_450	**Novikov, I. D., & Thorne, K. S.** (1973). *Astrophysics of Black Holes*. In: Black Holes (Les Astres Occlus), ed. DeWitt & DeWitt, Gordon and Breach, pp. 343-450.	citation_only_no_link	no	0	0	BIB-0175
ASOT-0293	title:ohno_k_2020_symplectic_ray_tracing_based_on_hamiltonian_optics_in_gradient_index_media_josa_a_37_3	**Ohno, K.** (2020). *Symplectic ray tracing based on Hamiltonian optics in gradient-index media*. JOSA A 37(3).	citation_only_no_link	no	0	0	BIB-0055
ASOT-0300	title:page_d_n_thorne_k_s_1974_disk_accretion_onto_a_black_hole_time_averaged_structure_of_accretion_disk_astrophysical_journal_191_499_506	**Page, D. N., & Thorne, K. S.** (1974). *Disk-accretion onto a black hole. Time-averaged structure of accretion disk*. Astrophysical Journal 191, 499-506.	citation_only_no_link	no	0	0	BIB-0174
ASOT-0303	title:parisi_g_sourlas_n_1979_random_magnetic_fields_supersymmetry_and_negative_dimensions_phys_rev_lett_43_744	**Parisi, G., & Sourlas, N.** (1979). *Random Magnetic Fields, Supersymmetry, and Negative Dimensions*. Phys. Rev. Lett. 43, 744.	citation_only_no_link	no	0	0	BIB-0046
ASOT-0306	title:pfenning_m_j_ford_l_h_1997_the_unphysical_nature_of_warp_drive_cqg_14_1743_1751	"**Pfenning, M. J., & Ford, L. H.** (1997). *The unphysical nature of ""Warp Drive""*. CQG 14, 1743-1751."	citation_only_no_link	no	0	0	BIB-0019
ASOT-0308	title:phipson_b_smyth_g_k_2010_permutation_p_values_should_never_be_zero_calculating_exact_p_values_when_permutations_are_randomly_drawn_statistical_applications_in_genetics_and_molecular_biology_9_1_article_39	**Phipson, B., & Smyth, G. K.** (2010). *Permutation P-values should never be zero: calculating exact P-values when permutations are randomly drawn*. Statistical Applications in Genetics and Molecular Biology 9(1), Article 39.	citation_only_no_link	no	0	0	BIB-0172
ASOT-0314	title:polster_b_1998_a_geometrical_picture_book_springer	**Polster, B.** (1998). *A Geometrical Picture Book*. Springer.	citation_only_no_link	no	0	0	BIB-0162
ASOT-0328	title:qiskit_2023_an_open_source_framework_for_quantum_computing_ibm	**Qiskit.** (2023). *An Open-Source Framework for Quantum Computing*. IBM.	citation_only_no_link	no	0	0	BIB-0148
