path	class	reason
docs/book/src/registry/claims.md	generated_doc	book registry appendix; generated marker text
docs/book/src/registry/experiments.md	generated_doc	book registry appendix
docs/book/src/registry/insights.md	generated_doc	book registry appendix; generated marker text
docs/claims/INDEX.md	authored	manual source doc
docs/claims/by_domain/algebra.md	authored	manual source doc
docs/claims/by_domain/coq.md	authored	manual source doc
docs/claims/by_domain/cosmology.md	authored	manual source doc
docs/claims/by_domain/cpp.md	authored	manual source doc
docs/claims/by_domain/datasets.md	authored	manual source doc
docs/claims/by_domain/engineering.md	authored	manual source doc
docs/claims/by_domain/gravitational-waves.md	authored	manual source doc
docs/claims/by_domain/holography.md	authored	manual source doc
docs/claims/by_domain/legacy.md	authored	manual source doc
docs/claims/by_domain/materials.md	authored	manual source doc
docs/claims/by_domain/meta.md	authored	manual source doc
docs/claims/by_domain/open-systems.md	authored	manual source doc
docs/claims/by_domain/spectral.md	authored	manual source doc
docs/claims/by_domain/stellar-cartography.md	authored	manual source doc
docs/claims/by_domain/tensor-networks.md	authored	manual source doc
docs/claims/by_domain/visualization.md	authored	manual source doc
docs/convos/CONVOS_CLAIMS_INBOX.md	source_transcript	conversation transcript
docs/convos/README.md	source_transcript	conversation transcript
docs/convos/audit_1_read_nonuser_lines_cont.md	source_transcript	conversation transcript
docs/convos/implement_next_from_1_read_nonuser_lines_cont.md	source_transcript	conversation transcript
docs/convos/keywords_1_read_nonuser_lines_cont.md	source_transcript	conversation transcript
docs/engineering/DATASHEET_V2.md	authored	manual source doc
docs/engineering/FABRICATION_PROTOCOL_NANOSCALE.md	authored	manual source doc
docs/engineering/FETCHING_EXTERNAL_SOURCES.md	authored	manual source doc
docs/engineering/GAP_CLOSURE_REPORT.md	authored	manual source doc
docs/engineering/OPTIX_ELUCIDATION.md	authored	manual source doc
docs/engineering/PADIC_SIGNAL_THEORY.md	authored	manual source doc
docs/engineering/PHASE_10_MULTIPHYSICS.md	generated_or_derived_doc	generated marker text
docs/engineering/PHASE_11_VISUALIZATION.md	authored	manual source doc
docs/engineering/PHASE_12_RENDERER.md	authored	manual source doc
docs/engineering/PHASE_13_GRAND_CRITIQUE.md	authored	manual source doc
docs/engineering/PHASE_14_DEEP_DIVE.md	generated_or_derived_doc	generated marker text
docs/engineering/PHASE_15_RESURRECTION.md	authored	manual source doc
docs/engineering/PHASE_16_FINAL_VALIDATION.md	authored	manual source doc
docs/engineering/PHASE_6_IMPLEMENTATION.md	authored	manual source doc
docs/engineering/PHASE_7_REPORT.md	authored	manual source doc
docs/engineering/PHASE_8_SYNTHESIS.md	authored	manual source doc
docs/engineering/PHYSICS_VALIDATION_REPORT.md	authored	manual source doc
docs/engineering/WARP_SPACEPLATE_SPECS.md	authored	manual source doc
docs/external_sources/C071_FRB_ULTRAMETRIC_SOURCES.md	authored	manual source doc
docs/external_sources/DATASET_MANIFEST.md	authored	manual source doc
docs/external_sources/DE_MARRAIS_BOXKITES_III.md	generated_or_derived_doc	generated marker text
docs/external_sources/DE_MARRAIS_CATAMARAN.md	authored	manual source doc
docs/external_sources/DE_MARRAIS_FLYING_HIGHER.md	authored	manual source doc
docs/external_sources/DE_MARRAIS_PLACEHOLDER_I.md	generated_or_derived_doc	generated marker text
docs/external_sources/DE_MARRAIS_PLACEHOLDER_III.md	authored	manual source doc
docs/external_sources/DE_MARRAIS_PRESTO_DIGITIZATION.md	authored	manual source doc
docs/external_sources/DE_MARRAIS_WOLFRAM_SLIDES.md	authored	manual source doc
docs/external_sources/INVERSE_CD_FORMALISM.md	generated_or_derived_doc	generated marker text
docs/external_sources/OPEN_CLAIMS_SOURCES.md	authored	manual source doc
docs/external_sources/REGGIANI_MANIFOLD_CLAIMS.md	authored	manual source doc
docs/external_sources/SEDENION_ZD_EXPERIMENTAL.md	authored	manual source doc
docs/external_sources/WHEEL_ALGEBRA_TAXONOMY.md	generated_or_derived_doc	generated marker text
docs/requirements/algebra.md	authored	manual source doc
docs/requirements/analysis.md	authored	manual source doc
docs/requirements/astro.md	authored	manual source doc
docs/requirements/coq.md	authored	manual source doc
docs/requirements/cpp.md	authored	manual source doc
docs/requirements/latex.md	authored	manual source doc
docs/requirements/materials.md	authored	manual source doc
docs/requirements/particle.md	authored	manual source doc
docs/requirements/quantum-docker.md	authored	manual source doc
docs/theory/CLAIMS_METHODOLOGY.md	authored	manual source doc
docs/theory/WARP_PHYSICS_RECONCILIATION.md	authored	manual source doc
docs/tickets/C001_C050_claims_audit.md	generated_or_derived_doc	generated marker text
docs/tickets/C051_C100_claims_audit.md	authored	manual source doc
docs/tickets/C101_C150_claims_audit.md	generated_or_derived_doc	generated marker text
docs/tickets/C151_C200_claims_audit.md	generated_or_derived_doc	generated marker text
docs/tickets/C201_C250_claims_audit.md	generated_or_derived_doc	generated marker text
docs/tickets/C251_C300_claims_audit.md	generated_or_derived_doc	generated marker text
docs/tickets/C301_C350_claims_audit.md	generated_or_derived_doc	generated marker text
docs/tickets/C351_C400_claims_audit.md	generated_or_derived_doc	generated marker text
docs/tickets/C401_C427_claims_audit.md	generated_or_derived_doc	generated marker text
docs/tickets/TICKET_WARP_PHYSICS_RECONCILIATION.md	authored	manual source doc
docs/x86_SIMD_OPTIMIZATION.md	authored	manual source doc
reports/artifacts_phase0_dryrun.md	artifact_or_report	artifact/report directory
reports/artifacts_reorg_plan.md	artifact_or_report	artifact/report directory
reports/audit_network_gating.md	artifact_or_report	artifact/report directory
reports/audit_nonpython_toolchains.md	artifact_or_report	artifact/report directory
reports/audit_provenance.md	artifact_or_report	artifact/report directory
reports/audit_pythonpath.md	artifact_or_report	artifact/report directory
reports/claims_batch_backlog_C001_C050.md	artifact_or_report	artifact/report directory
reports/claims_batch_backlog_C001_C200.md	artifact_or_report	artifact/report directory
reports/claims_batch_backlog_C011_C025.md	artifact_or_report	artifact/report directory
reports/claims_batch_backlog_C027_C045.md	artifact_or_report	artifact/report directory
reports/claims_batch_backlog_C046_C060.md	artifact_or_report	artifact/report directory
