k,E_base,E_padic,E_neg_dim,E_warp
9.100000000000000000e+01,5.431640436270272895e-04,5.431640436270272895e-04,5.693593481654958451e-05,5.693593481654958451e-05
9.200000000000000000e+01,5.333598104293478309e-04,1.333399526073369577e-04,5.560358232492526207e-05,1.390089558123131552e-05
9.300000000000000000e+01,5.238356915346850402e-04,5.238356915346850402e-04,5.431631065645850406e-05,5.431631065645850406e-05
9.400000000000000000e+01,5.145807994314556544e-04,2.572903997157278272e-04,5.307213403426634787e-05,2.653606701713317394e-05
9.500000000000000000e+01,5.055847795442620441e-04,5.055847795442620441e-04,5.186917401092607812e-05,5.186917401092607812e-05
9.600000000000000000e+01,4.968377788859945198e-04,1.552618059018732874e-05,5.070565261638076651e-05,1.584551644261898953e-06
9.700000000000000000e+01,4.883304168569494938e-04,4.883304168569494938e-04,4.957988600901749697e-05,4.957988600901749697e-05
9.800000000000000000e+01,4.800537580235781851e-04,2.400268790117890925e-04,4.849027858824022318e-05,2.424513929412011159e-05
9.900000000000000000e+01,4.719992867240832969e-04,4.719992867240832969e-04,4.743531753069530260e-05,4.743531753069530260e-05
1.000000000000000000e+02,4.641588833612777317e-04,1.160397208403194329e-04,4.641356771575604263e-05,1.160339192893901066e-05
1.010000000000000000e+02,4.565248022550567474e-04,4.565248022550567474e-04,4.542366700897572341e-05,4.542366700897572341e-05
1.020000000000000000e+02,4.490896509376449412e-04,2.245448254688224706e-04,4.446432187501434653e-05,2.223216093750717326e-05
1.030000000000000000e+02,4.418463707845787921e-04,4.418463707845787921e-04,4.353430329406586058e-05,4.353430329406586058e-05
1.040000000000000000e+02,4.347882188832760046e-04,5.434852736040950057e-05,4.263244295808851797e-05,5.329055369761064746e-06
1.050000000000000000e+02,4.279087510491185234e-04,4.279087510491185234e-04,4.175762972519870371e-05,4.175762972519870371e-05
1.060000000000000000e+02,4.212018059063160277e-04,2.106009029531580139e-04,4.090880631244891942e-05,2.045440315622445971e-05
1.070000000000000000e+02,4.146614899574983804e-04,4.146614899574983804e-04,4.008496620889612629e-05,4.008496620889612629e-05
1.080000000000000000e+02,4.082821635720676121e-04,1.020705408930169030e-04,3.928515079239378369e-05,9.821287698098445923e-06
1.090000000000000000e+02,4.020584278288877192e-04,4.020584278288877192e-04,3.850844663492667948e-05,3.850844663492667948e-05
1.100000000000000000e+02,3.959851121539489536e-04,1.979925560769744768e-04,3.775398298256574264e-05,1.887699149128287132e-05
1.110000000000000000e+02,3.900572626982656702e-04,3.900572626982656702e-04,3.702092939726395041e-05,3.702092939726395041e-05
1.120000000000000000e+02,3.842701314054893327e-04,2.401688321284308329e-05,3.630849354875451709e-05,2.269280846797157318e-06
1.130000000000000000e+02,3.786191657225810724e-04,3.786191657225810724e-04,3.561591914576011053e-05,3.561591914576011053e-05
1.140000000000000000e+02,3.730999989104245374e-04,1.865499994552122687e-04,3.494248399658474538e-05,1.747124199829237269e-05
1.150000000000000000e+02,3.677084409145011550e-04,3.677084409145011550e-04,3.428749818994772912e-05,3.428749818994772912e-05
1.160000000000000000e+02,3.624404697587181503e-04,9.061011743967953757e-05,3.365030238763714476e-05,8.412575596909286190e-06
1.170000000000000000e+02,3.572922234282085454e-04,3.572922234282085454e-04,3.303026622121746185e-05,3.303026622121746185e-05
1.180000000000000000e+02,3.522599922094236751e-04,1.761299961047118375e-04,3.242678678562571588e-05,1.621339339281285794e-05
1.190000000000000000e+02,3.473402114581404044e-04,3.473402114581404044e-04,3.183928722303995301e-05,3.183928722303995301e-05
1.200000000000000000e+02,3.425294547681207303e-04,4.281618184601509129e-05,3.126721539090679489e-05,3.908401923863349362e-06
1.210000000000000000e+02,3.378244275151081905e-04,3.378244275151081905e-04,3.071004260847554746e-05,3.071004260847554746e-05
1.220000000000000000e+02,3.332219607526403404e-04,1.666109803763201702e-04,3.016726247660914017e-05,1.508363123830457009e-05
1.230000000000000000e+02,3.287190054378074256e-04,3.287190054378074256e-04,2.963838976602989962e-05,2.963838976602989962e-05
1.240000000000000000e+02,3.243126269666131694e-04,8.107815674165329235e-05,2.912295936951457250e-05,7.280739842378643125e-06
1.250000000000000000e+02,3.199999999999998635e-04,3.199999999999998635e-04,2.862052531388024559e-05,2.862052531388024559e-05
1.260000000000000000e+02,3.157784035628988760e-04,1.578892017814494380e-04,2.813065982790396451e-05,1.406532991395198226e-05
1.270000000000000000e+02,3.116452163998683906e-04,3.116452163998683906e-04,2.765295246259604937e-05,2.765295246259604937e-05
1.280000000000000000e+02,3.075979125719904166e-04,2.403108691968675130e-06,2.718700926050214404e-05,2.123985098476730003e-07
1.290000000000000000e+02,3.036340572807258442e-04,3.036340572807258442e-04,2.673245197094436837e-05,2.673245197094436837e-05
1.300000000000000000e+02,2.997513029053777657e-04,1.498756514526888828e-04,2.628891730832874925e-05,1.314445865416437462e-05
1.310000000000000000e+02,2.959473852416933271e-04,2.959473852416933271e-04,2.585605625084618251e-05,2.585605625084618251e-05
1.320000000000000000e+02,2.922201199299521903e-04,7.305502998248804758e-05,2.543353337707904760e-05,6.358383344269761899e-06
1.330000000000000000e+02,2.885673990616462940e-04,2.885673990616462940e-04,2.502102623819626718e-05,2.502102623819626718e-05
1.340000000000000000e+02,2.849871879545581681e-04,1.424935939772790840e-04,2.461822476357732175e-05,1.230911238178866088e-05
1.350000000000000000e+02,2.814775220866989891e-04,2.814775220866989891e-04,2.422483069785195717e-05,2.422483069785195717e-05
1.360000000000000000e+02,2.780365041801723894e-04,3.475456302252154868e-05,2.384055706747712378e-05,2.980069633434640473e-06
1.370000000000000000e+02,2.746623014265954423e-04,2.746623014265954423e-04,2.346512767509812764e-05,2.346512767509812764e-05
1.380000000000000000e+02,2.713531428462308856e-04,1.356765714231154428e-04,2.309827662005670620e-05,1.154913831002835310e-05
1.390000000000000000e+02,2.681073167734739473e-04,2.681073167734739473e-04,2.273974784351632435e-05,2.273974784351632435e-05
1.400000000000000000e+02,2.649231684617909285e-04,6.623079211544773213e-05,2.238929469677485167e-05,5.597323674193712918e-06
1.410000000000000000e+02,2.617990978016296474e-04,2.617990978016296474e-04,2.204667953142704410e-05,2.204667953142704410e-05
1.420000000000000000e+02,2.587335571452174712e-04,1.293667785726087356e-04,2.171167331012563019e-05,1.085583665506281510e-05
1.430000000000000000e+02,2.557250492325288021e-04,2.557250492325288021e-04,2.138405523676928781e-05,2.138405523676928781e-05
1.440000000000000000e+02,2.527721252130493593e-04,1.579825782581558495e-05,2.106361240502043405e-05,1.316475775313777128e-06
1.450000000000000000e+02,2.498733827582829792e-04,2.498733827582829792e-04,2.075013946412452038e-05,2.075013946412452038e-05
1.460000000000000000e+02,2.470274642602474655e-04,1.235137321301237327e-04,2.044343830106704830e-05,1.022171915053352415e-05
1.470000000000000000e+02,2.442330551114847703e-04,2.442330551114847703e-04,2.014331773816426731e-05,2.014331773816426731e-05
1.480000000000000000e+02,2.414888820623724318e-04,6.037222051559310796e-05,1.984959324523927879e-05,4.962398311309819698e-06
1.490000000000000000e+02,2.387937116517680348e-04,2.387937116517680348e-04,1.956208666558735180e-05,1.956208666558735180e-05
1.500000000000000000e+02,2.361463487072468193e-04,1.180731743536234097e-04,1.928062595498262558e-05,9.640312977491312789e-06
1.510000000000000000e+02,2.335456349114067214e-04,2.335456349114067214e-04,1.900504493302357842e-05,1.900504493302357842e-05
1.520000000000000000e+02,2.309904474309161927e-04,2.887380592886452409e-05,1.873518304615696655e-05,2.341897880769620818e-06
1.530000000000000000e+02,2.284796976051673095e-04,2.284796976051673095e-04,1.847088514175923273e-05,1.847088514175923273e-05
1.540000000000000000e+02,2.260123296915736739e-04,1.130061648457868369e-04,1.821200125269126037e-05,9.106000626345630186e-06
1.550000000000000000e+02,2.235873196647171675e-04,2.235873196647171675e-04,1.795838639177672175e-05,1.795838639177672175e-05
1.560000000000000000e+02,2.212036740667029026e-04,5.530091851667572566e-05,1.770990035568654409e-05,4.427475088921636023e-06
1.570000000000000000e+02,2.188604289062269970e-04,2.188604289062269970e-04,1.746640753774197872e-05,1.746640753774197872e-05
1.580000000000000000e+02,2.165566486039986803e-04,1.082783243019993402e-04,1.722777674917702891e-05,8.613888374588514455e-06
1.590000000000000000e+02,2.142914249822862316e-04,2.142914249822862316e-04,1.699388104842740595e-05,1.699388104842740595e-05
1.600000000000000000e+02,2.120638762964769969e-04,6.626996134264906154e-06,1.676459757803776737e-05,5.238936743136802303e-07
1.610000000000000000e+02,2.098731463066546589e-04,2.098731463066546589e-04,1.653980740880222003e-05,1.653980740880222003e-05
1.620000000000000000e+02,2.077184033873044004e-04,1.038592016936522002e-04,1.631939539077482634e-05,8.159697695387413169e-06
1.630000000000000000e+02,2.055988396733560250e-04,2.055988396733560250e-04,1.610325001080712941e-05,1.610325001080712941e-05
1.640000000000000000e+02,2.035136702408695062e-04,5.087841756021737656e-05,1.589126325628879198e-05,3.972815814072197996e-06
1.650000000000000000e+02,2.014621323207572599e-04,2.014621323207572599e-04,1.568333048478549885e-05,1.568333048478549885e-05
1.660000000000000000e+02,1.994434845440198651e-04,9.972174227200993253e-05,1.547935029928500350e-05,7.739675149642501751e-06
1.670000000000000000e+02,1.974570062170515625e-04,1.974570062170515625e-04,1.527922442877798140e-05,1.527922442877798140e-05
1.680000000000000000e+02,1.955019966256462381e-04,2.443774957820577976e-05,1.508285761391533972e-05,1.885357201739417465e-06
1.690000000000000000e+02,1.935777743664041767e-04,1.935777743664041767e-04,1.489015749749749765e-05,1.489015749749749765e-05
1.700000000000000000e+02,1.916836767043066591e-04,9.584183835215332955e-05,1.470103451956432120e-05,7.350517259782160602e-06
1.710000000000000000e+02,1.898190589552869209e-04,1.898190589552869209e-04,1.451540181686670846e-05,1.451540181686670846e-05
1.720000000000000000e+02,1.879832938926863568e-04,4.699582347317158920e-05,1.433317512651258879e-05,3.583293781628147198e-06
1.730000000000000000e+02,1.861757711765385200e-04,1.861757711765385200e-04,1.415427269359085471e-05,1.415427269359085471e-05
1.740000000000000000e+02,1.843958968046777050e-04,9.219794840233885250e-05,1.397861518258718748e-05,6.989307591293593741e-06
1.750000000000000000e+02,1.826430925847177713e-04,1.826430925847177713e-04,1.380612559241545137e-05,1.380612559241545137e-05
1.760000000000000000e+02,1.809167956259934065e-04,1.130729972662458790e-05,1.363672917489738606e-05,8.522955734310866291e-07
1.770000000000000000e+02,1.792164578506013175e-04,1.792164578506013175e-04,1.347035335653209214e-05,1.347035335653209214e-05
1.780000000000000000e+02,1.775415455227197974e-04,8.877077276135989870e-05,1.330692766340478656e-05,6.653463831702393280e-06
1.790000000000000000e+02,1.758915387954256883e-04,1.758915387954256883e-04,1.314638364909219987e-05,1.314638364909219987e-05
1.800000000000000000e+02,1.742659312742644634e-04,4.356648281856611584e-05,1.298865482542893893e-05,3.247163706357234734e-06
1.810000000000000000e+02,1.726642295968654173e-04,1.726642295968654173e-04,1.283367659600632041e-05,1.283367659600632041e-05
1.820000000000000000e+02,1.710859530279272382e-04,8.554297651396361912e-05,1.268138619228131587e-05,6.340693096140657937e-06
1.830000000000000000e+02,1.695306330689310022e-04,1.695306330689310022e-04,1.253172261217959225e-05,1.253172261217959225e-05
1.840000000000000000e+02,1.679978130819685862e-04,2.099972663524607327e-05,1.238462656108227578e-05,1.548078320135284472e-06
1.850000000000000000e+02,1.664870479271019236e-04,1.664870479271019236e-04,1.224004039509152934e-05,1.224004039509152934e-05
1.860000000000000000e+02,1.649979036126968264e-04,8.249895180634841322e-05,1.209790806647524570e-05,6.048954033237622848e-06
1.870000000000000000e+02,1.635299569582005202e-04,1.635299569582005202e-04,1.195817507119594160e-05,1.195817507119594160e-05
1.880000000000000000e+02,1.620827952688556764e-04,4.052069881721391911e-05,1.182078839843364701e-05,2.955197099608411753e-06
1.890000000000000000e+02,1.606560160218684986e-04,1.606560160218684986e-04,1.168569648201685123e-05,1.168569648201685123e-05
1.900000000000000000e+02,1.592492265635686664e-04,7.962461328178433318e-05,1.155284915367978593e-05,5.776424576839892964e-06
1.910000000000000000e+02,1.578620438171212238e-04,1.578620438171212238e-04,1.142219759806816716e-05,1.142219759806816716e-05
1.920000000000000000e+02,1.564940940003697672e-04,2.445220218755777612e-06,1.129369430941928255e-05,1.764639735846762898e-07
1.930000000000000000e+02,1.551450123534088836e-04,1.551450123534088836e-04,1.116729304984576778e-05,1.116729304984576778e-05
1.940000000000000000e+02,1.538144428755022232e-04,7.690722143775111162e-05,1.104294880915576184e-05,5.521474404577880919e-06
1.950000000000000000e+02,1.525020380709794993e-04,1.525020380709794993e-04,1.092061776614532413e-05,1.092061776614532413e-05
1.960000000000000000e+02,1.512074587037614886e-04,3.780186467594037216e-05,1.080025725130193230e-05,2.700064312825483076e-06
1.970000000000000000e+02,1.499303735601782836e-04,1.499303735601782836e-04,1.068182571086072548e-05,1.068182571086072548e-05
1.980000000000000000e+02,1.486704592197595474e-04,7.433522960987977370e-05,1.056528267215789215e-05,5.282641336078946074e-06
1.990000000000000000e+02,1.474273998336910819e-04,1.474273998336910819e-04,1.045058871022811388e-05,1.045058871022811388e-05
2.000000000000000000e+02,1.462008869106432376e-04,1.827511086383040470e-05,1.033770541559540062e-05,1.292213176949425078e-06
2.010000000000000000e+02,1.449906191096916061e-04,1.449906191096916061e-04,1.022659536320901625e-05,1.022659536320901625e-05
2.020000000000000000e+02,1.437963020400601078e-04,7.189815102003005388e-05,1.011722208247826333e-05,5.058611041239131665e-06
2.030000000000000000e+02,1.426176480674303611e-04,1.426176480674303611e-04,1.000955002836213056e-05,1.000955002836213056e-05
2.040000000000000000e+02,1.414543761265699172e-04,3.536359403164247931e-05,9.903544553471623993e-06,2.475886138367905998e-06
2.050000000000000000e+02,1.403062115400443600e-04,1.403062115400443600e-04,9.799171881144608945e-06,9.799171881144608945e-06
2.060000000000000000e+02,1.391728858427864824e-04,6.958644292139324120e-05,9.696399079454676883e-06,4.848199539727338442e-06
2.070000000000000000e+02,1.380541366123063502e-04,1.380541366123063502e-04,9.595194036117313233e-06,9.595194036117313233e-06
2.080000000000000000e+02,1.369497073043347639e-04,8.559356706520922746e-06,9.495525434258253266e-06,5.934703396411408291e-07
2.090000000000000000e+02,1.358593470937006793e-04,1.358593470937006793e-04,9.397362729010381893e-06,9.397362729010381893e-06
2.100000000000000000e+02,1.347828107202523359e-04,6.739140536012616796e-05,9.300676124907100237e-06,4.650338062453550119e-06
2.110000000000000000e+02,1.337198583396385942e-04,1.337198583396385942e-04,9.205436554041371023e-06,9.205436554041371023e-06
2.120000000000000000e+02,1.326702553787755695e-04,3.316756384469389236e-05,9.111615654961065992e-06,2.277903913740266498e-06
2.130000000000000000e+02,1.316337723958297009e-04,1.316337723958297009e-04,9.019185752272439638e-06,9.019185752272439638e-06
2.140000000000000000e+02,1.306101849445559244e-04,6.530509247227796220e-05,8.928119836924798696e-06,4.464059918462399348e-06
2.150000000000000000e+02,1.295992734428359099e-04,1.295992734428359099e-04,8.838391547150536271e-06,8.838391547150536271e-06
2.160000000000000000e+02,1.286008230452674464e-04,1.607510288065843080e-05,8.749975150035858227e-06,1.093746893754482278e-06
2.170000000000000000e+02,1.276146235196619968e-04,1.276146235196619968e-04,8.662845523698471366e-06,8.662845523698471366e-06
2.180000000000000000e+02,1.266404691273135684e-04,6.332023456365678421e-05,8.576978140049646408e-06,4.288489070024823204e-06
2.190000000000000000e+02,1.256781585069064106e-04,1.256781585069064106e-04,8.492349048118820969e-06,8.492349048118820969e-06
2.200000000000000000e+02,1.247274945619356078e-04,3.118187364048390195e-05,8.408934857919993607e-06,2.102233714479998402e-06
2.210000000000000000e+02,1.237882843515184341e-04,1.237882843515184341e-04,8.326712724839900330e-06,8.326712724839900330e-06
2.220000000000000000e+02,1.228603389844798086e-04,6.143016949223990429e-05,8.245660334528845861e-06,4.122830167264422931e-06
2.230000000000000000e+02,1.219434735165991757e-04,1.219434735165991757e-04,8.165755888275834471e-06,8.165755888275834471e-06
2.240000000000000000e+02,1.210375068509112444e-04,3.782422089090976386e-06,8.086978088850366826e-06,2.527180652765739633e-07
2.250000000000000000e+02,1.201422616409560009e-04,1.201422616409560009e-04,8.009306126794035055e-06,8.009306126794035055e-06
2.260000000000000000e+02,1.192575641968788186e-04,5.962878209843940931e-05,7.932719667145681793e-06,3.966359833572840896e-06
2.270000000000000000e+02,1.183832443942839797e-04,1.183832443942839797e-04,7.857198836584600475e-06,7.857198836584600475e-06
2.280000000000000000e+02,1.175191355857495344e-04,2.937978389643738361e-05,7.782724210976791178e-06,1.945681052744197795e-06
2.290000000000000000e+02,1.166650745149142536e-04,1.166650745149142536e-04,7.709276803309974096e-06,7.709276803309974096e-06
2.300000000000000000e+02,1.158209012330513072e-04,5.791045061652565359e-05,7.636838052003591266e-06,3.818419026001795633e-06
2.310000000000000000e+02,1.149864590180460798e-04,1.149864590180460798e-04,7.565389809580543047e-06,7.565389809580543047e-06
2.320000000000000000e+02,1.141615942956988004e-04,1.427019928696235005e-05,7.494914331687986012e-06,9.368642914609982515e-07
