dim,component_id,low,high
64,16,23,36
64,16,24,43
64,16,25,42
64,16,26,41
64,16,27,40
64,16,28,47
64,16,29,46
64,16,30,45
64,16,31,44
64,17,1,51
64,17,2,48
64,17,3,49
64,17,4,54
64,17,5,55
64,17,6,52
64,17,7,53
64,17,8,58
64,17,9,59
64,17,10,56
64,17,11,57
64,17,12,62
64,17,13,63
64,17,14,60
64,17,15,61
64,17,16,34
64,17,17,35
64,17,19,33
64,17,20,38
64,17,21,39
64,17,22,36
64,17,23,37
64,17,24,42
64,17,25,43
64,17,26,40
64,17,27,41
64,17,28,46
64,17,29,47
64,17,30,44
64,17,31,45
64,18,1,52
64,18,2,55
64,18,3,54
64,18,4,49
64,18,5,48
64,18,6,51
64,18,7,50
64,18,8,61
64,18,9,60
64,18,10,63
64,18,11,62
64,18,12,57
64,18,13,56
64,18,14,59
64,18,15,58
64,18,16,37
64,18,17,36
64,18,18,39
64,18,19,38
64,18,20,33
64,18,22,35
64,18,23,34
64,18,24,45
64,18,25,44
64,18,26,47
64,18,27,46
64,18,28,41
64,18,29,40
64,18,30,43
64,18,31,42
64,19,1,53
64,19,2,54
64,19,3,55
64,19,4,48
64,19,5,49
64,19,6,50
64,19,7,51
64,19,8,60
64,19,9,61
64,19,10,62
64,19,11,63
64,19,12,56
64,19,13,57
64,19,14,58
64,19,15,59
64,19,16,36
64,19,17,37
64,19,18,38
64,19,19,39
64,19,21,33
64,19,22,34
64,19,23,35
64,19,24,44
64,19,25,45
64,19,26,46
64,19,27,47
64,19,28,40
64,19,29,41
64,19,30,42
64,19,31,43
64,20,1,54
64,20,2,53
64,20,3,52
64,20,4,51
64,20,5,50
64,20,6,49
64,20,7,48
64,20,8,63
64,20,9,62
64,20,10,61
64,20,11,60
64,20,12,59
64,20,13,58
64,20,14,57
64,20,15,56
64,20,16,39
64,20,17,38
64,20,18,37
64,20,19,36
64,20,20,35
64,20,21,34
64,20,22,33
64,20,24,47
64,20,25,46
64,20,26,45
64,20,27,44
64,20,28,43
64,20,29,42
64,20,30,41
64,20,31,40
64,21,1,55
64,21,2,52
64,21,3,53
64,21,4,50
64,21,5,51
64,21,6,48
64,21,7,49
64,21,8,62
64,21,9,63
64,21,10,60
64,21,11,61
64,21,12,58
64,21,13,59
64,21,14,56
64,21,15,57
64,21,16,38
64,21,17,39
64,21,18,36
64,21,19,37
64,21,20,34
64,21,21,35
64,21,23,33
64,21,24,46
64,21,25,47
64,21,26,44
64,21,27,45
64,21,28,42
64,21,29,43
64,21,30,40
64,21,31,41
64,22,1,56
64,22,2,59
64,22,3,58
64,22,4,61
64,22,5,60
64,22,6,63
64,22,7,62
64,22,8,49
64,22,9,48
64,22,10,51
64,22,11,50
64,22,12,53
64,22,13,52
64,22,14,55
64,22,15,54
64,22,16,41
64,22,17,40
64,22,18,43
64,22,19,42
64,22,20,45
64,22,21,44
64,22,22,47
64,22,23,46
64,22,24,33
64,22,26,35
64,22,27,34
64,22,28,37
64,22,29,36
64,22,30,39
64,22,31,38
64,23,1,57
64,23,2,58
64,23,3,59
64,23,4,60
64,23,5,61
64,23,6,62
64,23,7,63
64,23,8,48
64,23,9,49
64,23,10,50
64,23,11,51
64,23,12,52
64,23,13,53
64,23,14,54
64,23,15,55
64,23,16,40
64,23,17,41
64,23,18,42
64,23,19,43
64,23,20,44
64,23,21,45
64,23,22,46
64,23,23,47
64,23,25,33
64,23,26,34
64,23,27,35
64,23,28,36
64,23,29,37
64,23,30,38
64,23,31,39
64,24,1,58
64,24,2,57
64,24,3,56
64,24,4,63
64,24,5,62
64,24,6,61
64,24,7,60
64,24,8,51
64,24,9,50
64,24,10,49
64,24,11,48
64,24,12,55
64,24,13,54
64,24,14,53
64,24,15,52
64,24,16,43
64,24,17,42
64,24,18,41
64,24,19,40
64,24,20,47
64,24,21,46
64,24,22,45
64,24,23,44
64,24,24,35
64,24,25,34
64,24,26,33
64,24,28,39
64,24,29,38
64,24,30,37
64,24,31,36
64,25,1,59
64,25,2,56
64,25,3,57
64,25,4,62
64,25,5,63
64,25,6,60
64,25,7,61
64,25,8,50
64,25,9,51
64,25,10,48
64,25,11,49
64,25,12,54
64,25,13,55
64,25,14,52
64,25,15,53
64,25,16,42
64,25,17,43
64,25,18,40
64,25,19,41
64,25,20,46
64,25,21,47
64,25,22,44
64,25,23,45
64,25,24,34
64,25,25,35
64,25,27,33
64,25,28,38
64,25,29,39
64,25,30,36
64,25,31,37
64,26,1,60
64,26,2,63
64,26,3,62
64,26,4,57
64,26,5,56
64,26,6,59
64,26,7,58
64,26,8,53
64,26,9,52
64,26,10,55
64,26,11,54
64,26,12,49
64,26,13,48
64,26,14,51
64,26,15,50
64,26,16,45
64,26,17,44
64,26,18,47
64,26,19,46
64,26,20,41
64,26,21,40
64,26,22,43
64,26,23,42
64,26,24,37
64,26,25,36
64,26,26,39
64,26,27,38
64,26,28,33
64,26,30,35
64,26,31,34
64,27,1,61
64,27,2,62
64,27,3,63
64,27,4,56
64,27,5,57
64,27,6,58
64,27,7,59
64,27,8,52
64,27,9,53
64,27,10,54
64,27,11,55
64,27,12,48
64,27,13,49
64,27,14,50
64,27,15,51
64,27,16,44
64,27,17,45
64,27,18,46
64,27,19,47
64,27,20,40
64,27,21,41
64,27,22,42
64,27,23,43
64,27,24,36
64,27,25,37
64,27,26,38
64,27,27,39
64,27,29,33
64,27,30,34
64,27,31,35
64,28,1,62
64,28,2,61
64,28,3,60
64,28,4,59
64,28,5,58
64,28,6,57
64,28,7,56
64,28,8,55
64,28,9,54
64,28,10,53
64,28,11,52
64,28,12,51
64,28,13,50
64,28,14,49
64,28,15,48
64,28,16,47
64,28,17,46
64,28,18,45
64,28,19,44
64,28,20,43
64,28,21,42
64,28,22,41
64,28,23,40
64,28,24,39
64,28,25,38
64,28,26,37
64,28,27,36
64,28,28,35
64,28,29,34
64,28,30,33
64,29,1,63
64,29,2,60
64,29,3,61
64,29,4,58
64,29,5,59
64,29,6,56
64,29,7,57
64,29,8,54
64,29,9,55
64,29,10,52
64,29,11,53
64,29,12,50
64,29,13,51
64,29,14,48
64,29,15,49
64,29,16,46
64,29,17,47
64,29,18,44
64,29,19,45
64,29,20,42
64,29,21,43
64,29,22,40
64,29,23,41
64,29,24,38
64,29,25,39
64,29,26,36
64,29,27,37
64,29,28,34
64,29,29,35
64,29,31,33
64,30,2,35
64,30,3,34
64,30,4,37
64,30,5,36
64,30,6,39
64,30,7,38
64,30,8,41
64,30,9,40
64,30,10,43
64,30,11,42
64,30,12,45
64,30,13,44
64,30,14,47
64,30,15,46
64,30,16,49
64,30,17,48
64,30,18,51
64,30,19,50
64,30,20,53
64,30,21,52
64,30,22,55
64,30,23,54
64,30,24,57
64,30,25,56
64,30,26,59
64,30,27,58
64,30,28,61
64,30,29,60
64,30,30,63
64,30,31,62
