x,delta_stack,delta_stack_err,n_contributing
0.808054,-1.57199246e-1,5.11839090e-4,416
0.813758,-1.52870214e-1,5.28474724e-4,400
0.819463,-1.44520469e-1,5.37100131e-4,387
0.825168,-1.47253595e-1,5.51412962e-4,371
0.830872,-1.47453231e-1,5.58104568e-4,363
0.836577,-1.46466758e-1,5.66444640e-4,352
0.842282,-1.43809813e-1,5.75395816e-4,341
0.847987,-1.42330467e-1,5.88699195e-4,334
0.853691,-1.47253734e-1,6.00922515e-4,319
0.859396,-1.36883416e-1,6.17127489e-4,305
0.865101,-1.36368746e-1,6.26768074e-4,299
0.870805,-1.38115294e-1,6.37137944e-4,290
0.876510,-6.47612898e-2,6.89136106e-4,280
0.882215,-1.55192535e-2,7.23490836e-4,265
0.887919,2.03105554e-2,7.51064524e-4,256
0.893624,5.11043062e-2,7.77520720e-4,244
0.899329,8.28861416e-2,8.04137205e-4,236
0.905034,1.07114086e-1,8.25239519e-4,226
0.910738,1.28524783e-1,8.43774684e-4,218
0.916443,1.22148827e-1,8.57003103e-4,206
0.922148,1.18140398e-1,8.72359835e-4,197
0.927852,9.96067501e-2,9.06819447e-4,184
0.933557,9.35631294e-2,9.22393426e-4,178
0.939262,6.79562597e-2,1.00328257e-3,168
0.944966,5.74244404e-2,1.02158375e-3,163
0.950671,2.87528252e-1,1.18882835e-3,156
0.956376,2.88357764e-1,1.22709850e-3,146
0.962081,1.10937592e-1,1.32648507e-3,134
0.967785,1.05688148e-1,1.35817691e-3,128
0.973490,1.07162249e-1,1.37649474e-3,127
0.979195,8.44460906e-2,1.42684155e-3,124
0.984899,8.44016880e-2,1.46253498e-3,120
0.990604,9.04404971e-2,1.50602478e-3,119
0.996309,8.79697294e-2,1.54494101e-3,116
1.002013,6.66027552e-2,1.70676356e-3,109
1.007718,6.39814191e-2,1.72641118e-3,108
1.013423,4.69933180e-2,1.77453621e-3,103
1.019128,1.73528002e-2,1.80668195e-3,97
1.024832,1.19498763e-2,1.83465914e-3,92
1.030537,8.89685145e-3,1.86263892e-3,85
1.036242,5.86336684e-3,1.87465595e-3,81
1.041946,7.29703590e-3,1.90305546e-3,78
1.047651,-4.61901715e-2,2.08465462e-3,71
1.053356,-5.37718207e-2,2.08839036e-3,70
1.059060,-9.09378288e-2,2.14441411e-3,66
1.064765,-9.83291824e-2,2.15612786e-3,64
1.070470,-9.95379796e-2,2.16808471e-3,63
1.076174,-1.02903345e-1,2.17710311e-3,59
1.081879,-1.05496414e-1,2.17797930e-3,58
1.087584,-1.09688108e-1,2.17943959e-3,58
1.093289,-1.10707902e-1,2.18400489e-3,57
1.098993,-1.15920007e-1,2.18347916e-3,55
1.104698,-9.91611649e-2,2.27803268e-3,51
1.110403,-8.41366721e-2,2.33213425e-3,46
1.116107,-5.09249201e-2,2.45638758e-3,43
1.121812,-3.29987994e-2,2.48713816e-3,41
1.127517,-1.88208757e-2,2.52607307e-3,39
1.133221,-9.37151049e-3,2.55816934e-3,37
1.138926,3.76059917e-2,2.63719391e-3,34
1.144631,-1.14700420e-1,3.00718432e-3,33
1.150336,-1.07779910e-1,3.14027120e-3,30
1.156040,-9.28525271e-2,3.17790327e-3,29
1.161745,-5.70577766e-2,3.25536352e-3,26
1.167450,-2.72449808e-2,4.04658051e-3,23
1.173154,-7.66291056e-3,4.12785308e-3,20
1.178859,9.99460671e-3,4.17947200e-3,20
1.184564,1.83130531e-2,4.22756396e-3,20
1.190268,-4.42981414e-2,4.60048046e-3,18
1.195973,1.57518265e-1,5.23943275e-3,17
1.201678,1.28083784e-1,5.26460603e-3,16
1.207383,1.33156245e-1,5.26356911e-3,14
1.213087,1.38778036e-1,5.27594748e-3,13
1.218792,1.45963502e-1,5.24840159e-3,13
1.224497,1.52714188e-1,5.37921069e-3,12
1.230201,1.61845820e-1,5.33652436e-3,12
1.235906,1.87046354e-1,5.37584391e-3,11
1.241611,1.96943230e-1,5.32616056e-3,11
1.247315,2.14333693e-1,5.31081220e-3,10
1.253020,2.37406254e-1,5.30212919e-3,9
1.258725,2.46773417e-1,5.25184347e-3,9
1.264430,2.70436362e-1,5.34947342e-3,8
1.270134,2.76804541e-1,5.32975598e-3,6
1.275839,2.82458909e-1,5.29157522e-3,6
1.281544,3.13725428e-1,5.42652613e-3,5
1.287248,3.19054720e-1,5.38121193e-3,5
1.292953,3.24336489e-1,5.33526582e-3,5
1.298658,0.00000000e0,0.00000000e0,4
1.304362,0.00000000e0,0.00000000e0,3
1.310067,0.00000000e0,0.00000000e0,3
1.315772,0.00000000e0,0.00000000e0,2
1.321477,0.00000000e0,0.00000000e0,2
1.327181,0.00000000e0,0.00000000e0,2
1.332886,0.00000000e0,0.00000000e0,2
1.338591,0.00000000e0,0.00000000e0,2
1.344295,0.00000000e0,0.00000000e0,2
1.350000,0.00000000e0,0.00000000e0,2
