x,delta_stack,delta_stack_err,n_contributing
1.139262,3.69907857e-1,4.25579680e-3,15
1.144295,3.77436365e-2,6.40434220e-3,14
1.149329,4.56299291e-2,6.40454775e-3,13
1.154362,5.38816934e-2,6.36941672e-3,13
1.159396,6.24831678e-2,6.33379148e-3,13
1.164430,7.08608493e-2,6.29471100e-3,13
1.169463,7.92613260e-2,6.25314958e-3,13
1.174497,9.88928599e-2,6.28382437e-3,11
1.179530,1.07038109e-1,6.23433696e-3,11
1.184564,1.15392241e-1,6.18519200e-3,11
1.189597,1.25829156e-1,6.13961003e-3,10
1.194631,1.33969178e-1,6.08378687e-3,10
1.199664,1.42203608e-1,6.02678849e-3,10
1.204698,0.00000000e0,0.00000000e0,8
1.209732,0.00000000e0,0.00000000e0,8
1.214765,0.00000000e0,0.00000000e0,7
1.219799,0.00000000e0,0.00000000e0,7
1.224832,0.00000000e0,0.00000000e0,7
1.229866,0.00000000e0,0.00000000e0,7
1.234899,0.00000000e0,0.00000000e0,6
1.239933,0.00000000e0,0.00000000e0,6
1.244966,0.00000000e0,0.00000000e0,6
1.250000,0.00000000e0,0.00000000e0,5
