protocol=periodic_MRT_D3Q19_grid8_steps12_tau0.8
engineering_gate=0.00002
metrics=absolute_RMS_post_step_population_density_raw_momentum
impulse_gate=0.00002_absolute_max_component_mean_momentum
force_semantics=force_density_in_lattice_units
physical_velocity_half_step=excluded_from_raw_momentum_comparison
captured_path=explicit_step_graph_pair
forced,step,comparison,population_rms,density_rms,momentum_rms,minimum_population,cpu_impulse_error,gpu_impulse_error,conformance_pass,impulse_pass
false,10,cpu_captured,1.37073868067061244e-8,1.12476597611280414e-7,2.27345237953439544e-8,2.57298760116100311e-2,3.80148386727729992e-18,1.52067514128302085e-9,true,true
false,10,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.57298760116100311e-2,3.80148386727729992e-18,1.52067514128302085e-9,true,true
false,12,cpu_direct,1.46779958278028865e-8,1.21501500253628066e-7,2.24361522984097060e-8,2.59026881855610215e-2,3.53720958773395822e-18,1.36788003162911440e-9,true,true
false,12,cpu_captured,1.46779958278028865e-8,1.21501500253628066e-7,2.24361522984097060e-8,2.59026881855610215e-2,3.53720958773395822e-18,1.36788003162911440e-9,true,true
false,12,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.59027034044265747e-2,3.53720958773395822e-18,1.36788003162911440e-9,true,true
true,2,cpu_direct,1.10097179110350163e-8,5.32872001582684604e-8,2.06998355325638861e-8,2.46341265738010406e-2,2.76471553983803631e-18,1.22155179282370727e-9,true,true
true,2,cpu_captured,1.10097179110350163e-8,5.32872001582684604e-8,2.06998355325638861e-8,2.46341265738010406e-2,2.76471553983803631e-18,1.22155179282370727e-9,true,true
true,2,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.46341265738010406e-2,2.76471553983803631e-18,1.22155179282370727e-9,true,true
true,4,cpu_direct,1.15014031768129671e-8,6.73163138442419630e-8,2.21092678562872872e-8,2.46617027369012802e-2,3.25260651745651330e-18,8.80390871273525250e-10,true,true
true,4,cpu_captured,1.15014031768129671e-8,6.73163138442419630e-8,2.21092678562872872e-8,2.46617027369012802e-2,3.25260651745651330e-18,8.80390871273525250e-10,true,true
true,4,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.46617048978805542e-2,3.25260651745651330e-18,8.80390871273525250e-10,true,true
true,6,cpu_direct,1.22082107933645526e-8,7.78311549731447513e-8,2.21823722259014594e-8,2.51799661675482372e-2,1.73472347597680709e-18,1.24418875198169069e-9,true,true
true,6,cpu_captured,1.22082107933645526e-8,7.78311549731447513e-8,2.21823722259014594e-8,2.51799661675482372e-2,1.73472347597680709e-18,1.24418875198169069e-9,true,true
true,6,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.51799691468477249e-2,1.73472347597680709e-18,1.24418875198169069e-9,true,true
true,8,cpu_direct,1.26319004712167087e-8,8.81340581052466616e-8,2.16457987381649499e-8,2.56265569478273392e-2,2.16840434497100887e-18,2.12457962329687938e-9,true,true
true,8,cpu_captured,1.26319004712167087e-8,8.81340581052466616e-8,2.16457987381649499e-8,2.56265569478273392e-2,2.16840434497100887e-18,2.12457962329687938e-9,true,true
true,8,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.56265569478273392e-2,2.16840434497100887e-18,2.12457962329687938e-9,true,true
true,10,cpu_direct,1.34396656196414607e-8,1.02801889218369876e-7,2.26297373387105427e-8,2.55636591464281082e-2,3.46944695195361419e-18,2.19733919943770778e-9,true,true
true,10,cpu_captured,1.34396656196414607e-8,1.02801889218369876e-7,2.26297373387105427e-8,2.55636591464281082e-2,3.46944695195361419e-18,2.19733919943770778e-9,true,true
true,10,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.55636591464281082e-2,3.46944695195361419e-18,2.19733919943770778e-9,true,true
true,12,cpu_direct,1.46848333275679151e-8,1.15830210318251831e-7,2.22535200190035824e-8,2.57068944389633423e-2,5.20417042793042128e-18,1.51339918370345990e-9,true,true
