group,energy,low,high,value,stat,sys
1,2760.0 GeV,0.15,0.20,5.855309,0.0023383,0.35933
1,2760.0 GeV,0.20,0.25,6.161787,0.0016292,0.28169
1,2760.0 GeV,0.25,0.30,5.941204,0.0014963,0.24747
1,2760.0 GeV,0.30,0.35,5.472106,0.0013804,0.22568
1,2760.0 GeV,0.35,0.40,4.902047,0.001272,0.19851
1,2760.0 GeV,0.40,0.45,4.341093,0.0011776,0.16776
1,2760.0 GeV,0.45,0.50,3.803976,0.0011129,0.1459
1,2760.0 GeV,0.50,0.55,3.318295,0.001064,0.1221
1,2760.0 GeV,0.55,0.60,2.889114,0.0010093,0.10699
1,2760.0 GeV,0.60,0.65,2.513177,9.5977E-4,0.088784
1,2760.0 GeV,0.65,0.70,2.199451,9.2082E-4,0.076159
1,2760.0 GeV,0.70,0.75,1.923916,8.7438E-4,0.07034
1,2760.0 GeV,0.75,0.80,1.688873,8.3202E-4,0.061802
1,2760.0 GeV,0.80,0.85,1.482172,7.9057E-4,0.054799
1,2760.0 GeV,0.85,0.90,1.302498,7.507E-4,0.051678
1,2760.0 GeV,0.90,0.95,1.147358,7.1343E-4,0.049492
1,2760.0 GeV,0.95,1.00,1.011571,6.6941E-4,0.039918
1,2760.0 GeV,1.00,1.10,0.839296,4.2808E-4,0.033583
1,2760.0 GeV,1.10,1.20,0.661573,3.7594E-4,0.026697
1,2760.0 GeV,1.20,1.40,0.472028,2.1505E-4,0.020077
1,2760.0 GeV,1.40,1.60,0.304828,1.7083E-4,0.012913
1,2760.0 GeV,1.60,1.80,0.201354,1.3744E-4,0.0084365
1,2760.0 GeV,1.80,2.00,0.135053,1.1176E-4,0.0056456
1,2760.0 GeV,2.00,2.20,0.09222,9.3989E-5,0.0039943
1,2760.0 GeV,2.20,2.40,0.064082,7.7978E-5,0.0026389
1,2760.0 GeV,2.40,2.60,0.045144,6.5084E-5,0.0017204
1,2760.0 GeV,2.60,2.80,0.032037,5.4474E-5,0.0011724
1,2760.0 GeV,2.80,3.00,0.023205,4.6061E-5,8.5875E-4
1,2760.0 GeV,3.00,3.20,0.016952,3.9369E-5,6.7205E-4
1,2760.0 GeV,3.20,3.60,0.010973,2.1667E-5,4.1451E-4
1,2760.0 GeV,3.60,4.00,0.00628,1.6246E-5,2.5932E-4
1,2760.0 GeV,4.00,5.00,0.002753,6.7453E-6,1.0697E-4
1,2760.0 GeV,5.00,6.00,9.17E-4,3.841E-6,3.3223E-5
1,2760.0 GeV,6.00,8.00,2.69E-4,1.4454E-6,1.0133E-5
1,2760.0 GeV,8.00,10.00,6.516448E-5,7.0536E-7,2.3255E-6
1,2760.0 GeV,10.00,13.00,1.805502E-5,3.0114E-7,6.344E-7
1,2760.0 GeV,13.00,20.00,2.92986E-6,7.8607E-8,1.2053E-7
1,2760.0 GeV,20.00,30.00,3.1234E-7,2.145E-8,1.2246E-8
1,2760.0 GeV,30.00,50.00,2.247345E-8,4.0407E-9,1.1461E-9
