lane,subject,d_f,r_disclination_km,s_bulk,observed_value,predicted_value,absolute_error,relative_error,sign_match
qtensor,Rosetta-I (2005-03-04),2.5,100000.0,0.1,1.8,2887056.820330488,2887055.020330488,1603919.45573916,true
qtensor,MESSENGER (2005-08-02),2.5,100000.0,0.1,0.02,3030731.449123893,3030731.429123893,151536571.45619464,true
qtensor,Juno (2013-10-09),2.5,100000.0,0.1,0.0,7401453.715721986,7401453.715721986,7.401453715721986e18,false
qtensor,Pioneer 11,2.5,100000.0,0.1,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,10000000.0,0.1,3.92,6711566.1117062755,6711562.191706276,1712133.2121699683,true
qtensor,NEAR (1998-01-23),2.5,10000000.0,0.1,13.46,5138117.3153963005,5138103.855396301,381731.341411315,true
qtensor,Cassini (1999-08-18),2.5,10000000.0,0.1,-2.0,12007161.359649533,12007163.359649533,6003581.679824767,false
qtensor,Rosetta-I (2005-03-04),2.5,10000000.0,0.1,1.8,2897159.823061609,2897158.0230616094,1609532.2350342274,true
qtensor,MESSENGER (2005-08-02),2.5,10000000.0,0.1,0.02,3041900.8659434966,3041900.8459434966,152095042.2971748,true
qtensor,Juno (2013-10-09),2.5,10000000.0,0.1,0.0,7422557.767575195,7422557.767575195,7.422557767575196e18,false
qtensor,Pioneer 11,2.5,10000000.0,0.1,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,149597870.7,0.1,3.92,6711737.720625884,6711733.800625884,1712176.9899555827,true
qtensor,NEAR (1998-01-23),2.5,149597870.7,0.1,13.46,5138241.139287265,5138227.679287265,381740.5408088607,true
qtensor,Cassini (1999-08-18),2.5,149597870.7,0.1,-2.0,12007477.387551691,12007479.387551691,6003739.693775846,false
qtensor,Rosetta-I (2005-03-04),2.5,149597870.7,0.1,1.8,2897243.9791725567,2897242.179172557,1609578.9884291983,true
qtensor,MESSENGER (2005-08-02),2.5,149597870.7,0.1,0.02,3041993.3815019135,3041993.3615019135,152099668.07509568,true
qtensor,Juno (2013-10-09),2.5,149597870.7,0.1,0.0,7422737.162704588,7422737.162704588,7.422737162704588e18,false
qtensor,Pioneer 11,2.5,149597870.7,0.1,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,5983914828.0,0.1,3.92,6711749.693037987,6711745.773037987,1712180.0441423436,true
qtensor,NEAR (1998-01-23),2.5,5983914828.0,0.1,13.46,5138249.7784973765,5138236.3184973765,381741.1826521082,true
qtensor,Cassini (1999-08-18),2.5,5983914828.0,0.1,-2.0,12007499.434731139,12007501.434731139,6003750.717365569,false
qtensor,Rosetta-I (2005-03-04),2.5,5983914828.0,0.1,1.8,2897249.849491756,2897248.049491756,1609582.2497176423,true
qtensor,MESSENGER (2005-08-02),2.5,5983914828.0,0.1,0.02,3041999.8345518676,3041999.8145518675,152099990.72759336,true
qtensor,Juno (2013-10-09),2.5,5983914828.0,0.1,0.0,7422749.679089693,7422749.679089693,7.422749679089694e18,false
qtensor,Pioneer 11,2.5,5983914828.0,0.1,8.74e-10,0.02969659434818819,0.02969659347418819,33977795.737057425,true
qtensor,Galileo-I (1990-12-08),2.5,100000.0,0.3,3.92,6650279.240495183,6650275.320495183,1696498.806248771,true
qtensor,NEAR (1998-01-23),2.5,100000.0,0.3,13.46,5094164.748952665,5094151.288952665,378465.9204273897,true
qtensor,Cassini (1999-08-18),2.5,100000.0,0.3,-2.0,11893946.764455633,11893948.764455633,5946974.382227817,false
qtensor,Rosetta-I (2005-03-04),2.5,100000.0,0.3,1.8,2866670.4609914646,2866668.6609914647,1592593.7005508137,true
qtensor,MESSENGER (2005-08-02),2.5,100000.0,0.3,0.02,3008194.347371678,3008194.327371678,150409716.3685839,true
qtensor,Juno (2013-10-09),2.5,100000.0,0.3,0.0,7358861.147165956,7358861.147165956,7.358861147165956e18,false
qtensor,Pioneer 11,2.5,100000.0,0.3,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,10000000.0,0.3,3.92,6711198.335118829,6711194.415118829,1712039.3916119463,true
qtensor,NEAR (1998-01-23),2.5,10000000.0,0.3,13.46,5137851.946188901,5137838.486188901,381711.62601700594,true
qtensor,Cassini (1999-08-18),2.5,10000000.0,0.3,-2.0,12006484.0789486,12006486.0789486,6003243.0394743,false
qtensor,Rosetta-I (2005-03-04),2.5,10000000.0,0.3,1.8,2896979.4691848275,2896977.6691848277,1609432.0384360154,true
qtensor,MESSENGER (2005-08-02),2.5,10000000.0,0.3,0.02,3041702.5978304893,3041702.5778304893,152085128.89152446,true
qtensor,Juno (2013-10-09),2.5,10000000.0,0.3,0.0,7422173.302725582,7422173.302725582,7.422173302725583e18,false
qtensor,Pioneer 11,2.5,10000000.0,0.3,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,149597870.7,0.3,3.92,6711713.161877654,6711709.241877654,1712170.7249687891,true
qtensor,NEAR (1998-01-23),2.5,149597870.7,0.3,13.46,5138223.417861795,5138209.957861795,381739.224209643,true
qtensor,Cassini (1999-08-18),2.5,149597870.7,0.3,-2.0,12007432.162655074,12007434.162655074,6003717.081327537,false
qtensor,Rosetta-I (2005-03-04),2.5,149597870.7,0.3,1.8,2897231.9375176695,2897230.1375176697,1609572.2986209276,true
qtensor,MESSENGER (2005-08-02),2.5,149597870.7,0.3,0.02,3041980.1445057397,3041980.1245057397,152099006.225287,true
qtensor,Juno (2013-10-09),2.5,149597870.7,0.3,0.0,7422711.488113763,7422711.488113763,7.422711488113763e18,false
qtensor,Pioneer 11,2.5,149597870.7,0.3,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,5983914828.0,0.3,3.92,6711749.079113961,6711745.159113961,1712179.887529072,true
qtensor,NEAR (1998-01-23),2.5,5983914828.0,0.3,13.46,5138249.335492129,5138235.8754921295,381741.1497393855,true
qtensor,Cassini (1999-08-18),2.5,5983914828.0,0.3,-2.0,12007498.304193415,12007500.304193415,6003750.152096707,false
qtensor,Rosetta-I (2005-03-04),2.5,5983914828.0,0.3,1.8,2897249.548475268,2897247.748475268,1609582.08248626,true
qtensor,MESSENGER (2005-08-02),2.5,5983914828.0,0.3,0.02,3041999.5036556018,3041999.4836556017,152099974.1827801,true
qtensor,Juno (2013-10-09),2.5,5983914828.0,0.3,0.0,7422749.037269079,7422749.037269079,7.422749037269079e18,false
qtensor,Pioneer 11,2.5,5983914828.0,0.3,8.74e-10,0.026291277345815486,0.026291276471815485,30081552.02724884,true
qtensor,Galileo-I (1990-12-08),2.5,100000.0,0.5,3.92,6609298.734158638,6609294.814158638,1686044.5954486323,true
qtensor,NEAR (1998-01-23),2.5,100000.0,0.5,13.46,5064774.581587776,5064761.121587776,376282.4013066698,true
qtensor,Cassini (1999-08-18),2.5,100000.0,0.5,-2.0,11818244.607426057,11818246.607426057,5909123.303713028,false
qtensor,Rosetta-I (2005-03-04),2.5,100000.0,0.5,1.8,2846284.101652441,2846282.3016524413,1581267.9453624673,true
qtensor,MESSENGER (2005-08-02),2.5,100000.0,0.5,0.02,2985657.245619463,2985657.225619463,149282861.28097314,true
qtensor,Juno (2013-10-09),2.5,100000.0,0.5,0.0,7316268.578609926,7316268.578609926,7.316268578609926e18,false
qtensor,Pioneer 11,2.5,100000.0,0.5,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,10000000.0,0.5,3.92,6710830.558531382,6710826.638531382,1711945.571053924,true
qtensor,NEAR (1998-01-23),2.5,10000000.0,0.5,13.46,5137586.576981502,5137573.116981502,381691.910622697,true
qtensor,Cassini (1999-08-18),2.5,10000000.0,0.5,-2.0,12005806.798247665,12005808.798247665,6002904.399123833,false
qtensor,Rosetta-I (2005-03-04),2.5,10000000.0,0.5,1.8,2896799.1153080463,2896797.3153080465,1609331.8418378036,true
qtensor,MESSENGER (2005-08-02),2.5,10000000.0,0.5,0.02,3041504.3297174815,3041504.3097174815,152075215.48587406,true
qtensor,Juno (2013-10-09),2.5,10000000.0,0.5,0.0,7421788.837875971,7421788.837875971,7.421788837875971e18,false
qtensor,Pioneer 11,2.5,10000000.0,0.5,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,149597870.7,0.5,3.92,6711688.603129423,6711684.683129423,1712164.4599819959,true
qtensor,NEAR (1998-01-23),2.5,149597870.7,0.5,13.46,5138205.696436326,5138192.236436326,381737.9076104254,true
qtensor,Cassini (1999-08-18),2.5,149597870.7,0.5,-2.0,12007386.937758457,12007388.937758457,6003694.468879228,false
qtensor,Rosetta-I (2005-03-04),2.5,149597870.7,0.5,1.8,2897219.895862783,2897218.095862783,1609565.6088126572,true
qtensor,MESSENGER (2005-08-02),2.5,149597870.7,0.5,0.02,3041966.9075095663,3041966.8875095663,152098344.3754783,true
qtensor,Juno (2013-10-09),2.5,149597870.7,0.5,0.0,7422685.813522937,7422685.813522937,7.422685813522937e18,false
qtensor,Pioneer 11,2.5,149597870.7,0.5,8.74e-10,0.031399252849374545,0.03139925197537455,35925917.59196173,true
qtensor,Galileo-I (1990-12-08),2.5,5983914828.0,0.5,3.92,6711748.465189937,6711744.545189937,1712179.7309158002,true
qtensor,NEAR (1998-01-23),2.5,5983914828.0,0.5,13.46,5138248.892486882,5138235.432486882,381741.11682666285,true
qtensor,Cassini (1999-08-18),2.5,5983914828.0,0.5,-2.0,12007497.173655692,12007499.173655692,6003749.586827846,false
qtensor,Rosetta-I (2005-03-04),2.5,5983914828.0,0.5,1.8,2897249.2474587797,2897247.44745878,1609581.9152548776,true
qtensor,MESSENGER (2005-08-02),2.5,5983914828.0,0.5,0.02,3041999.1727593364,3041999.1527593364,152099957.6379668,true
qtensor,Juno (2013-10-09),2.5,5983914828.0,0.5,0.0,7422748.395448464,7422748.395448464,7.422748395448464e18,false
qtensor,Pioneer 11,2.5,5983914828.0,0.5,8.74e-10,0.02288596034344278,0.02288595946944278,26185308.317440253,true
plain,Galileo-I (1990-12-08),2.6,0.0,0.0,3.92,6264300.0,6264296.08,1598034.7142857143,true
plain,NEAR (1998-01-23),2.6,0.0,0.0,13.46,4795700.0,4795686.54,356291.71916790487,true
plain,Cassini (1999-08-18),2.6,0.0,0.0,-2.0,11207000.0,11207002.0,5603501.0,false
plain,Rosetta-I (2005-03-04),2.6,0.0,0.0,1.8,2704100.0,2704098.2,1502276.7777777778,true
plain,MESSENGER (2005-08-02),2.6,0.0,0.0,0.02,2839200.0,2839199.98,141959999.0,true
plain,Juno (2013-10-09),2.6,0.0,0.0,0.0,6927899.999999999,6927899.999999999,6.927899999999999e18,false
plain,Pioneer 11,2.6,0.0,0.0,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,100000.0,0.05,3.92,6254054.873415864,6254050.953415864,1595421.1615856797,true
qtensor,NEAR (1998-01-23),2.6,100000.0,0.05,13.46,4788352.458158778,4788338.998158778,355745.83938772493,true
qtensor,Cassini (1999-08-18),2.6,100000.0,0.05,-2.0,11188074.460742606,11188076.460742606,5594038.230371303,false
qtensor,Rosetta-I (2005-03-04),2.6,100000.0,0.05,1.8,2699003.4101652442,2699001.6101652444,1499445.3389806913,true
qtensor,MESSENGER (2005-08-02),2.6,100000.0,0.05,0.02,2833565.724561946,2833565.704561946,141678285.2280973,true
qtensor,Juno (2013-10-09),2.6,100000.0,0.05,0.0,6917251.857860992,6917251.857860992,6.917251857860992e18,false
qtensor,Pioneer 11,2.6,100000.0,0.05,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,10000000.0,0.05,3.92,6264208.055853139,6264204.135853139,1598011.2591462089,true
qtensor,NEAR (1998-01-23),2.6,10000000.0,0.05,13.46,4795633.65769815,4795620.19769815,356286.7903193276,true
qtensor,Cassini (1999-08-18),2.6,10000000.0,0.05,-2.0,11206830.679824766,11206832.679824766,5603416.339912383,false
qtensor,Rosetta-I (2005-03-04),2.6,10000000.0,0.05,1.8,2704054.911530805,2704053.111530805,1502251.728628225,true
qtensor,MESSENGER (2005-08-02),2.6,10000000.0,0.05,0.02,2839150.432971748,2839150.412971748,141957520.6485874,true
qtensor,Juno (2013-10-09),2.6,10000000.0,0.05,0.0,6927803.883787596,6927803.883787596,6.927803883787596e18,false
qtensor,Pioneer 11,2.6,10000000.0,0.05,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,149597870.7,0.05,3.92,6264293.860312942,6264289.9403129425,1598033.148039016,true
qtensor,NEAR (1998-01-23),2.6,149597870.7,0.05,13.46,4795695.5696436325,4795682.109643633,356291.39001810044,true
qtensor,Cassini (1999-08-18),2.6,149597870.7,0.05,-2.0,11206988.693775846,11206990.693775846,5603495.346887923,false
qtensor,Rosetta-I (2005-03-04),2.6,149597870.7,0.05,1.8,2704096.9895862783,2704095.1895862785,1502275.1053257103,true
qtensor,MESSENGER (2005-08-02),2.6,149597870.7,0.05,0.02,2839196.6907509565,2839196.6707509565,141959833.53754783,true
qtensor,Juno (2013-10-09),2.6,149597870.7,0.05,0.0,6927893.581352293,6927893.581352293,6.927893581352292e18,false
qtensor,Pioneer 11,2.6,149597870.7,0.05,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,5983914828.0,0.05,3.92,6264299.846518993,6264295.926518993,1598034.6751323964,true
qtensor,NEAR (1998-01-23),2.6,5983914828.0,0.05,13.46,4795699.889248689,4795686.429248689,356291.71093972423,true
qtensor,Cassini (1999-08-18),2.6,5983914828.0,0.05,-2.0,11206999.717365569,11207001.717365569,5603500.858682784,false
qtensor,Rosetta-I (2005-03-04),2.6,5983914828.0,0.05,1.8,2704099.924745878,2704098.1247458784,1502276.7359699325,true
qtensor,MESSENGER (2005-08-02),2.6,5983914828.0,0.05,0.02,2839199.9172759335,2839199.8972759335,141959994.86379668,true
qtensor,Juno (2013-10-09),2.6,5983914828.0,0.05,0.0,6927899.839544846,6927899.839544846,6.927899839544846e18,false
qtensor,Pioneer 11,2.6,5983914828.0,0.05,8.74e-10,0.02845464007548973,0.028454639201489728,32556795.425045457,true
qtensor,Galileo-I (1990-12-08),2.6,100000.0,0.1,3.92,6243809.746831728,6243805.826831728,1592807.608885645,true
qtensor,NEAR (1998-01-23),2.6,100000.0,0.1,13.46,4781004.916317555,4780991.456317555,355199.95960754494,true
qtensor,Cassini (1999-08-18),2.6,100000.0,0.1,-2.0,11169148.921485212,11169150.921485212,5584575.460742606,false
qtensor,Rosetta-I (2005-03-04),2.6,100000.0,0.1,1.8,2693906.820330488,2693905.020330488,1496613.9001836046,true
qtensor,MESSENGER (2005-08-02),2.6,100000.0,0.1,0.02,2827931.4491238925,2827931.4291238924,141396571.4561946,true
qtensor,Juno (2013-10-09),2.6,100000.0,0.1,0.0,6906603.715721984,6906603.715721984,6.906603715721985e18,false
qtensor,Pioneer 11,2.6,100000.0,0.1,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,10000000.0,0.1,3.92,6264116.111706276,6264112.1917062765,1597987.8040067032,true
qtensor,NEAR (1998-01-23),2.6,10000000.0,0.1,13.46,4795567.3153963005,4795553.855396301,356281.8614707504,true
qtensor,Cassini (1999-08-18),2.6,10000000.0,0.1,-2.0,11206661.359649533,11206663.359649533,5603331.679824767,false
qtensor,Rosetta-I (2005-03-04),2.6,10000000.0,0.1,1.8,2704009.823061609,2704008.0230616094,1502226.6794786719,true
qtensor,MESSENGER (2005-08-02),2.6,10000000.0,0.1,0.02,2839100.865943496,2839100.845943496,141955042.2971748,true
qtensor,Juno (2013-10-09),2.6,10000000.0,0.1,0.0,6927707.767575193,6927707.767575193,6.927707767575194e18,false
qtensor,Pioneer 11,2.6,10000000.0,0.1,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,149597870.7,0.1,3.92,6264287.720625885,6264283.800625885,1598031.5817923176,true
qtensor,NEAR (1998-01-23),2.6,149597870.7,0.1,13.46,4795691.139287265,4795677.679287265,356291.060868296,true
qtensor,Cassini (1999-08-18),2.6,149597870.7,0.1,-2.0,11206977.387551691,11206979.387551691,5603489.693775846,false
qtensor,Rosetta-I (2005-03-04),2.6,149597870.7,0.1,1.8,2704093.9791725567,2704092.179172557,1502273.4328736428,true
qtensor,MESSENGER (2005-08-02),2.6,149597870.7,0.1,0.02,2839193.381501913,2839193.361501913,141959668.07509565,true
qtensor,Juno (2013-10-09),2.6,149597870.7,0.1,0.0,6927887.162704586,6927887.162704586,6.927887162704586e18,false
qtensor,Pioneer 11,2.6,149597870.7,0.1,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,5983914828.0,0.1,3.92,6264299.693037988,6264295.773037988,1598034.6359790785,true
qtensor,NEAR (1998-01-23),2.6,5983914828.0,0.1,13.46,4795699.7784973765,4795686.3184973765,356291.70271154353,true
qtensor,Cassini (1999-08-18),2.6,5983914828.0,0.1,-2.0,11206999.434731139,11207001.434731139,5603500.717365569,false
qtensor,Rosetta-I (2005-03-04),2.6,5983914828.0,0.1,1.8,2704099.849491756,2704098.049491756,1502276.6941620868,true
qtensor,MESSENGER (2005-08-02),2.6,5983914828.0,0.1,0.02,2839199.834551867,2839199.814551867,141959990.72759336,true
qtensor,Juno (2013-10-09),2.6,5983914828.0,0.1,0.0,6927899.6790896915,6927899.6790896915,6.927899679089692e18,false
qtensor,Pioneer 11,2.6,5983914828.0,0.1,8.74e-10,0.02760331082489655,0.02760330995089655,31582734.497593306,true
qtensor,Galileo-I (1990-12-08),2.6,100000.0,0.3,3.92,6202829.2404951835,6202825.320495184,1582353.398085506,true
qtensor,NEAR (1998-01-23),2.6,100000.0,0.3,13.46,4751614.748952665,4751601.288952665,353016.4404868251,true
qtensor,Cassini (1999-08-18),2.6,100000.0,0.3,-2.0,11093446.764455633,11093448.764455633,5546724.382227817,false
qtensor,Rosetta-I (2005-03-04),2.6,100000.0,0.3,1.8,2673520.4609914646,2673518.6609914647,1485288.1449952582,true
qtensor,MESSENGER (2005-08-02),2.6,100000.0,0.3,0.02,2805394.3473716774,2805394.3273716774,140269716.36858386,true
qtensor,Juno (2013-10-09),2.6,100000.0,0.3,0.0,6864011.147165954,6864011.147165954,6.864011147165954e18,false
qtensor,Pioneer 11,2.6,100000.0,0.3,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,10000000.0,0.3,3.92,6263748.33511883,6263744.41511883,1597893.9834486812,true
qtensor,NEAR (1998-01-23),2.6,10000000.0,0.3,13.46,4795301.946188901,4795288.486188901,356262.14607644134,true
qtensor,Cassini (1999-08-18),2.6,10000000.0,0.3,-2.0,11205984.0789486,11205986.0789486,5602993.0394743,false
qtensor,Rosetta-I (2005-03-04),2.6,10000000.0,0.3,1.8,2703829.4691848275,2703827.6691848277,1502126.4828804599,true
qtensor,MESSENGER (2005-08-02),2.6,10000000.0,0.3,0.02,2838902.597830489,2838902.577830489,141945128.89152443,true
qtensor,Juno (2013-10-09),2.6,10000000.0,0.3,0.0,6927323.3027255805,6927323.3027255805,6.927323302725581e18,false
qtensor,Pioneer 11,2.6,10000000.0,0.3,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,149597870.7,0.3,3.92,6264263.1618776545,6264259.241877655,1598025.316805524,true
qtensor,NEAR (1998-01-23),2.6,149597870.7,0.3,13.46,4795673.417861795,4795659.957861795,356289.74426907836,true
qtensor,Cassini (1999-08-18),2.6,149597870.7,0.3,-2.0,11206932.162655074,11206934.162655074,5603467.081327537,false
qtensor,Rosetta-I (2005-03-04),2.6,149597870.7,0.3,1.8,2704081.9375176695,2704080.1375176697,1502266.743065372,true
qtensor,MESSENGER (2005-08-02),2.6,149597870.7,0.3,0.02,2839180.144505739,2839180.124505739,141959006.22528696,true
qtensor,Juno (2013-10-09),2.6,149597870.7,0.3,0.0,6927861.488113761,6927861.488113761,6.927861488113761e18,false
qtensor,Pioneer 11,2.6,149597870.7,0.3,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,5983914828.0,0.3,3.92,6264299.079113962,6264295.159113962,1598034.4793658068,true
qtensor,NEAR (1998-01-23),2.6,5983914828.0,0.3,13.46,4795699.335492129,4795685.8754921295,356291.66979882086,true
qtensor,Cassini (1999-08-18),2.6,5983914828.0,0.3,-2.0,11206998.304193415,11207000.304193415,5603500.152096707,false
qtensor,Rosetta-I (2005-03-04),2.6,5983914828.0,0.3,1.8,2704099.548475268,2704097.748475268,1502276.5269307045,true
qtensor,MESSENGER (2005-08-02),2.6,5983914828.0,0.3,0.02,2839199.5036556013,2839199.4836556013,141959974.18278006,true
qtensor,Juno (2013-10-09),2.6,5983914828.0,0.3,0.0,6927899.037269077,6927899.037269077,6.927899037269077e18,false
qtensor,Pioneer 11,2.6,5983914828.0,0.3,8.74e-10,0.024197993822523845,0.024197992948523844,27686490.787784718,true
qtensor,Galileo-I (1990-12-08),2.6,100000.0,0.5,3.92,6161848.734158639,6161844.814158639,1571899.1872853672,true
qtensor,NEAR (1998-01-23),2.6,100000.0,0.5,13.46,4722224.581587776,4722211.121587776,350832.92136610515,true
qtensor,Cassini (1999-08-18),2.6,100000.0,0.5,-2.0,11017744.607426057,11017746.607426057,5508873.303713028,false
qtensor,Rosetta-I (2005-03-04),2.6,100000.0,0.5,1.8,2653134.101652441,2653132.3016524413,1473962.3898069118,true
qtensor,MESSENGER (2005-08-02),2.6,100000.0,0.5,0.02,2782857.245619462,2782857.225619462,139142861.28097308,true
qtensor,Juno (2013-10-09),2.6,100000.0,0.5,0.0,6821418.578609924,6821418.578609924,6.821418578609924e18,false
qtensor,Pioneer 11,2.6,100000.0,0.5,8.74e-10,0.0293059693260829,0.0293059684520829,33530856.3524976,true
qtensor,Galileo-I (1990-12-08),2.6,10000000.0,0.5,3.92,6263380.558531383,6263376.638531383,1597800.162890659,true
qtensor,NEAR (1998-01-23),2.6,10000000.0,0.5,13.46,4795036.576981502,4795023.116981502,356242.43068213237,true
qtensor,Cassini (1999-08-18),2.6,10000000.0,0.5,-2.0,11205306.798247665,11205308.798247665,5602654.399123833,false
qtensor,Rosetta-I (2005-03-04),2.6,10000000.0,0.5,1.8,2703649.1153080463,2703647.3153080465,1502026.286282248,true
qtensor,MESSENGER (2005-08-02),2.6,10000000.0,0.5,0.02,2838704.329717481,2838704.309717481,141935215.48587406,true
