id	url	http_code	content_type	size_download	url_effective	magic	is_pdf	status	body_path	headers_path	stderr_path
SD-DOI	https://doi.org/10.1016/0021-8693(90)90221-9	200	text/html;charset=UTF-8	2669	https://linkinghub.elsevier.com/retrieve/pii/0021869390902219	"




"	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/14_SD-DOI.bin	/tmp/cd_retry_mirrors/meta/14_SD-DOI.headers.txt	/tmp/cd_retry_mirrors/meta/14_SD-DOI.curl.err
RG-PDF	https://www.researchgate.net/profile/Irvin-Hentzel/publication/2414187_Identities_For_Algebras_Obtained_From_The_Cayley-Dickson_Process/links/576abf7f08ae6e772780b24c/Identities-For-Algebras-Obtained-From-The-Cayley-Dickson-Process.pdf	403	text/plain; charset=UTF-8	16	https://www.researchgate.net/profile/Irvin-Hentzel/publication/2414187_Identities_For_Algebras_Obtained_From_The_Cayley-Dickson_Process/links/576abf7f08ae6e772780b24c/Identities-For-Algebras-Obtained-From-The-Cayley-Dickson-Process.pdf	error	0	http_403	/tmp/cd_retry_mirrors/files/15_RG-PDF.bin	/tmp/cd_retry_mirrors/meta/15_RG-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/15_RG-PDF.curl.err
RG-LANDING	https://www.researchgate.net/publication/2414187_Identities_For_Algebras_Obtained_From_The_Cayley-Dickson_Process	403	text/plain; charset=UTF-8	16	https://www.researchgate.net/publication/2414187_Identities_For_Algebras_Obtained_From_The_Cayley-Dickson_Process	error	0	http_403	/tmp/cd_retry_mirrors/files/16_RG-LANDING.bin	/tmp/cd_retry_mirrors/meta/16_RG-LANDING.headers.txt	/tmp/cd_retry_mirrors/meta/16_RG-LANDING.curl.err
IASTATE-BITSTREAM	https://dr.lib.iastate.edu/server/api/core/bitstreams/7acefa00-fdc3-4691-a20f-4a3494587690/content	200	application/pdf;charset=UTF-8	247969	https://dr.lib.iastate.edu/server/api/core/bitstreams/7acefa00-fdc3-4691-a20f-4a3494587690/content	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/17_IASTATE-BITSTREAM.bin	/tmp/cd_retry_mirrors/meta/17_IASTATE-BITSTREAM.headers.txt	/tmp/cd_retry_mirrors/meta/17_IASTATE-BITSTREAM.curl.err
ARXIV-ABS	https://arxiv.org/abs/1602.02317	200	text/html; charset=utf-8	43492	https://arxiv.org/abs/1602.02317	<!DOC	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/18_ARXIV-ABS.bin	/tmp/cd_retry_mirrors/meta/18_ARXIV-ABS.headers.txt	/tmp/cd_retry_mirrors/meta/18_ARXIV-ABS.curl.err
ARXIV-V1	https://arxiv.org/pdf/1602.02317v1	200	application/pdf	191938	https://arxiv.org/pdf/1602.02317v1	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/19_ARXIV-V1.bin	/tmp/cd_retry_mirrors/meta/19_ARXIV-V1.headers.txt	/tmp/cd_retry_mirrors/meta/19_ARXIV-V1.curl.err
ARXIV-V2	https://arxiv.org/pdf/1602.02317v2	200	application/pdf	192196	https://arxiv.org/pdf/1602.02317v2	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/20_ARXIV-V2.bin	/tmp/cd_retry_mirrors/meta/20_ARXIV-V2.headers.txt	/tmp/cd_retry_mirrors/meta/20_ARXIV-V2.curl.err
ARXIV-PDF	https://arxiv.org/pdf/1602.02317.pdf	404	text/html; charset=utf-8	10451	https://arxiv.org/pdf/1602.02317	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/21_ARXIV-PDF.bin	/tmp/cd_retry_mirrors/meta/21_ARXIV-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/21_ARXIV-PDF.curl.err
ARXIV-V1-PDF	https://arxiv.org/pdf/1602.02317v1.pdf	200	application/pdf	191938	https://arxiv.org/pdf/1602.02317v1	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/22_ARXIV-V1-PDF.bin	/tmp/cd_retry_mirrors/meta/22_ARXIV-V1-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/22_ARXIV-V1-PDF.curl.err
EXPORT-PDF	https://export.arxiv.org/pdf/1602.02317.pdf	404	text/html	126	https://export.arxiv.org/pdf/1602.02317	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/23_EXPORT-PDF.bin	/tmp/cd_retry_mirrors/meta/23_EXPORT-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/23_EXPORT-PDF.curl.err
EXPORT-NOPDF	https://export.arxiv.org/pdf/1602.02317	404	text/html	126	https://export.arxiv.org/pdf/1602.02317	<!DOC	0	http_404	/tmp/cd_retry_mirrors/files/24_EXPORT-NOPDF.bin	/tmp/cd_retry_mirrors/meta/24_EXPORT-NOPDF.headers.txt	/tmp/cd_retry_mirrors/meta/24_EXPORT-NOPDF.curl.err
ARXIV-FTP	https://arxiv.org/ftp/arxiv/papers/1602/1602.02317.pdf	404	text/html; charset=utf-8	425	https://arxiv.org/ftp/arxiv/papers/1602/1602.02317.pdf	"
<?xm"	0	http_404	/tmp/cd_retry_mirrors/files/25_ARXIV-FTP.bin	/tmp/cd_retry_mirrors/meta/25_ARXIV-FTP.headers.txt	/tmp/cd_retry_mirrors/meta/25_ARXIV-FTP.curl.err
EUCLID-PDF	https://projecteuclid.org/journals/missouri-journal-of-mathematical-sciences/volume-28/issue-1/An-Alternate-Cayley-Dickson-Product/10.35834/mjms/1474295358.pdf	200	text/html	1157	https://projecteuclid.org/journals/missouri-journal-of-mathematical-sciences/volume-28/issue-1/An-Alternate-Cayley-Dickson-Product/10.35834/mjms/1474295358.pdf	<html	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/26_EUCLID-PDF.bin	/tmp/cd_retry_mirrors/meta/26_EUCLID-PDF.headers.txt	/tmp/cd_retry_mirrors/meta/26_EUCLID-PDF.curl.err
ARCHIVE-DIRECT	https://archive.org/download/arxiv-1602.02317/1602.02317.pdf	200	application/pdf	189748	https://dn711104.ca.archive.org/0/items/arxiv-1602.02317/1602.02317.pdf	%PDF-	1	pdf_ok	/tmp/cd_retry_mirrors/files/27_ARCHIVE-DIRECT.bin	/tmp/cd_retry_mirrors/meta/27_ARCHIVE-DIRECT.headers.txt	/tmp/cd_retry_mirrors/meta/27_ARCHIVE-DIRECT.curl.err
ARCHIVE-LANDING	https://archive.org/details/arxiv-1602.02317	200	text/html; charset=UTF-8	194690	https://archive.org/details/arxiv-1602.02317	<!DOC	0	ok_nonpdf	/tmp/cd_retry_mirrors/files/28_ARCHIVE-LANDING.bin	/tmp/cd_retry_mirrors/meta/28_ARCHIVE-LANDING.headers.txt	/tmp/cd_retry_mirrors/meta/28_ARCHIVE-LANDING.curl.err
