x_center,mode,k,power,phase,n_eff
0.754093,3,2.692794,2.226967e-4,-1.287955,15.7923
0.754093,4,3.590392,2.942313e-4,-0.568028,15.7923
0.754093,5,4.487990,3.700600e-4,0.176818,15.7923
0.754093,6,5.385587,4.372093e-4,0.931741,15.7923
0.754093,7,6.283185,4.822812e-4,1.685761,15.7923
0.777192,1,0.897598,1.285590e-4,-2.579474,15.8070
0.777192,2,1.795196,1.650651e-4,-1.965284,15.8070
0.777192,3,2.692794,2.223553e-4,-1.289645,15.8070
0.777192,4,3.590392,2.940093e-4,-0.569500,15.8070
0.777192,5,4.487990,3.699224e-4,0.175677,15.8070
0.777192,6,5.385587,4.370881e-4,0.930980,15.8070
0.777192,7,6.283185,4.820854e-4,1.685404,15.8070
0.800292,1,0.897598,1.280118e-4,-2.580582,15.8180
0.800292,2,1.795196,1.646038e-4,-1.966940,15.8180
0.800292,3,2.692794,2.220128e-4,-1.291342,15.8180
0.800292,4,3.590392,2.937865e-4,-0.570975,15.8180
0.800292,5,4.487990,3.697842e-4,0.174535,15.8180
0.800292,6,5.385587,4.369664e-4,0.930219,15.8180
0.800292,7,6.283185,4.818893e-4,1.685048,15.8180
0.823391,1,0.897598,1.274630e-4,-2.581697,15.8253
0.823391,2,1.795196,1.641412e-4,-1.968604,15.8253
0.823391,3,2.692794,2.216693e-4,-1.293044,15.8253
0.823391,4,3.590392,2.935629e-4,-0.572454,15.8253
0.823391,5,4.487990,3.696454e-4,0.173391,15.8253
0.823391,6,5.385587,4.368443e-4,0.929458,15.8253
0.823391,7,6.283185,4.816930e-4,1.684693,15.8253
0.846490,1,0.897598,1.269128e-4,-2.582819,15.8290
0.846490,2,1.795196,1.636773e-4,-1.970277,15.8290
0.846490,3,2.692794,2.213246e-4,-1.294752,15.8290
0.846490,4,3.590392,2.933385e-4,-0.573936,15.8290
0.846490,5,4.487990,3.695060e-4,0.172246,15.8290
0.846490,6,5.385587,4.367218e-4,0.928697,15.8290
0.846490,7,6.283185,4.814965e-4,1.684339,15.8290
0.869590,1,0.897598,1.263612e-4,-2.583950,15.8290
0.869590,2,1.795196,1.632121e-4,-1.971958,15.8290
0.869590,3,2.692794,2.209790e-4,-1.296466,15.8290
0.869590,4,3.590392,2.931133e-4,-0.575421,15.8290
0.869590,5,4.487990,3.693660e-4,0.171100,15.8290
0.869590,6,5.385587,4.365988e-4,0.927936,15.8290
0.869590,7,6.283185,4.812997e-4,1.683987,15.8290
0.892689,1,0.897598,1.258081e-4,-2.585088,15.8253
0.892689,2,1.795196,1.627457e-4,-1.973648,15.8253
0.892689,3,2.692794,2.206323e-4,-1.298186,15.8253
0.892689,4,3.590392,2.928873e-4,-0.576909,15.8253
0.892689,5,4.487990,3.692255e-4,0.169952,15.8253
0.892689,6,5.385587,4.364755e-4,0.927176,15.8253
0.892689,7,6.283185,4.811027e-4,1.683636,15.8253
0.915788,1,0.897598,1.252537e-4,-2.586234,15.8180
0.915788,2,1.795196,1.622781e-4,-1.975346,15.8180
0.915788,3,2.692794,2.202847e-4,-1.299913,15.8180
0.915788,4,3.590392,2.926605e-4,-0.578400,15.8180
0.915788,5,4.487990,3.690844e-4,0.168804,15.8180
0.915788,6,5.385587,4.363518e-4,0.926415,15.8180
0.915788,7,6.283185,4.809056e-4,1.683287,15.8180
0.938888,1,0.897598,1.246979e-4,-2.587388,15.8070
0.938888,2,1.795196,1.618093e-4,-1.977054,15.8070
0.938888,3,2.692794,2.199361e-4,-1.301645,15.8070
0.938888,4,3.590392,2.924330e-4,-0.579895,15.8070
0.938888,5,4.487990,3.689427e-4,0.167653,15.8070
0.938888,6,5.385587,4.362278e-4,0.925655,15.8070
0.938888,7,6.283185,4.807082e-4,1.682939,15.8070
0.961987,1,0.897598,1.241407e-4,-2.588550,15.7923
0.961987,2,1.795196,1.613393e-4,-1.978770,15.7923
0.961987,3,2.692794,2.195865e-4,-1.303383,15.7923
0.961987,4,3.590392,2.922048e-4,-0.581394,15.7923
0.961987,5,4.487990,3.688005e-4,0.166502,15.7923
0.961987,6,5.385587,4.361034e-4,0.924895,15.7923
0.961987,7,6.283185,4.805107e-4,1.682592,15.7923
0.985086,1,0.897598,1.235823e-4,-2.589720,15.7740
0.985086,2,1.795196,1.608682e-4,-1.980494,15.7740
0.985086,3,2.692794,2.192360e-4,-1.305127,15.7740
0.985086,4,3.590392,2.919759e-4,-0.582895,15.7740
0.985086,5,4.487990,3.686578e-4,0.165349,15.7740
0.985086,6,5.385587,4.359787e-4,0.924135,15.7740
0.985086,7,6.283185,4.803131e-4,1.682246,15.7740
1.008186,1,0.897598,1.230226e-4,-2.590898,15.7520
1.008186,2,1.795196,1.603959e-4,-1.982228,15.7520
1.008186,3,2.692794,2.188846e-4,-1.306877,15.7520
1.008186,4,3.590392,2.917463e-4,-0.584400,15.7520
1.008186,5,4.487990,3.685147e-4,0.164195,15.7520
1.008186,6,5.385587,4.358536e-4,0.923375,15.7520
1.008186,7,6.283185,4.801153e-4,1.681902,15.7520
1.031285,1,0.897598,1.224616e-4,-2.592084,15.7265
1.031285,2,1.795196,1.599226e-4,-1.983971,15.7265
1.031285,3,2.692794,2.185323e-4,-1.308634,15.7265
1.031285,4,3.590392,2.915160e-4,-0.585908,15.7265
1.031285,5,4.487990,3.683710e-4,0.163040,15.7265
1.031285,6,5.385587,4.357282e-4,0.922615,15.7265
1.031285,7,6.283185,4.799173e-4,1.681559,15.7265
1.054385,1,0.897598,1.218995e-4,-2.593279,15.6973
1.054385,2,1.795196,1.594482e-4,-1.985723,15.6973
1.054385,3,2.692794,2.181792e-4,-1.310397,15.6973
1.054385,4,3.590392,2.912851e-4,-0.587420,15.6973
1.054385,5,4.487990,3.682269e-4,0.161883,15.6973
1.054385,6,5.385587,4.356026e-4,0.921855,15.6973
1.054385,7,6.283185,4.797193e-4,1.681217,15.6973
1.077484,1,0.897598,1.213361e-4,-2.594482,15.6645
1.077484,2,1.795196,1.589728e-4,-1.987484,15.6645
1.077484,3,2.692794,2.178252e-4,-1.312165,15.6645
1.077484,4,3.590392,2.910535e-4,-0.588935,15.6645
1.077484,5,4.487990,3.680823e-4,0.160725,15.6645
1.077484,6,5.385587,4.354766e-4,0.921095,15.6645
1.077484,7,6.283185,4.795212e-4,1.680877,15.6645
1.100583,1,0.897598,1.207716e-4,-2.595694,15.6282
1.100583,2,1.795196,1.584963e-4,-1.989254,15.6282
1.100583,3,2.692794,2.174704e-4,-1.313940,15.6282
1.100583,4,3.590392,2.908214e-4,-0.590453,15.6282
1.100583,5,4.487990,3.679373e-4,0.159565,15.6282
1.100583,6,5.385587,4.353504e-4,0.920336,15.6282
1.100583,7,6.283185,4.793229e-4,1.680538,15.6282
1.123683,1,0.897598,1.202059e-4,-2.596915,15.5884
1.123683,2,1.795196,1.580189e-4,-1.991033,15.5884
1.123683,3,2.692794,2.171149e-4,-1.315722,15.5884
1.123683,4,3.590392,2.905886e-4,-0.591975,15.5884
1.123683,5,4.487990,3.677919e-4,0.158404,15.5884
1.123683,6,5.385587,4.352239e-4,0.919576,15.5884
1.123683,7,6.283185,4.791246e-4,1.680200,15.5884
1.146782,1,0.897598,1.196392e-4,-2.598144,15.5450
1.146782,2,1.795196,1.575405e-4,-1.992822,15.5450
1.146782,3,2.692794,2.167585e-4,-1.317510,15.5450
1.146782,4,3.590392,2.903553e-4,-0.593500,15.5450
1.146782,5,4.487990,3.676460e-4,0.157242,15.5450
1.146782,6,5.385587,4.350972e-4,0.918817,15.5450
1.146782,7,6.283185,4.789263e-4,1.679864,15.5450
1.169881,1,0.897598,1.190714e-4,-2.599382,15.4982
1.169881,2,1.795196,1.570612e-4,-1.994621,15.4982
1.169881,3,2.692794,2.164014e-4,-1.319304,15.4982
1.169881,4,3.590392,2.901214e-4,-0.595028,15.4982
1.169881,5,4.487990,3.674998e-4,0.156078,15.4982
1.169881,6,5.385587,4.349702e-4,0.918057,15.4982
1.169881,7,6.283185,4.787279e-4,1.679529,15.4982
1.192981,1,0.897598,1.185025e-4,-2.600629,15.4479
1.192981,2,1.795196,1.565809e-4,-1.996429,15.4479
1.192981,3,2.692794,2.160436e-4,-1.321104,15.4479
1.192981,4,3.590392,2.898869e-4,-0.596560,15.4479
1.192981,5,4.487990,3.673532e-4,0.154913,15.4479
1.192981,6,5.385587,4.348430e-4,0.917298,15.4479
1.192981,7,6.283185,4.785295e-4,1.679195,15.4479
1.216080,1,0.897598,1.179326e-4,-2.601886,15.3942
1.216080,2,1.795196,1.560998e-4,-1.998246,15.3942
1.216080,3,2.692794,2.156851e-4,-1.322911,15.3942
1.216080,4,3.590392,2.896520e-4,-0.598096,15.3942
1.216080,5,4.487990,3.672062e-4,0.153747,15.3942
1.216080,6,5.385587,4.347156e-4,0.916539,15.3942
1.216080,7,6.283185,4.783310e-4,1.678862,15.3942
