r_kpc,v_circ_nfw_km_s,v_circ_halo_km_s,modulation_factor,delta_v_percent
0.704199,51.893089,52.521027,1.02434761,1.210059
0.714015,52.237151,52.868284,1.02431014,1.208208
0.723968,52.583271,53.217601,1.02427219,1.206333
0.734060,52.931458,53.568983,1.02423375,1.204434
0.744292,53.281720,53.922438,1.02419484,1.202512
0.754667,53.634063,54.277974,1.02415542,1.200564
0.765187,53.988495,54.635597,1.02411551,1.198593
0.775853,54.345025,54.995315,1.02407510,1.196596
0.786668,54.703659,55.357134,1.02403418,1.194574
0.797634,55.064405,55.721062,1.02399274,1.192526
0.808752,55.427269,56.087105,1.02395078,1.190453
0.820026,55.792260,56.455270,1.02390830,1.188354
0.831457,56.159384,56.825562,1.02386528,1.186228
0.843047,56.528648,57.197990,1.02382172,1.184076
0.854798,56.900059,57.572559,1.02377763,1.181897
0.866714,57.273624,57.949276,1.02373298,1.179691
0.878795,57.649350,58.328146,1.02368777,1.177457
0.891045,58.027242,58.709176,1.02364201,1.175195
0.903466,58.407308,59.092371,1.02359568,1.172905
0.916060,58.789554,59.477737,1.02354877,1.170587
0.928829,59.173986,59.865281,1.02350129,1.168240
0.941777,59.560610,60.255006,1.02345322,1.165865
0.954904,59.949433,60.646920,1.02340456,1.163460
0.968215,60.340459,61.041027,1.02335530,1.161025
0.981712,60.733695,61.437332,1.02330544,1.158561
0.995396,61.129147,61.835840,1.02325497,1.156066
1.009272,61.526819,62.236556,1.02320388,1.153541
1.023340,61.926718,62.639485,1.02315217,1.150985
1.037605,62.328848,63.044631,1.02309983,1.148397
1.052069,62.733214,63.451998,1.02304686,1.145779
1.066734,63.139821,63.861591,1.02299325,1.143129
1.081604,63.548675,64.273413,1.02293899,1.140446
1.096681,63.959779,64.687469,1.02288407,1.137731
1.111968,64.373138,65.103762,1.02282850,1.134984
1.127468,64.788756,65.522296,1.02277226,1.132204
1.143184,65.206637,65.943074,1.02271535,1.129390
1.159120,65.626785,66.366099,1.02265776,1.126542
1.175277,66.049204,66.791373,1.02259948,1.123661
1.191660,66.473897,67.218900,1.02254052,1.120745
1.208271,66.900868,67.648683,1.02248085,1.117795
1.225114,67.330120,68.080723,1.02242048,1.114810
1.242191,67.761655,68.515022,1.02235940,1.111790
1.259506,68.195476,68.951583,1.02229761,1.108734
1.277063,68.631587,69.390407,1.02223509,1.105642
1.294865,69.069988,69.831495,1.02217184,1.102514
1.312915,69.510683,70.274849,1.02210786,1.099350
1.331216,69.953673,70.720469,1.02204313,1.096149
1.349772,70.398960,71.168357,1.02197765,1.092910
1.368587,70.846544,71.618513,1.02191142,1.089635
1.387665,71.296428,72.070937,1.02184443,1.086321
1.407008,71.748613,72.525628,1.02177667,1.082970
1.426621,72.203098,72.982588,1.02170814,1.079580
1.446507,72.659884,73.441814,1.02163883,1.076151
1.466671,73.118972,73.903307,1.02156873,1.072683
1.487115,73.580361,74.367065,1.02149784,1.069176
1.507845,74.044052,74.833087,1.02142615,1.065630
1.528864,74.510042,75.301371,1.02135366,1.062043
1.550175,74.978332,75.771915,1.02128035,1.058416
1.571784,75.448920,76.244717,1.02120623,1.054749
1.593694,75.921805,76.719774,1.02113129,1.051041
1.615909,76.396985,77.197084,1.02105552,1.047292
1.638434,76.874457,77.676643,1.02097891,1.043501
1.661273,77.354220,78.158448,1.02090147,1.039669
1.684430,77.836271,78.642495,1.02082318,1.035795
1.707910,78.320606,79.128779,1.02074404,1.031878
1.731717,78.807222,79.617297,1.02066405,1.027919
1.755856,79.296116,80.108043,1.02058319,1.023917
1.780332,79.787284,80.601012,1.02050146,1.019872
1.805149,80.280721,81.096200,1.02041887,1.015784
1.830312,80.776422,81.593598,1.02033539,1.011652
1.855825,81.274382,82.093203,1.02025103,1.007477
1.881694,81.774597,82.595006,1.02016579,1.003257
1.907924,82.277059,83.099001,1.02007965,0.998993
1.934520,82.781764,83.605181,1.01999262,0.994684
1.961486,83.288703,84.113537,1.01990469,0.990331
1.988828,83.797872,84.624062,1.01981585,0.985932
2.016551,84.309261,85.136747,1.01972610,0.981488
2.044661,84.822864,85.651583,1.01963544,0.976999
2.073162,85.338672,86.168560,1.01954385,0.972464
2.102061,85.856677,86.687669,1.01945135,0.967884
2.131362,86.376869,87.208900,1.01935792,0.963257
2.161073,86.899240,87.732242,1.01926357,0.958584
2.191197,87.423779,88.257684,1.01916828,0.953865
2.221741,87.950477,88.785214,1.01907205,0.949099
2.252711,88.479322,89.314820,1.01897489,0.944286
2.284112,89.010304,89.846490,1.01887679,0.939427
2.315951,89.543411,90.380212,1.01877774,0.934520
2.348235,90.078630,90.915971,1.01867775,0.929567
2.380968,90.615950,91.453754,1.01857681,0.924566
2.414157,91.155357,91.993547,1.01847492,0.919519
2.447809,91.696838,92.535335,1.01837208,0.914423
2.481930,92.240379,93.079103,1.01826829,0.909281
2.516527,92.785965,93.624834,1.01816355,0.904091
2.551606,93.333582,94.172514,1.01805785,0.898853
2.587174,93.883214,94.722124,1.01795120,0.893568
2.623238,94.434845,95.273648,1.01784360,0.888235
2.659804,94.988458,95.827068,1.01773504,0.882855
2.696881,95.544037,96.382367,1.01762553,0.877427
2.734474,96.101565,96.939524,1.01751507,0.871952
2.772591,96.661022,97.498521,1.01740365,0.866429
2.811239,97.222391,98.059338,1.01729128,0.860859
2.850426,97.785652,98.621955,1.01717797,0.855241
2.890160,98.350785,99.186351,1.01706371,0.849577
2.930447,98.917771,99.752504,1.01694851,0.843865
2.971296,99.486588,100.320392,1.01683237,0.838106
3.012714,100.057216,100.889993,1.01671529,0.832301
3.054710,100.629631,101.461284,1.01659728,0.826449
3.097291,101.203812,102.034241,1.01647834,0.820550
3.140465,101.779736,102.608839,1.01635847,0.814606
3.184242,102.357378,103.185055,1.01623769,0.808615
3.228628,102.936714,103.762863,1.01611599,0.802579
3.273634,103.517720,104.342236,1.01599339,0.796497
3.319266,104.100370,104.923149,1.01586989,0.790371
3.365535,104.684637,105.505574,1.01574549,0.784200
3.412449,105.270496,106.089483,1.01562021,0.777984
3.460016,105.857918,106.674849,1.01549404,0.771724
3.508247,106.446875,107.261642,1.01536702,0.765421
3.557150,107.037340,107.849834,1.01523913,0.759075
3.606735,107.629282,108.439393,1.01511039,0.752687
3.657011,108.222671,109.030289,1.01498081,0.746256
3.707988,108.817478,109.622492,1.01485040,0.739784
3.759675,109.413671,110.215969,1.01471917,0.733270
3.812083,110.011218,110.810688,1.01458714,0.726717
3.865221,110.610086,111.406615,1.01445432,0.720123
3.919100,111.210243,112.003718,1.01432072,0.713491
3.973730,111.811655,112.601961,1.01418635,0.706820
4.029122,112.414286,113.201311,1.01405124,0.700111
4.085286,113.018103,113.801731,1.01391539,0.693366
4.142232,113.623068,114.403186,1.01377882,0.686584
4.199973,114.229146,115.005638,1.01364155,0.679767
4.258518,114.836300,115.609051,1.01350360,0.672916
4.317880,115.444491,116.213387,1.01336498,0.666031
4.378069,116.053681,116.818607,1.01322571,0.659113
4.439097,116.663832,117.424672,1.01308582,0.652164
4.500975,117.274902,118.031542,1.01294532,0.645185
4.563716,117.886852,118.639177,1.01280424,0.638176
4.627332,118.499640,119.247536,1.01266260,0.631138
4.691835,119.113224,119.856578,1.01252042,0.624073
4.757236,119.727562,120.466261,1.01237772,0.616983
4.823549,120.342611,121.076541,1.01223453,0.609867
4.890787,120.958326,121.687375,1.01209088,0.602727
4.958962,121.574664,122.298721,1.01194678,0.595566
5.028087,122.191578,122.910532,1.01180228,0.588383
5.098176,122.809022,123.522765,1.01165739,0.581181
5.169242,123.426951,124.135373,1.01151215,0.573960
5.241298,124.045316,124.748310,1.01136658,0.566723
5.314359,124.664071,125.361530,1.01122072,0.559471
5.388438,125.283165,125.974985,1.01107460,0.552205
5.463550,125.902550,126.588627,1.01092824,0.544927
5.539709,126.522176,127.202408,1.01078169,0.537639
5.616930,127.141991,127.816280,1.01063498,0.530343
5.695227,127.761946,128.430191,1.01048814,0.523039
5.774615,128.381988,129.044093,1.01034120,0.515730
5.855110,129.002064,129.657934,1.01019422,0.508418
5.936727,129.622121,130.271664,1.01004721,0.501105
6.019482,130.242105,130.885231,1.00990023,0.493793
6.103390,130.861962,131.498583,1.00975331,0.486482
6.188468,131.481637,132.111667,1.00960650,0.479177
6.274732,132.101074,132.724429,1.00945982,0.471878
6.362198,132.720216,133.336818,1.00931333,0.464587
6.450884,133.339007,133.948777,1.00916707,0.457308
6.540806,133.957389,134.560253,1.00902108,0.450042
6.631981,134.575305,135.171191,1.00887541,0.442790
6.724427,135.192694,135.781535,1.00873010,0.435557
6.818162,135.809499,136.391229,1.00858520,0.428343
6.913204,136.425659,137.000217,1.00844076,0.421151
7.009570,137.041114,137.608442,1.00829682,0.413984
7.107280,137.655803,138.215846,1.00815342,0.406844
7.206351,138.269664,138.822373,1.00801063,0.399733
7.306804,138.882636,139.427964,1.00786849,0.392654
7.408657,139.494657,140.032561,1.00772705,0.385609
7.511929,140.105662,140.636104,1.00758636,0.378602
7.616642,140.715590,141.238536,1.00744648,0.371633
7.722814,141.324375,141.839795,1.00730744,0.364707
7.830465,141.931954,142.439823,1.00716932,0.357826
7.939618,142.538262,143.038559,1.00703215,0.350992
8.050292,143.143233,143.635942,1.00689600,0.344207
8.162509,143.746802,144.231913,1.00676091,0.337476
8.276289,144.348903,144.826408,1.00662693,0.330800
8.391656,144.949469,145.419368,1.00649413,0.324181
8.508632,145.548433,146.010730,1.00636256,0.317624
8.627237,146.145730,146.600432,1.00623227,0.311129
8.747496,146.741289,147.188412,1.00610330,0.304701
8.869432,147.335045,147.774607,1.00597573,0.298341
8.993067,147.926929,148.358955,1.00584959,0.292053
9.118425,148.516872,148.941392,1.00572495,0.285839
9.245531,149.104806,149.521855,1.00560185,0.279701
9.374409,149.690662,150.100280,1.00548035,0.273643
9.505083,150.274370,150.676605,1.00536050,0.267667
9.637579,150.855862,151.250764,1.00524235,0.261775
9.771921,151.435066,151.822694,1.00512594,0.255969
9.908137,152.011915,152.392330,1.00501134,0.250254
10.046251,152.586337,152.959608,1.00489858,0.244630
10.186290,153.158263,153.524464,1.00478771,0.239100
10.328281,153.727622,154.086831,1.00467878,0.233666
10.472252,154.294345,154.646646,1.00457183,0.228331
10.618229,154.858359,155.203843,1.00446691,0.223097
10.766242,155.419596,155.758357,1.00436406,0.217965
10.916317,155.977985,156.310123,1.00426331,0.212939
11.068485,156.533455,156.859074,1.00416471,0.208019
11.222774,157.085935,157.405146,1.00406828,0.203207
11.379213,157.635356,157.948272,1.00397406,0.198506
11.537833,158.181646,158.488386,1.00388209,0.193917
11.698664,158.724735,159.025423,1.00379239,0.189440
11.861737,159.264553,159.559316,1.00370498,0.185078
12.027083,159.801030,160.090000,1.00361990,0.180831
12.194734,160.334095,160.617408,1.00353715,0.176701
12.364722,160.863680,161.141473,1.00345675,0.172689
12.537080,161.389713,161.662130,1.00337873,0.168794
12.711840,161.912126,162.179311,1.00330309,0.165018
12.889036,162.430850,162.692950,1.00322983,0.161361
13.068702,162.945815,163.202981,1.00315896,0.157823
13.250873,163.456952,163.709337,1.00309048,0.154405
13.435583,163.964194,164.211951,1.00302438,0.151105
13.622868,164.467471,164.710757,1.00296065,0.147923
13.812763,164.966717,165.205687,1.00289928,0.144859
14.005305,165.461864,165.696675,1.00284026,0.141912
14.200532,165.952845,166.183654,1.00278356,0.139081
14.398480,166.439593,166.666557,1.00272915,0.136364
14.599187,166.922042,167.145318,1.00267699,0.133760
14.802691,167.400127,167.619869,1.00262707,0.131267
15.009033,167.873782,168.090144,1.00257933,0.128883
15.218251,168.342943,168.556075,1.00253372,0.126606
15.430385,168.807546,169.017597,1.00249020,0.124432
15.645476,169.267526,169.474642,1.00244870,0.122360
15.863565,169.722821,169.927144,1.00240917,0.120386
16.084695,170.173369,170.375036,1.00237154,0.118507
16.308907,170.619107,170.818252,1.00233573,0.116719
16.536244,171.059976,171.256725,1.00230168,0.115018
16.766750,171.495913,171.690389,1.00226928,0.113400
17.000470,171.926860,172.119179,1.00223847,0.111861
17.237447,172.352757,172.543027,1.00220914,0.110396
17.477728,172.773547,172.961870,1.00218119,0.109000
17.721358,173.189170,173.375640,1.00215453,0.107668
17.968384,173.599572,173.784274,1.00212904,0.106395
18.218853,174.004696,174.187706,1.00210462,0.105175
18.472814,174.404486,174.585871,1.00208114,0.104003
18.730315,174.798888,174.978707,1.00205849,0.102872
18.991406,175.187850,175.366148,1.00203655,0.101776
19.256136,175.571317,175.748132,1.00201518,0.100708
19.524556,175.949240,176.124596,1.00199426,0.099663
19.796718,176.321566,176.495478,1.00197364,0.098634
20.072673,176.688246,176.860717,1.00195321,0.097613
20.352475,177.049232,177.220251,1.00193282,0.096594
20.636178,177.404474,177.574021,1.00191232,0.095570
20.923835,177.753928,177.921967,1.00189159,0.094535
21.215502,178.097545,178.264031,1.00187048,0.093480
21.511234,178.435282,178.600156,1.00184885,0.092400
21.811089,178.767095,178.930285,1.00182656,0.091286
22.115124,179.092941,179.254363,1.00180347,0.090133
22.423397,179.412778,179.572336,1.00177946,0.088933
22.735967,179.726566,179.884151,1.00175438,0.087680
23.052894,180.034264,180.189756,1.00172811,0.086368
23.374239,180.335835,180.489102,1.00170052,0.084990
23.700063,180.631241,180.782140,1.00167150,0.083540
24.030429,180.920446,181.068824,1.00164092,0.082013
24.365400,181.203415,181.349107,1.00160870,0.080403
24.705041,181.480113,181.622947,1.00157471,0.078705
25.049415,181.750509,181.890302,1.00153889,0.076915
25.398591,182.014571,182.151133,1.00150113,0.075029
25.752633,182.272267,182.405403,1.00146138,0.073043
26.111611,182.523569,182.653076,1.00141958,0.070954
26.475593,182.768449,182.894120,1.00137567,0.068760
26.844648,183.006881,183.128504,1.00132961,0.066459
27.218848,183.238837,183.356200,1.00128140,0.064049
27.598264,183.464295,183.577183,1.00123101,0.061532
27.982969,183.683230,183.791430,1.00117846,0.058905
28.373036,183.895622,183.998920,1.00112376,0.056172
28.768541,184.101448,184.199636,1.00106696,0.053334
29.169559,184.300691,184.393564,1.00100810,0.050392
29.576167,184.493331,184.580691,1.00094726,0.047352
29.988442,184.679351,184.761009,1.00088452,0.044216
30.406465,184.858736,184.934512,1.00081999,0.040991
30.830315,185.031472,185.101196,1.00075379,0.037682
31.260072,185.197545,185.261062,1.00068606,0.034297
31.695821,185.356942,185.414111,1.00061695,0.030843
32.137643,185.509654,185.560350,1.00054663,0.027328
32.585625,185.655671,185.699787,1.00047530,0.023762
33.039851,185.794984,185.832432,1.00040316,0.020156
33.500408,185.927586,185.958300,1.00033041,0.016519
33.967386,186.053473,186.077407,1.00025731,0.012865
34.440873,186.172638,186.189772,1.00018408,0.009204
34.920960,186.285079,186.295417,1.00011099,0.005549
35.407739,186.390794,186.394363,1.00003830,0.001915
35.901304,186.489782,186.486638,0.99996628,-0.001686
36.401748,186.582043,186.572268,0.99989522,-0.005239
36.909169,186.667578,186.651282,0.99982540,-0.008730
37.423663,186.746392,186.723711,0.99975711,-0.012145
37.945328,186.818487,186.789586,0.99969062,-0.015470
38.474266,186.883868,186.848940,0.99962624,-0.018690
39.010576,186.942543,186.901806,0.99956423,-0.021791
39.554362,186.994518,186.948218,0.99950487,-0.024760
40.105729,187.039802,186.988211,0.99944842,-0.027583
40.664781,187.078405,187.021818,0.99939513,-0.030248
41.231626,187.110339,187.049072,0.99934523,-0.032744
41.806372,187.135615,187.070008,0.99929895,-0.035059
42.389131,187.154246,187.084656,0.99925648,-0.037183
42.980012,187.166247,187.093049,0.99921798,-0.039108
43.579130,187.171633,187.095216,0.99918362,-0.040828
44.186600,187.170422,187.091185,0.99915350,-0.042334
44.802537,187.162629,187.080982,0.99912771,-0.043624
45.427060,187.148276,187.064632,0.99910632,-0.044694
46.060288,187.127380,187.042157,0.99908935,-0.045543
46.702344,187.099963,187.013576,0.99907679,-0.046171
47.353349,187.066046,186.978909,0.99906859,-0.046581
48.013429,187.025654,186.938169,0.99906468,-0.046777
48.682710,186.978808,186.891369,0.99906494,-0.046764
49.361321,186.925535,186.838521,0.99906921,-0.046550
50.049391,186.865860,186.779632,0.99907733,-0.046144
50.747052,186.799810,186.714708,0.99908905,-0.045558
51.454439,186.727412,186.643754,0.99910415,-0.044802
52.171686,186.648696,186.566771,0.99912234,-0.043893
52.898931,186.563690,186.483760,0.99914332,-0.042843
53.636313,186.472425,186.394722,0.99916677,-0.041670
54.383974,186.374933,186.299654,0.99919235,-0.040391
55.142057,186.271245,186.198556,0.99921969,-0.039023
55.910708,186.161395,186.091426,0.99924844,-0.037585
56.690073,186.045417,185.978263,0.99927822,-0.036095
57.480302,185.923344,185.859066,0.99930868,-0.034572
58.281546,185.795213,185.733838,0.99933943,-0.033034
59.093959,185.661060,185.602581,0.99937014,-0.031498
59.917697,185.520922,185.465300,0.99940047,-0.029981
60.752917,185.374835,185.322005,0.99943010,-0.028499
61.599780,185.222840,185.172707,0.99945875,-0.027066
62.458447,185.064975,185.017422,0.99948616,-0.025695
63.329084,184.901280,184.856169,0.99951211,-0.024397
64.211857,184.731795,184.688972,0.99953643,-0.023181
65.106936,184.556561,184.515858,0.99955896,-0.022054
66.014491,184.375621,184.336862,0.99957961,-0.021022
66.934697,184.189017,184.152021,0.99959833,-0.020085
67.867731,183.996791,183.961378,0.99961511,-0.019246
68.813770,183.798987,183.764978,0.99962997,-0.018503
69.772996,183.595650,183.562875,0.99964300,-0.017852
70.745594,183.386824,183.355123,0.99965430,-0.017286
71.731749,183.172554,183.141781,0.99966403,-0.016800
72.731651,182.952886,182.922913,0.99967237,-0.016383
73.745491,182.727866,182.698583,0.99967951,-0.016026
74.773463,182.497542,182.468858,0.99968568,-0.015717
75.815765,182.261959,182.233808,0.99969112,-0.015445
76.872595,182.021167,181.993503,0.99969606,-0.015198
77.944158,181.775212,181.748011,0.99970074,-0.014964
79.030657,181.524143,181.497402,0.99970539,-0.014731
80.132301,181.268009,181.241744,0.99971023,-0.014489
81.249302,181.006859,180.981104,0.99971544,-0.014229
82.381873,180.740743,180.715545,0.99972120,-0.013941
83.530232,180.469710,180.445130,0.99972762,-0.013620
84.694598,180.193811,180.169916,0.99973480,-0.013261
85.875195,179.913096,179.889959,0.99974281,-0.012861
87.072248,179.627617,179.605310,0.99975165,-0.012418
88.285988,179.337423,179.316019,0.99976131,-0.011935
89.516647,179.042567,179.022131,0.99977173,-0.011414
90.764461,178.743100,178.723688,0.99978281,-0.010860
92.029668,178.439073,178.420732,0.99979444,-0.010279
93.312512,178.130539,178.113300,0.99980646,-0.009678
94.613238,177.817550,177.801431,0.99981871,-0.009065
95.932095,177.500158,177.485160,0.99983102,-0.008450
97.269336,177.178416,177.164525,0.99984321,-0.007840
98.625218,176.852376,176.839563,0.99985510,-0.007245
100.000000,176.522091,176.510312,0.99986655,-0.006673
