phi,l_grav,l_avt,action
0.2200,-1.053816,-0.749379,-1.803195
0.2210,-1.056341,-0.739741,-1.796082
0.2220,-1.058855,-0.730165,-1.789020
0.2230,-1.061358,-0.720651,-1.782009
0.2240,-1.063848,-0.711200,-1.775049
0.2250,-1.066328,-0.701812,-1.768139
0.2260,-1.068795,-0.692485,-1.761281
0.2270,-1.071252,-0.683221,-1.754473
0.2280,-1.073697,-0.674020,-1.747717
0.2290,-1.076130,-0.664881,-1.741011
0.2300,-1.078553,-0.655804,-1.734357
0.2310,-1.080964,-0.646789,-1.727753
0.2320,-1.083363,-0.637838,-1.721201
0.2330,-1.085752,-0.628948,-1.714700
0.2340,-1.088129,-0.620121,-1.708250
0.2350,-1.090495,-0.611356,-1.701851
0.2360,-1.092850,-0.602653,-1.695504
0.2370,-1.095194,-0.594013,-1.689208
0.2380,-1.097527,-0.585436,-1.682963
0.2390,-1.099849,-0.576920,-1.676769
0.2400,-1.102160,-0.568467,-1.670627
0.2410,-1.104460,-0.560077,-1.664537
0.2420,-1.106749,-0.551749,-1.658497
0.2430,-1.109027,-0.543483,-1.652510
0.2440,-1.111294,-0.535279,-1.646573
0.2450,-1.113550,-0.527138,-1.640689
0.2460,-1.115796,-0.519060,-1.634856
0.2470,-1.118030,-0.511044,-1.629074
0.2480,-1.120254,-0.503090,-1.623344
0.2490,-1.122468,-0.495198,-1.617666
0.2500,-1.124670,-0.487369,-1.612039
0.2510,-1.126862,-0.479602,-1.606465
0.2520,-1.129043,-0.471898,-1.600942
0.2530,-1.131214,-0.464256,-1.595470
0.2540,-1.133374,-0.456677,-1.590051
0.2550,-1.135524,-0.449159,-1.584683
0.2560,-1.137663,-0.441705,-1.579367
0.2570,-1.139791,-0.434312,-1.574103
0.2580,-1.141909,-0.426982,-1.568891
0.2590,-1.144017,-0.419714,-1.563731
0.2600,-1.146114,-0.412509,-1.558623
0.2610,-1.148201,-0.405366,-1.553567
0.2620,-1.150277,-0.398286,-1.548563
0.2630,-1.152343,-0.391268,-1.543611
0.2640,-1.154399,-0.384312,-1.538711
0.2650,-1.156444,-0.377419,-1.533863
0.2660,-1.158479,-0.370588,-1.529067
0.2670,-1.160504,-0.363819,-1.524323
0.2680,-1.162519,-0.357113,-1.519632
0.2690,-1.164523,-0.350469,-1.514992
0.2700,-1.166518,-0.343888,-1.510405
0.2710,-1.168502,-0.337369,-1.505870
0.2720,-1.170476,-0.330912,-1.501388
0.2730,-1.172440,-0.324518,-1.496958
0.2740,-1.174394,-0.318186,-1.492579
0.2750,-1.176338,-0.311916,-1.488254
0.2760,-1.178271,-0.305709,-1.483980
0.2770,-1.180195,-0.299564,-1.479759
0.2780,-1.182109,-0.293482,-1.475591
0.2790,-1.184013,-0.287462,-1.471475
0.2800,-1.185907,-0.281504,-1.467411
0.2810,-1.187791,-0.275609,-1.463400
0.2820,-1.189665,-0.269776,-1.459441
0.2830,-1.191529,-0.264006,-1.455535
0.2840,-1.193383,-0.258298,-1.451681
0.2850,-1.195228,-0.252652,-1.447880
0.2860,-1.197062,-0.247069,-1.444131
0.2870,-1.198887,-0.241548,-1.440435
0.2880,-1.200702,-0.236089,-1.436792
0.2890,-1.202508,-0.230693,-1.433201
0.2900,-1.204303,-0.225359,-1.429663
0.2910,-1.206089,-0.220088,-1.426177
0.2920,-1.207866,-0.214879,-1.422745
0.2930,-1.209632,-0.209732,-1.419365
0.2940,-1.211389,-0.204648,-1.416037
0.2950,-1.213136,-0.199626,-1.412763
0.2960,-1.214874,-0.194667,-1.409541
0.2970,-1.216602,-0.189770,-1.406372
0.2980,-1.218320,-0.184935,-1.403255
0.2990,-1.220029,-0.180163,-1.400192
0.3000,-1.221729,-0.175453,-1.397181
0.3010,-1.223418,-0.170805,-1.394224
0.3020,-1.225099,-0.166220,-1.391319
0.3030,-1.226770,-0.161697,-1.388467
0.3040,-1.228431,-0.157237,-1.385668
0.3050,-1.230083,-0.152839,-1.382922
0.3060,-1.231725,-0.148503,-1.380229
0.3070,-1.233358,-0.144230,-1.377589
0.3080,-1.234982,-0.140019,-1.375001
0.3090,-1.236596,-0.135871,-1.372467
0.3100,-1.238201,-0.131785,-1.369986
0.3110,-1.239797,-0.127761,-1.367558
0.3120,-1.241383,-0.123800,-1.365183
0.3130,-1.242960,-0.119901,-1.362861
0.3140,-1.244528,-0.116064,-1.360592
0.3150,-1.246086,-0.112290,-1.358376
0.3160,-1.247635,-0.108578,-1.356213
0.3170,-1.249175,-0.104929,-1.354103
0.3180,-1.250705,-0.101342,-1.352047
0.3190,-1.252227,-0.097817,-1.350044
0.3200,-1.253739,-0.094355,-1.348094
0.3210,-1.255242,-0.090955,-1.346197
0.3220,-1.256736,-0.087617,-1.344353
0.3230,-1.258220,-0.084342,-1.342562
0.3240,-1.259696,-0.081129,-1.340825
0.3250,-1.261162,-0.077979,-1.339141
0.3260,-1.262619,-0.074891,-1.337510
0.3270,-1.264067,-0.071865,-1.335933
0.3280,-1.265506,-0.068902,-1.334409
0.3290,-1.266936,-0.066001,-1.332938
0.3300,-1.268357,-0.063163,-1.331520
0.3310,-1.269769,-0.060387,-1.330156
0.3320,-1.271172,-0.057673,-1.328845
0.3330,-1.272566,-0.055022,-1.327588
0.3340,-1.273951,-0.052433,-1.326384
0.3350,-1.275326,-0.049907,-1.325233
0.3360,-1.276693,-0.047442,-1.324136
0.3370,-1.278051,-0.045041,-1.323092
0.3380,-1.279400,-0.042701,-1.322101
0.3390,-1.280740,-0.040424,-1.321164
0.3400,-1.282071,-0.038210,-1.320281
0.3410,-1.283393,-0.036058,-1.319451
0.3420,-1.284706,-0.033968,-1.318674
0.3430,-1.286011,-0.031940,-1.317951
0.3440,-1.287306,-0.029975,-1.317281
0.3450,-1.288593,-0.028072,-1.316665
0.3460,-1.289871,-0.026232,-1.316103
0.3470,-1.291139,-0.024454,-1.315594
0.3480,-1.292400,-0.022739,-1.315138
0.3490,-1.293651,-0.021086,-1.314736
0.3500,-1.294893,-0.019495,-1.314388
0.3510,-1.296127,-0.017966,-1.314093
0.3520,-1.297352,-0.016500,-1.313852
0.3530,-1.298568,-0.015097,-1.313665
0.3540,-1.299775,-0.013756,-1.313531
0.3550,-1.300974,-0.012477,-1.313451
0.3560,-1.302164,-0.011260,-1.313424
0.3570,-1.303345,-0.010106,-1.313451
0.3580,-1.304518,-0.009014,-1.313532
0.3590,-1.305681,-0.007985,-1.313666
0.3600,-1.306836,-0.007018,-1.313855
0.3610,-1.307983,-0.006114,-1.314096
0.3620,-1.309120,-0.005271,-1.314392
0.3630,-1.310250,-0.004492,-1.314741
0.3640,-1.311370,-0.003774,-1.315144
0.3650,-1.312482,-0.003119,-1.315601
0.3660,-1.313585,-0.002527,-1.316111
0.3670,-1.314679,-0.001996,-1.316676
0.3680,-1.315765,-0.001528,-1.317294
0.3690,-1.316843,-0.001123,-1.317966
0.3700,-1.317911,-0.000780,-1.318691
0.3710,-1.318972,-0.000499,-1.319471
0.3720,-1.320023,-0.000281,-1.320304
0.3730,-1.321066,-0.000125,-1.321191
0.3740,-1.322101,-0.000031,-1.322132
0.3750,-1.323126,-0.000000,-1.323126
0.3760,-1.324144,-0.000031,-1.324175
0.3770,-1.325153,-0.000125,-1.325277
0.3780,-1.326153,-0.000281,-1.326434
0.3790,-1.327145,-0.000499,-1.327644
0.3800,-1.328128,-0.000780,-1.328908
0.3810,-1.329103,-0.001123,-1.330226
0.3820,-1.330069,-0.001528,-1.331598
0.3830,-1.331027,-0.001996,-1.333024
0.3840,-1.331977,-0.002527,-1.334503
0.3850,-1.332918,-0.003119,-1.336037
0.3860,-1.333850,-0.003774,-1.337625
0.3870,-1.334774,-0.004492,-1.339266
0.3880,-1.335690,-0.005271,-1.340961
0.3890,-1.336597,-0.006114,-1.342711
0.3900,-1.337496,-0.007018,-1.344514
0.3910,-1.338387,-0.007985,-1.346372
0.3920,-1.339269,-0.009014,-1.348283
0.3930,-1.340142,-0.010106,-1.350248
0.3940,-1.341007,-0.011260,-1.352268
0.3950,-1.341864,-0.012477,-1.354341
0.3960,-1.342713,-0.013756,-1.356468
0.3970,-1.343553,-0.015097,-1.358650
0.3980,-1.344385,-0.016500,-1.360885
0.3990,-1.345208,-0.017966,-1.363175
0.4000,-1.346023,-0.019495,-1.365518
0.4010,-1.346830,-0.021086,-1.367916
0.4020,-1.347629,-0.022739,-1.370367
0.4030,-1.348419,-0.024454,-1.372873
0.4040,-1.349200,-0.026232,-1.375433
0.4050,-1.349974,-0.028072,-1.378046
0.4060,-1.350739,-0.029975,-1.380714
0.4070,-1.351496,-0.031940,-1.383436
0.4080,-1.352245,-0.033968,-1.386212
0.4090,-1.352985,-0.036058,-1.389043
0.4100,-1.353717,-0.038210,-1.391927
0.4110,-1.354441,-0.040424,-1.394865
0.4120,-1.355156,-0.042701,-1.397858
0.4130,-1.355864,-0.045041,-1.400904
0.4140,-1.356563,-0.047442,-1.404005
0.4150,-1.357254,-0.049907,-1.407160
0.4160,-1.357936,-0.052433,-1.410369
0.4170,-1.358610,-0.055022,-1.413632
0.4180,-1.359276,-0.057673,-1.416950
0.4190,-1.359934,-0.060387,-1.420321
0.4200,-1.360584,-0.063163,-1.423747
0.4210,-1.361225,-0.066001,-1.427227
0.4220,-1.361859,-0.068902,-1.430761
0.4230,-1.362484,-0.071865,-1.434349
0.4240,-1.363101,-0.074891,-1.437992
0.4250,-1.363709,-0.077979,-1.441688
0.4260,-1.364310,-0.081129,-1.445439
0.4270,-1.364902,-0.084342,-1.449244
0.4280,-1.365486,-0.087617,-1.453103
0.4290,-1.366062,-0.090955,-1.457017
0.4300,-1.366630,-0.094355,-1.460984
0.4310,-1.367189,-0.097817,-1.465006
0.4320,-1.367741,-0.101342,-1.469083
0.4330,-1.368284,-0.104929,-1.473213
0.4340,-1.368819,-0.108578,-1.477397
0.4350,-1.369346,-0.112290,-1.481636
0.4360,-1.369865,-0.116064,-1.485929
0.4370,-1.370376,-0.119901,-1.490277
0.4380,-1.370879,-0.123800,-1.494678
0.4390,-1.371373,-0.127761,-1.499134
0.4400,-1.371860,-0.131785,-1.503644
0.4410,-1.372338,-0.135871,-1.508209
0.4420,-1.372808,-0.140019,-1.512827
0.4430,-1.373270,-0.144230,-1.517500
0.4440,-1.373724,-0.148503,-1.522227
0.4450,-1.374170,-0.152839,-1.527009
0.4460,-1.374608,-0.157237,-1.531845
0.4470,-1.375037,-0.161697,-1.536735
0.4480,-1.375459,-0.166220,-1.541679
0.4490,-1.375872,-0.170805,-1.546678
0.4500,-1.376278,-0.175453,-1.551731
0.4510,-1.376675,-0.180163,-1.556838
0.4520,-1.377064,-0.184935,-1.561999
0.4530,-1.377445,-0.189770,-1.567215
0.4540,-1.377818,-0.194667,-1.572485
0.4550,-1.378183,-0.199626,-1.577810
0.4560,-1.378540,-0.204648,-1.583189
0.4570,-1.378889,-0.209732,-1.588622
0.4580,-1.379230,-0.214879,-1.594109
0.4590,-1.379563,-0.220088,-1.599651
0.4600,-1.379888,-0.225359,-1.605247
0.4610,-1.380204,-0.230693,-1.610897
0.4620,-1.380513,-0.236089,-1.616602
0.4630,-1.380813,-0.241548,-1.622361
0.4640,-1.381106,-0.247069,-1.628175
0.4650,-1.381390,-0.252652,-1.634042
0.4660,-1.381667,-0.258298,-1.639965
0.4670,-1.381935,-0.264006,-1.645941
0.4680,-1.382196,-0.269776,-1.651972
0.4690,-1.382448,-0.275609,-1.658057
0.4700,-1.382692,-0.281504,-1.664197
0.4710,-1.382928,-0.287462,-1.670390
0.4720,-1.383157,-0.293482,-1.676639
0.4730,-1.383377,-0.299564,-1.682941
0.4740,-1.383589,-0.305709,-1.689298
0.4750,-1.383793,-0.311916,-1.695710
0.4760,-1.383989,-0.318186,-1.702175
0.4770,-1.384178,-0.324518,-1.708695
0.4780,-1.384358,-0.330912,-1.715270
0.4790,-1.384530,-0.337369,-1.721898
0.4800,-1.384694,-0.343888,-1.728582
0.4810,-1.384850,-0.350469,-1.735319
0.4820,-1.384998,-0.357113,-1.742111
0.4830,-1.385138,-0.363819,-1.748957
0.4840,-1.385270,-0.370588,-1.755858
0.4850,-1.385394,-0.377419,-1.762813
0.4860,-1.385510,-0.384312,-1.769822
0.4870,-1.385618,-0.391268,-1.776886
0.4880,-1.385718,-0.398286,-1.784004
0.4890,-1.385810,-0.405366,-1.791177
0.4900,-1.385894,-0.412509,-1.798404
0.4910,-1.385970,-0.419714,-1.805685
0.4920,-1.386038,-0.426982,-1.813020
0.4930,-1.386098,-0.434312,-1.820411
0.4940,-1.386150,-0.441705,-1.827855
0.4950,-1.386194,-0.449159,-1.835354
0.4960,-1.386230,-0.456677,-1.842907
0.4970,-1.386258,-0.464256,-1.850514
0.4980,-1.386278,-0.471898,-1.858176
0.4990,-1.386290,-0.479602,-1.865893
0.5000,-1.386294,-0.487369,-1.873663
0.5010,-1.386290,-0.495198,-1.881489
0.5020,-1.386278,-0.503090,-1.889368
0.5030,-1.386258,-0.511044,-1.897302
0.5040,-1.386230,-0.519060,-1.905290
0.5050,-1.386194,-0.527138,-1.913333
0.5060,-1.386150,-0.535279,-1.921430
0.5070,-1.386098,-0.543483,-1.929581
0.5080,-1.386038,-0.551749,-1.937787
0.5090,-1.385970,-0.560077,-1.946047
0.5100,-1.385894,-0.568467,-1.954362
0.5110,-1.385810,-0.576920,-1.962731
0.5120,-1.385718,-0.585436,-1.971154
0.5130,-1.385618,-0.594013,-1.979632
0.5140,-1.385510,-0.602653,-1.988164
0.5150,-1.385394,-0.611356,-1.996750
0.5160,-1.385270,-0.620121,-2.005391
0.5170,-1.385138,-0.628948,-2.014086
0.5180,-1.384998,-0.637838,-2.022836
0.5190,-1.384850,-0.646789,-2.031640
0.5200,-1.384694,-0.655804,-2.040498
0.5210,-1.384530,-0.664881,-2.049410
0.5220,-1.384358,-0.674020,-2.058378
0.5230,-1.384178,-0.683221,-2.067399
0.5240,-1.383989,-0.692485,-2.076475
0.5250,-1.383793,-0.701812,-2.085605
0.5260,-1.383589,-0.711200,-2.094789
0.5270,-1.383377,-0.720651,-2.104028
0.5280,-1.383157,-0.730165,-2.113321
0.5290,-1.382928,-0.739741,-2.122669
0.5300,-1.382692,-0.749379,-2.132071
0.5310,-1.382448,-0.759079,-2.141527
0.5320,-1.382196,-0.768842,-2.151038
0.5330,-1.381935,-0.778668,-2.160603
0.5340,-1.381667,-0.788555,-2.170222
0.5350,-1.381390,-0.798506,-2.179896
0.5360,-1.381106,-0.808518,-2.189624
0.5370,-1.380813,-0.818593,-2.199406
0.5380,-1.380513,-0.828730,-2.209243
0.5390,-1.380204,-0.838930,-2.219134
0.5400,-1.379888,-0.849192,-2.229079
0.5410,-1.379563,-0.859516,-2.239079
0.5420,-1.379230,-0.869903,-2.249133
0.5430,-1.378889,-0.880352,-2.259242
0.5440,-1.378540,-0.890864,-2.269404
0.5450,-1.378183,-0.901438,-2.279621
0.5460,-1.377818,-0.912074,-2.289893
0.5470,-1.377445,-0.922773,-2.300218
0.5480,-1.377064,-0.933534,-2.310598
0.5490,-1.376675,-0.944358,-2.321033
0.5500,-1.376278,-0.955243,-2.331521
0.5510,-1.375872,-0.966192,-2.342064
0.5520,-1.375459,-0.977202,-2.352661
0.5530,-1.375037,-0.988275,-2.363313
0.5540,-1.374608,-0.999411,-2.374018
0.5550,-1.374170,-1.010609,-2.384778
0.5560,-1.373724,-1.021869,-2.395593
0.5570,-1.373270,-1.033191,-2.406461
0.5580,-1.372808,-1.044576,-2.417384
0.5590,-1.372338,-1.056024,-2.428361
0.5600,-1.371860,-1.067533,-2.439393
0.5610,-1.371373,-1.079105,-2.450479
0.5620,-1.370879,-1.090740,-2.461619
0.5630,-1.370376,-1.102437,-2.472813
0.5640,-1.369865,-1.114196,-2.484061
0.5650,-1.369346,-1.126018,-2.495364
0.5660,-1.368819,-1.137902,-2.506721
0.5670,-1.368284,-1.149848,-2.518132
0.5680,-1.367741,-1.161857,-2.529598
0.5690,-1.367189,-1.173928,-2.541117
0.5700,-1.366630,-1.186061,-2.552691
0.5710,-1.366062,-1.198257,-2.564319
0.5720,-1.365486,-1.210516,-2.576002
0.5730,-1.364902,-1.222836,-2.587738
0.5740,-1.364310,-1.235219,-2.599529
0.5750,-1.363709,-1.247665,-2.611374
0.5760,-1.363101,-1.260173,-2.623273
0.5770,-1.362484,-1.272743,-2.635227
0.5780,-1.361859,-1.285376,-2.647234
0.5790,-1.361225,-1.298071,-2.659296
0.5800,-1.360584,-1.310828,-2.671412
0.5810,-1.359934,-1.323648,-2.683582
0.5820,-1.359276,-1.336530,-2.695806
0.5830,-1.358610,-1.349474,-2.708085
0.5840,-1.357936,-1.362481,-2.720417
0.5850,-1.357254,-1.375551,-2.732804
0.5860,-1.356563,-1.388682,-2.745245
0.5870,-1.355864,-1.401876,-2.757740
0.5880,-1.355156,-1.415133,-2.770289
0.5890,-1.354441,-1.428452,-2.782892
0.5900,-1.353717,-1.441833,-2.795550
0.5910,-1.352985,-1.455276,-2.808261
0.5920,-1.352245,-1.468782,-2.821027
0.5930,-1.351496,-1.482351,-2.833847
0.5940,-1.350739,-1.495981,-2.846721
0.5950,-1.349974,-1.509675,-2.859649
0.5960,-1.349200,-1.523430,-2.872631
0.5970,-1.348419,-1.537248,-2.885667
0.5980,-1.347629,-1.551128,-2.898757
0.5990,-1.346830,-1.565071,-2.911901
0.6000,-1.346023,-1.579076,-2.925099
0.6010,-1.345208,-1.593143,-2.938352
0.6020,-1.344385,-1.607273,-2.951658
0.6030,-1.343553,-1.621465,-2.965018
0.6040,-1.342713,-1.635720,-2.978433
0.6050,-1.341864,-1.650037,-2.991901
0.6060,-1.341007,-1.664416,-3.005424
