radius_x,v_nfw,v_zd_sedenion,v_zd_pathion,v_total_16d,v_total_32d
0.2150,57.5295,0.0000,0.0000,57.5295,57.5295
0.2200,58.0329,0.0000,0.0000,58.0329,58.0329
0.2250,58.5262,0.0000,0.0000,58.5262,58.5262
0.2300,59.0097,0.0000,0.0000,59.0097,59.0097
0.2350,59.4837,0.0000,0.0000,59.4837,59.4837
0.2400,59.9486,0.0000,0.0000,59.9486,59.9486
0.2450,60.4046,0.0000,0.0000,60.4046,60.4046
0.2500,60.8520,0.0000,0.0000,60.8520,60.8520
0.2550,61.2911,0.0000,0.0000,61.2911,61.2911
0.2600,61.7221,0.0000,0.0000,61.7221,61.7221
0.2650,62.1452,0.0000,0.0000,62.1452,62.1452
0.2700,62.5608,0.0000,0.0000,62.5608,62.5608
0.2750,62.9689,0.0000,0.0000,62.9689,62.9689
0.2800,63.3698,0.0000,0.0000,63.3698,63.3698
0.2850,63.7636,0.0000,0.0000,63.7636,63.7636
0.2900,64.1507,0.0000,0.0000,64.1507,64.1507
0.2950,64.5311,0.0000,0.0000,64.5311,64.5311
0.3000,64.9051,0.0000,0.0000,64.9051,64.9051
0.3050,65.2728,0.0000,0.0000,65.2728,65.2728
0.3100,65.6343,0.0000,0.0000,65.6343,65.6343
0.3150,65.9898,0.0000,0.0000,65.9898,65.9898
0.3200,66.3396,0.0000,0.0000,66.3396,66.3396
0.3250,66.6836,0.0000,0.0000,66.6836,66.6836
0.3300,67.0221,0.0000,0.0000,67.0221,67.0221
0.3350,67.3551,0.0000,0.0000,67.3551,67.3551
0.3400,67.6829,0.0000,0.0000,67.6829,67.6829
0.3450,68.0055,0.0000,0.0000,68.0055,68.0055
0.3500,68.3230,0.0000,0.0000,68.3230,68.3230
0.3550,68.6357,0.0000,0.0000,68.6357,68.6357
0.3600,68.9435,0.0000,0.0000,68.9435,68.9435
0.3650,69.2466,0.0000,0.0000,69.2466,69.2466
0.3700,69.5450,0.0000,0.0000,69.5450,69.5450
0.3750,69.8390,0.0000,0.0000,69.8390,69.8390
0.3800,70.1286,0.0000,0.0000,70.1286,70.1286
0.3850,70.4138,0.0000,0.0000,70.4138,70.4138
0.3900,70.6949,0.0000,0.0000,70.6949,70.6949
0.3950,70.9718,0.0000,0.0000,70.9718,70.9718
0.4000,71.2446,0.0000,0.0000,71.2446,71.2446
0.4050,71.5135,0.0000,0.0000,71.5135,71.5135
0.4100,71.7785,0.0000,0.0000,71.7785,71.7785
0.4150,72.0397,0.0000,0.0000,72.0397,72.0397
0.4200,72.2972,0.0000,0.0000,72.2972,72.2972
0.4250,72.5510,0.0000,0.0000,72.5510,72.5510
0.4300,72.8012,0.0000,0.0000,72.8012,72.8012
0.4350,73.0479,0.0000,0.0000,73.0479,73.0479
0.4400,73.2912,0.0000,0.0000,73.2912,73.2912
0.4450,73.5311,0.0000,0.0000,73.5311,73.5311
0.4500,73.7676,0.0000,0.0000,73.7676,73.7676
0.4550,74.0010,0.0000,0.0000,74.0010,74.0010
0.4600,74.2311,0.0000,0.0000,74.2311,74.2311
0.4650,74.4581,0.0000,0.0000,74.4581,74.4581
0.4700,74.6820,0.0000,0.0000,74.6820,74.6820
0.4750,74.9029,0.0000,0.0000,74.9029,74.9029
0.4800,75.1209,0.0000,0.0000,75.1209,75.1209
0.4850,75.3359,0.0000,0.0000,75.3359,75.3359
0.4900,75.5481,0.0000,0.0000,75.5481,75.5481
0.4950,75.7575,0.0000,0.0000,75.7575,75.7575
0.5000,75.9641,0.0000,0.0000,75.9641,75.9641
0.5050,76.1680,0.0000,0.0000,76.1680,76.1680
0.5100,76.3692,0.0000,0.0000,76.3692,76.3692
0.5150,76.5679,0.0000,0.0000,76.5679,76.5679
0.5200,76.7639,0.0000,0.0000,76.7639,76.7639
0.5250,76.9574,0.0000,0.0000,76.9574,76.9574
0.5300,77.1485,0.0000,0.0000,77.1485,77.1485
0.5350,77.3371,0.0000,0.0000,77.3371,77.3371
0.5400,77.5233,0.0000,0.0000,77.5233,77.5233
0.5450,77.7071,0.0000,0.0000,77.7071,77.7071
0.5500,77.8886,0.0000,0.0000,77.8886,77.8886
0.5550,78.0678,0.0000,0.0000,78.0678,78.0678
0.5600,78.2448,0.0000,0.0000,78.2448,78.2448
0.5650,78.4195,0.0000,0.0000,78.4195,78.4195
0.5700,78.5921,0.0000,0.0000,78.5921,78.5921
0.5750,78.7626,0.0000,0.0000,78.7626,78.7626
0.5800,78.9309,0.0000,0.0000,78.9309,78.9309
0.5850,79.0971,0.0000,0.0000,79.0971,79.0971
0.5900,79.2614,0.0000,0.0000,79.2614,79.2614
0.5950,79.4235,0.0000,0.0000,79.4235,79.4235
0.6000,79.5838,0.0000,0.0000,79.5838,79.5838
0.6050,79.7420,0.0000,0.0000,79.7420,79.7420
0.6100,79.8984,0.0000,0.0000,79.8984,79.8984
0.6150,80.0528,0.0000,0.0000,80.0528,80.0528
0.6200,80.2054,0.0000,0.0000,80.2054,80.2054
0.6250,80.3562,0.0000,0.0000,80.3562,80.3562
0.6300,80.5051,0.0000,0.0000,80.5051,80.5051
0.6350,80.6523,0.0000,0.0000,80.6523,80.6523
0.6400,80.7977,0.0000,0.0000,80.7977,80.7977
0.6450,80.9414,0.0000,0.0000,80.9414,80.9414
0.6500,81.0834,0.0000,0.0000,81.0834,81.0834
0.6550,81.2237,0.0000,0.0000,81.2237,81.2237
0.6600,81.3624,0.0000,0.0000,81.3624,81.3624
0.6650,81.4994,0.0000,0.0000,81.4994,81.4994
0.6700,81.6348,0.0000,0.0000,81.6348,81.6348
0.6750,81.7686,0.0000,0.0000,81.7686,81.7686
0.6800,81.9009,0.0000,0.0000,81.9009,81.9009
0.6850,82.0316,0.0000,0.0000,82.0316,82.0316
0.6900,82.1609,0.0000,0.0000,82.1609,82.1609
0.6950,82.2886,0.0000,0.0000,82.2886,82.2886
0.7000,82.4148,0.0000,0.0000,82.4148,82.4148
0.7050,82.5396,0.0000,0.0000,82.5396,82.5396
0.7100,82.6630,0.0000,0.0000,82.6630,82.6630
0.7150,82.7849,0.0000,0.0000,82.7849,82.7849
0.7200,82.9054,0.0000,0.0000,82.9054,82.9054
0.7250,83.0246,0.0000,0.0000,83.0246,83.0246
0.7300,83.1424,0.0000,0.0000,83.1424,83.1424
0.7350,83.2589,0.0000,0.0000,83.2589,83.2589
0.7400,83.3740,0.0000,0.0000,83.3740,83.3740
0.7450,83.4879,0.0000,0.0000,83.4879,83.4879
0.7500,83.6004,0.0000,0.0000,83.6004,83.6004
0.7550,83.7117,0.0000,0.0000,83.7117,83.7117
0.7600,83.8217,0.0000,0.0000,83.8217,83.8217
0.7650,83.9305,0.0000,0.0000,83.9305,83.9305
0.7700,84.0381,0.0000,0.0000,84.0381,84.0381
0.7750,84.1445,0.0000,0.0000,84.1445,84.1445
0.7800,84.2497,0.0000,0.0000,84.2497,84.2497
0.7850,84.3537,0.0000,0.0000,84.3537,84.3537
0.7900,84.4565,0.0000,0.0000,84.4565,84.4565
0.7950,84.5582,0.0000,0.0000,84.5582,84.5582
0.8000,84.6588,0.0000,0.0000,84.6588,84.6588
0.8050,84.7582,0.0000,0.0000,84.7582,84.7582
0.8100,84.8566,0.0000,0.0000,84.8566,84.8566
0.8150,84.9539,0.0000,0.0000,84.9539,84.9539
0.8200,85.0501,0.0000,0.0000,85.0501,85.0501
0.8250,85.1452,0.0000,0.0000,85.1452,85.1452
0.8300,85.2393,0.0000,0.0000,85.2393,85.2393
0.8350,85.3324,0.0000,0.0000,85.3324,85.3324
0.8400,85.4244,0.0000,0.0000,85.4244,85.4244
0.8450,85.5154,0.0000,0.0000,85.5154,85.5154
0.8500,85.6054,0.0000,0.0000,85.6054,85.6054
0.8550,85.6945,0.0000,0.0000,85.6945,85.6945
0.8600,85.7826,0.0000,0.0000,85.7826,85.7826
0.8650,85.8697,0.0000,0.0000,85.8697,85.8697
0.8700,85.9558,0.0000,0.0000,85.9558,85.9558
0.8750,86.0411,0.0000,0.0000,86.0411,86.0411
0.8800,86.1254,0.0000,0.0000,86.1254,86.1254
0.8850,86.2087,0.0000,0.0000,86.2087,86.2087
0.8900,86.2912,0.0000,0.0000,86.2912,86.2912
0.8950,86.3728,0.0000,0.0000,86.3728,86.3728
0.9000,86.4535,0.0000,0.0000,86.4535,86.4535
0.9050,86.5333,0.0000,0.0000,86.5333,86.5333
0.9100,86.6123,0.0000,0.0000,86.6123,86.6123
0.9150,86.6904,0.0000,0.0000,86.6904,86.6904
0.9200,86.7677,0.0000,0.0000,86.7677,86.7677
0.9250,86.8441,0.0000,0.0000,86.8441,86.8441
0.9300,86.9197,0.0000,0.0000,86.9197,86.9197
0.9350,86.9945,0.0000,0.0000,86.9945,86.9945
0.9400,87.0685,0.0000,0.0000,87.0685,87.0685
0.9450,87.1417,0.0000,0.0000,87.1417,87.1417
0.9500,87.2142,0.0000,0.0000,87.2142,87.2142
0.9550,87.2858,0.0000,0.0000,87.2858,87.2858
0.9600,87.3567,0.0000,0.0000,87.3567,87.3567
0.9650,87.4268,0.0000,0.0000,87.4268,87.4268
0.9700,87.4962,0.0000,0.0000,87.4962,87.4962
0.9750,87.5648,0.0000,0.0000,87.5648,87.5648
0.9800,87.6327,0.0000,0.0000,87.6327,87.6327
0.9850,87.6998,0.0000,0.0000,87.6998,87.6998
0.9900,87.7663,0.0000,0.0000,87.7663,87.7663
0.9950,87.8320,0.0000,0.0000,87.8320,87.8320
1.0000,87.8970,0.0000,0.0000,87.8970,87.8970
1.0050,87.9614,-38.9519,-55.0021,49.0094,32.9593
1.0100,88.0250,-33.8635,-47.8155,54.1615,40.2095
1.0150,88.0880,-30.8931,-43.6192,57.1949,44.4688
1.0200,88.1503,-28.7912,-40.6488,59.3591,47.5014
1.0250,88.2119,-27.1660,-38.3513,61.0459,49.8606
1.0300,88.2729,-25.8429,-36.4801,62.4300,51.7928
1.0350,88.3332,-24.7285,-34.9036,63.6047,53.4296
1.0400,88.3929,-23.7672,-33.5431,64.6257,54.8498
1.0450,88.4519,-22.9230,-32.3478,65.5290,56.1042
1.0500,88.5104,-22.1711,-31.2830,66.3393,57.2273
1.0550,88.5681,-21.4940,-30.3240,67.0741,58.2442
1.0600,88.6253,-20.8787,-29.4523,67.7466,59.1731
1.0650,88.6819,-20.3153,-28.6540,68.3666,60.0279
1.0700,88.7379,-19.7960,-27.9182,68.9419,60.8197
1.0750,88.7932,-19.3147,-27.2362,69.4786,61.5570
1.0800,88.8480,-18.8663,-26.6012,69.9817,62.2468
1.0850,88.9022,-18.4470,-26.0073,70.4552,62.8949
1.0900,88.9558,-18.0532,-25.4498,70.9027,63.5060
1.0950,89.0089,-17.6820,-24.9247,71.3268,64.0841
1.1000,89.0613,-17.3312,-24.4286,71.7301,64.6327
1.1050,89.1132,-16.9986,-23.9586,72.1147,65.1547
1.1100,89.1646,-16.6824,-23.5122,72.4823,65.6525
1.1150,89.2154,-16.3810,-23.0871,72.8344,66.1283
1.1200,89.2657,-16.0932,-22.6816,73.1725,66.5841
1.1250,89.3154,-15.8176,-22.2938,73.4978,67.0216
1.1300,89.3646,-15.5534,-21.9224,73.8113,67.4422
1.1350,89.4133,-15.2994,-21.5660,74.1139,67.8473
1.1400,89.4615,-15.0548,-21.2234,74.4066,68.2380
1.1450,89.5091,-14.8190,-20.8936,74.6901,68.6155
1.1500,89.5562,-14.5912,-20.5755,74.9650,68.9807
1.1550,89.6028,-14.3708,-20.2684,75.2321,69.3344
1.1600,89.6490,-14.1572,-19.9714,75.4917,69.6776
1.1650,89.6946,-13.9500,-19.6839,75.7446,70.0107
1.1700,89.7397,-13.7487,-19.4051,75.9911,70.3347
1.1750,89.7844,-13.5528,-19.1345,76.2316,70.6499
1.1800,89.8286,-13.3619,-18.8715,76.4666,70.9571
1.1850,89.8722,-13.1758,-18.6156,76.6964,71.2566
1.1900,89.9155,-12.9941,-18.3664,76.9214,71.5490
1.1950,89.9582,-12.8165,-18.1235,77.1417,71.8347
1.2000,90.0005,-12.6427,-17.8864,77.3578,72.1141
1.2050,90.0424,-12.4724,-17.6548,77.5699,72.3876
1.2100,90.0837,-12.3055,-17.4283,77.7782,72.6555
1.2150,90.1247,-12.1417,-17.2066,77.9829,72.9181
1.2200,90.1652,-11.9809,-16.9895,78.1843,73.1757
1.2250,90.2052,-11.8227,-16.7766,78.3825,73.4286
1.2300,90.2448,-11.6671,-16.5678,78.5777,73.6771
1.2350,90.2840,-11.5139,-16.3627,78.7701,73.9213
1.2400,90.3228,-11.3630,-16.1612,78.9598,74.1616
1.2450,90.3611,-11.2142,-15.9630,79.1470,74.3981
1.2500,90.3991,-11.0673,-15.7680,79.3317,74.6311
1.2550,90.4366,-10.9224,-15.5760,79.5142,74.8606
1.2600,90.4737,-10.7792,-15.3868,79.6944,75.0869
1.2650,90.5103,-10.6377,-15.2002,79.8726,75.3101
1.2700,90.5466,-10.4978,-15.0162,80.0489,75.5304
1.2750,90.5825,-10.3593,-14.8345,80.2232,75.7480
1.2800,90.6180,-10.2223,-14.6552,80.3957,75.9628
1.2850,90.6531,-10.0867,-14.4779,80.5664,76.1752
1.2900,90.6878,-9.9523,-14.3027,80.7355,76.3851
1.2950,90.7221,-9.8191,-14.1294,80.9030,76.5927
1.3000,90.7561,-9.6871,-13.9580,81.0690,76.7981
1.3050,90.7897,-9.5563,-13.7883,81.2334,77.0014
1.3100,90.8229,-9.4264,-13.6203,81.3964,77.2026
1.3150,90.8557,-9.2977,-13.4538,81.5580,77.4019
1.3200,90.8882,-9.1699,-13.2889,81.7183,77.5993
1.3250,90.9203,-9.0430,-13.1254,81.8772,77.7948
1.3300,90.9520,-8.9171,-12.9633,82.0349,77.9887
1.3350,90.9834,-8.7921,-12.8026,82.1913,78.1808
1.3400,91.0144,-8.6680,-12.6431,82.3464,78.3713
1.3450,91.0451,-8.5447,-12.4848,82.5004,78.5603
1.3500,91.0754,-8.4223,-12.3278,82.6532,78.7476
1.3550,91.1054,-8.3006,-12.1719,82.8048,78.9335
1.3600,91.1351,-8.1798,-12.0171,82.9552,79.1180
1.3650,91.1644,-8.0598,-11.8634,83.1046,79.3010
1.3700,91.1934,-7.9406,-11.7107,83.2528,79.4827
1.3750,91.2220,-7.8221,-11.5590,83.3999,79.6630
1.3800,91.2503,-7.7045,-11.4084,83.5459,79.8419
1.3850,91.2783,-7.5876,-11.2587,83.6908,80.0196
1.3900,91.3060,-7.4714,-11.1100,83.8346,80.1960
1.3950,91.3334,-7.3561,-10.9622,83.9773,80.3712
1.4000,91.3604,-7.2415,-10.8153,84.1190,80.5451
1.4050,91.3871,-7.1276,-10.6694,84.2595,80.7178
1.4100,91.4136,-7.0146,-10.5243,84.3990,80.8892
1.4150,91.4397,-6.9023,-10.3802,84.5374,81.0595
1.4200,91.4655,-6.7908,-10.2369,84.6746,81.2286
1.4250,91.4910,-6.6802,-10.0944,84.8108,81.3965
1.4300,91.5162,-6.5703,-9.9529,84.9459,81.5633
1.4350,91.5411,-6.4612,-9.8122,85.0799,81.7289
1.4400,91.5657,-6.3529,-9.6724,85.2128,81.8933
1.4450,91.5900,-6.2455,-9.5335,85.3446,82.0566
1.4500,91.6141,-6.1389,-9.3954,85.4752,82.2187
1.4550,91.6378,-6.0331,-9.2582,85.6047,82.3797
1.4600,91.6613,-5.9282,-9.1218,85.7331,82.5395
1.4650,91.6845,-5.8242,-8.9863,85.8603,82.6981
1.4700,91.7074,-5.7210,-8.8517,85.9864,82.8556
1.4750,91.7300,-5.6187,-8.7180,86.1113,83.0120
1.4800,91.7524,-5.5173,-8.5852,86.2350,83.1672
1.4850,91.7744,-5.4168,-8.4532,86.3576,83.3212
1.4900,91.7963,-5.3173,-8.3222,86.4790,83.4741
1.4950,91.8178,-5.2187,-8.1921,86.5992,83.6258
1.5000,91.8391,-5.1210,-8.0628,86.7181,83.7763
1.5050,91.8601,-5.0242,-7.9345,86.8359,83.9256
1.5100,91.8809,-4.9285,-7.8071,86.9524,84.0737
1.5150,91.9014,-4.8337,-7.6807,87.0677,84.2207
1.5200,91.9216,-4.7399,-7.5552,87.1818,84.3664
1.5250,91.9416,-4.6470,-7.4307,87.2946,84.5110
1.5300,91.9614,-4.5552,-7.3071,87.4062,84.6543
1.5350,91.9809,-4.4644,-7.1845,87.5165,84.7964
1.5400,92.0001,-4.3746,-7.0629,87.6255,84.9373
1.5450,92.0191,-4.2859,-6.9422,87.7332,85.0769
1.5500,92.0379,-4.1982,-6.8226,87.8397,85.2153
1.5550,92.0564,-4.1115,-6.7039,87.9449,85.3525
1.5600,92.0747,-4.0259,-6.5863,88.0488,85.4884
1.5650,92.0927,-3.9413,-6.4697,88.1514,85.6230
1.5700,92.1106,-3.8578,-6.3541,88.2527,85.7564
1.5750,92.1281,-3.7754,-6.2396,88.3527,85.8886
1.5800,92.1455,-3.6941,-6.1261,88.4514,86.0194
1.5850,92.1626,-3.6138,-6.0136,88.5488,86.1490
1.5900,92.1795,-3.5346,-5.9022,88.6449,86.2773
1.5950,92.1962,-3.4565,-5.7919,88.7397,86.4043
1.6000,92.2126,-3.3795,-5.6826,88.8332,86.5300
1.6050,92.2289,-3.3036,-5.5744,88.9253,86.6545
1.6100,92.2449,-3.2287,-5.4673,89.0161,86.7776
1.6150,92.2607,-3.1550,-5.3612,89.1057,86.8994
1.6200,92.2763,-3.0823,-5.2563,89.1939,87.0200
1.6250,92.2916,-3.0108,-5.1524,89.2808,87.1392
1.6300,92.3068,-2.9403,-5.0496,89.3664,87.2571
1.6350,92.3217,-2.8709,-4.9479,89.4508,87.3738
1.6400,92.3364,-2.8027,-4.8474,89.5338,87.4891
1.6450,92.3510,-2.7354,-4.7479,89.6155,87.6031
1.6500,92.3653,-2.6693,-4.6495,89.6960,87.7158
1.6550,92.3794,-2.6043,-4.5522,89.7752,87.8273
1.6600,92.3933,-2.5403,-4.4559,89.8531,87.9374
1.6650,92.4071,-2.4773,-4.3608,89.9297,88.0462
1.6700,92.4206,-2.4155,-4.2668,90.0051,88.1538
1.6750,92.4339,-2.3547,-4.1739,90.0793,88.2600
1.6800,92.4470,-2.2949,-4.0821,90.1522,88.3650
1.6850,92.4600,-2.2361,-3.9913,90.2239,88.4687
1.6900,92.4727,-2.1784,-3.9016,90.2943,88.5711
1.6950,92.4853,-2.1217,-3.8130,90.3636,88.6722
1.7000,92.4976,-2.0660,-3.7255,90.4317,88.7721
1.7050,92.5098,-2.0113,-3.6391,90.4985,88.8708
1.7100,92.5218,-1.9576,-3.5537,90.5643,88.9682
1.7150,92.5336,-1.9048,-3.4693,90.6288,89.0643
1.7200,92.5453,-1.8530,-3.3860,90.6922,89.1592
1.7250,92.5567,-1.8022,-3.3038,90.7545,89.2529
1.7300,92.5680,-1.7523,-3.2226,90.8157,89.3454
1.7350,92.5791,-1.7033,-3.1424,90.8758,89.4367
1.7400,92.5900,-1.6552,-3.0632,90.9348,89.5268
1.7450,92.6007,-1.6080,-2.9850,90.9927,89.6157
1.7500,92.6113,-1.5617,-2.9078,91.0496,89.7035
1.7550,92.6217,-1.5163,-2.8316,91.1054,89.7901
1.7600,92.6319,-1.4717,-2.7564,91.1602,89.8755
1.7650,92.6420,-1.4279,-2.6821,91.2141,89.9599
1.7700,92.6518,-1.3850,-2.6088,91.2669,90.0431
1.7750,92.6616,-1.3428,-2.5364,91.3188,90.1252
1.7800,92.6711,-1.3014,-2.4649,91.3697,90.2062
1.7850,92.6805,-1.2609,-2.3944,91.4196,90.2861
1.7900,92.6897,-1.2210,-2.3247,91.4687,90.3650
1.7950,92.6988,-1.1819,-2.2559,91.5169,90.4429
1.8000,92.7077,-1.1435,-2.1880,91.5642,90.5197
1.8050,92.7164,-1.1058,-2.1210,91.6106,90.5955
1.8100,92.7250,-1.0688,-2.0548,91.6562,90.6703
1.8150,92.7335,-1.0325,-1.9894,91.7010,90.7441
1.8200,92.7417,-0.9968,-1.9248,91.7450,90.8170
1.8250,92.7499,-0.9617,-1.8610,91.7882,90.8889
1.8300,92.7578,-0.9272,-1.7980,91.8306,90.9598
1.8350,92.7656,-0.8934,-1.7357,91.8723,91.0299
1.8400,92.7733,-0.8601,-1.6742,91.9132,91.0991
1.8450,92.7808,-0.8273,-1.6134,91.9535,91.1674
1.8500,92.7882,-0.7952,-1.5534,91.9930,91.2348
1.8550,92.7954,-0.7635,-1.4940,92.0319,91.3014
1.8600,92.8025,-0.7323,-1.4353,92.0702,91.3672
1.8650,92.8094,-0.7016,-1.3773,92.1078,91.4321
1.8700,92.8162,-0.6714,-1.3199,92.1448,91.4963
1.8750,92.8228,-0.6417,-1.2631,92.1812,91.5597
1.8800,92.8293,-0.6123,-1.2070,92.2170,91.6224
1.8850,92.8357,-0.5834,-1.1514,92.2523,91.6843
1.8900,92.8419,-0.5549,-1.0964,92.2870,91.7455
1.8950,92.8480,-0.5268,-1.0420,92.3212,91.8060
1.9000,92.8540,-0.4991,-0.9882,92.3549,91.8658
1.9050,92.8598,-0.4717,-0.9348,92.3881,91.9250
1.9100,92.8655,-0.4446,-0.8820,92.4208,91.9835
1.9150,92.8710,-0.4179,-0.8296,92.4531,92.0414
1.9200,92.8764,-0.3915,-0.7778,92.4849,92.0987
1.9250,92.8817,-0.3654,-0.7264,92.5163,92.1553
1.9300,92.8868,-0.3395,-0.6754,92.5473,92.2115
1.9350,92.8919,-0.3139,-0.6249,92.5779,92.2670
1.9400,92.8968,-0.2886,-0.5747,92.6081,92.3220
1.9450,92.9015,-0.2635,-0.5250,92.6380,92.3765
1.9500,92.9062,-0.2387,-0.4757,92.6675,92.4305
1.9550,92.9107,-0.2140,-0.4267,92.6967,92.4840
1.9600,92.9150,-0.1896,-0.3781,92.7255,92.5370
1.9650,92.9193,-0.1653,-0.3298,92.7540,92.5895
1.9700,92.9234,-0.1412,-0.2818,92.7822,92.6416
1.9750,92.9275,-0.1173,-0.2341,92.8101,92.6933
1.9800,92.9314,-0.0936,-0.1868,92.8378,92.7446
1.9850,92.9351,-0.0700,-0.1397,92.8652,92.7954
1.9900,92.9388,-0.0465,-0.0929,92.8923,92.8459
1.9950,92.9423,-0.0232,-0.0463,92.9191,92.8960
2.0000,92.9457,0.0000,0.0000,92.9457,92.9457
2.0050,92.9491,0.0231,0.0461,92.9721,92.9951
2.0100,92.9522,0.0461,0.0920,92.9983,93.0442
2.0150,92.9553,0.0689,0.1376,93.0243,93.0929
2.0200,92.9583,0.0917,0.1831,93.0500,93.1413
2.0250,92.9611,0.1144,0.2283,93.0755,93.1895
2.0300,92.9639,0.1370,0.2734,93.1009,93.2373
2.0350,92.9665,0.1595,0.3184,93.1260,93.2849
2.0400,92.9690,0.1820,0.3631,93.1510,93.3321
2.0450,92.9714,0.2044,0.4078,93.1758,93.3792
2.0500,92.9737,0.2267,0.4522,93.2004,93.4259
2.0550,92.9759,0.2489,0.4966,93.2248,93.4725
2.0600,92.9779,0.2711,0.5408,93.2491,93.5188
2.0650,92.9799,0.2932,0.5849,93.2731,93.5648
2.0700,92.9818,0.3153,0.6289,93.2971,93.6107
2.0750,92.9835,0.3373,0.6728,93.3208,93.6563
2.0800,92.9852,0.3592,0.7166,93.3444,93.7018
2.0850,92.9868,0.3811,0.7603,93.3679,93.7470
2.0900,92.9882,0.4029,0.8039,93.3911,93.7921
2.0950,92.9896,0.4247,0.8474,93.4142,93.8369
2.1000,92.9908,0.4464,0.8908,93.4372,93.8816
2.1050,92.9920,0.4680,0.9342,93.4600,93.9261
2.1100,92.9930,0.4896,0.9774,93.4826,93.9704
2.1150,92.9940,0.5111,1.0206,93.5050,94.0146
2.1200,92.9948,0.5325,1.0638,93.5273,94.0586
2.1250,92.9956,0.5539,1.1068,93.5494,94.1024
2.1300,92.9962,0.5751,1.1498,93.5714,94.1460
2.1350,92.9968,0.5963,1.1927,93.5931,94.1895
2.1400,92.9973,0.6174,1.2356,93.6147,94.2328
2.1450,92.9976,0.6384,1.2784,93.6361,94.2760
2.1500,92.9979,0.6593,1.3211,93.6573,94.3190
2.1550,92.9981,0.6802,1.3637,93.6782,94.3618
2.1600,92.9982,0.7009,1.4063,93.6990,94.4045
2.1650,92.9982,0.7214,1.4488,93.7196,94.4470
2.1700,92.9981,0.7419,1.4912,93.7400,94.4893
2.1750,92.9979,0.7622,1.5336,93.7601,94.5315
2.1800,92.9976,0.7824,1.5758,93.7801,94.5735
2.1850,92.9973,0.8025,1.6180,93.7998,94.6153
2.1900,92.9968,0.8224,1.6601,93.8192,94.6570
2.1950,92.9963,0.8421,1.7021,93.8384,94.6984
2.2000,92.9957,0.8617,1.7440,93.8574,94.7397
2.2050,92.9950,0.8811,1.7858,93.8761,94.7808
2.2100,92.9942,0.9004,1.8276,93.8945,94.8217
2.2150,92.9933,0.9194,1.8691,93.9127,94.8624
2.2200,92.9923,0.9383,1.9106,93.9306,94.9030
2.2250,92.9913,0.9569,1.9520,93.9482,94.9433
2.2300,92.9902,0.9753,1.9932,93.9655,94.9834
2.2350,92.9889,0.9935,2.0343,93.9825,95.0233
2.2400,92.9876,1.0115,2.0753,93.9992,95.0629
2.2450,92.9863,1.0293,2.1161,94.0155,95.1024
2.2500,92.9848,1.0467,2.1568,94.0316,95.1416
