dim,phi,l_grav,l_avt,action
16,0.201,-1.003571193590019,-0.41971448077265805,-1.423285674362677
16,0.202,-1.0063250866842925,-0.414904039339572,-1.4212291260238645
16,0.203,-1.0090665724817058,-0.41012132379370836,-1.4191878962754143
16,0.204,-1.011795696611576,-0.4053663341350673,-1.4171620307466433
16,0.205,-1.014512504217139,-0.40063907036364843,-1.4151515745807874
16,0.206,-1.0172170399625151,-0.39593953247945196,-1.413156572441967
16,0.207,-1.0199093480395425,-0.391267720482478,-1.4111770685220204
16,0.208,-1.022589472174475,-0.38662363437272634,-1.4092131065472013
16,0.209,-1.0252574556345546,-0.3820072741501971,-1.4072647297847518
16,0.21,-1.0279133412344512,-0.37741863981489027,-1.4053319810493414
16,0.211,-1.0305571713425845,-0.37285773136680583,-1.4034149027093903
16,0.212,-1.0331889878873233,-0.3683245488059438,-1.4015135366932672
16,0.213,-1.0358088323630663,-0.36381909213230407,-1.3996279244953704
16,0.214,-1.0384167458362088,-0.3593413613458869,-1.3977581071820957
16,0.215,-1.0410127689509978,-0.354891356446692,-1.3959041253976898
16,0.216,-1.0435969419352753,-0.3504690774347196,-1.394066019369995
16,0.217,-1.046169304606117,-0.3460745243099695,-1.3922438289160863
16,0.218,-1.0487298963753646,-0.34170769707244186,-1.3904375934478064
16,0.219,-1.0512787562550572,-0.33736859572213657,-1.3886473519771938
16,0.22,-1.0538159228627606,-0.3330572202590537,-1.3868731431218144
16,0.221,-1.0563414344268014,-0.32877357068319324,-1.3851150051099945
16,0.222,-1.0588553287914046,-0.32451764699455515,-1.3833729757859599
16,0.223,-1.0613576434217369,-0.3202894491931395,-1.3816470926148763
16,0.224,-1.0638484154088608,-0.31608897727894625,-1.3799373926878071
16,0.225,-1.0663276814745972,-0.3119162312519754,-1.3782439127265727
16,0.226,-1.0687954779763034,-0.3077712111122269,-1.3765666890885302
16,0.227,-1.0712518409115628,-0.3036539168597008,-1.3749057577712636
16,0.228,-1.0736968059227947,-0.29956434849439706,-1.3732611544171918
16,0.229,-1.0761304083017782,-0.29550250601631584,-1.371632914318094
16,0.23,-1.0785526829941008,-0.291468389425457,-1.3700210724195578
16,0.231,-1.080963664603525,-0.2874619987218205,-1.3684256633253455
16,0.232,-1.0833633873962818,-0.28348333390540637,-1.3668467213016882
16,0.233,-1.0857518853052865,-0.27953239497621474,-1.3652842802815013
16,0.234,-1.088129191934284,-0.2756091819342454,-1.3637383738685294
16,0.235,-1.0904953405619193,-0.2717136947794986,-1.3622090353414178
16,0.236,-1.0928503641457428,-0.2678459335119741,-1.3606962976577168
16,0.237,-1.0951942953261404,-0.264005898131672,-1.3592001934578124
16,0.238,-1.0975271664302033,-0.2601935886385923,-1.3577207550687955
16,0.239,-1.0998490094755262,-0.256409005032735,-1.3562580145082612
16,0.24,-1.1021598561739456,-0.2526521473141001,-1.3548120034880458
16,0.241,-1.1044597379352121,-0.24892301548268758,-1.3533827534178997
16,0.242,-1.1067486858706024,-0.2452216095384975,-1.3519702954091
16,0.243,-1.10902673079647,-0.24154792948152976,-1.3505746602779998
16,0.244,-1.1112939032377378,-0.23790197531178447,-1.3491958785495224
16,0.245,-1.1135502334313307,-0.23428374702926152,-1.3478339804605923
16,0.246,-1.115795751329554,-0.230693244633961,-1.346488995963515
16,0.247,-1.1180304866034136,-0.22713046812588286,-1.3451609547292964
16,0.248,-1.120254468645884,-0.22359541750502718,-1.3438498861509112
16,0.249,-1.1224677265751195,-0.22008809277139385,-1.3425558193465132
16,0.25,-1.1246702892376166,-0.2166084939249829,-1.3412787831625994
16,0.251,-1.1268621852113239,-0.21315662096579435,-1.340018806177118
16,0.252,-1.1290434428086988,-0.20973247389382826,-1.338775916702527
16,0.253,-1.1312140900797198,-0.2063360527090845,-1.3375501427888044
16,0.254,-1.1333741548148464,-0.20296735741156316,-1.3363415122264095
16,0.255,-1.1355236645479332,-0.19962638800126423,-1.3351500525491975
16,0.256,-1.1376626465590973,-0.19631314447818768,-1.333975791037285
16,0.257,-1.139791127877541,-0.19302762684233352,-1.3328187547198744
16,0.258,-1.141909135284327,-0.1897698350937018,-1.3316789703780287
16,0.259,-1.1440166953151127,-0.18653976923229246,-1.3305564645474053
16,0.26,-1.1461138342628407,-0.1833374292581055,-1.3294512635209463
16,0.261,-1.148200578180386,-0.18016281517114094,-1.3283633933515269
16,0.262,-1.150276952883162,-0.17701592697139878,-1.3272928798545607
16,0.263,-1.1523429839516879,-0.17389676465887902,-1.3262397486105668
16,0.264,-1.1543986967341133,-0.1708053282335817,-1.325204024967695
16,0.265,-1.1564441163487065,-0.16774161769550675,-1.3241857340442131
16,0.266,-1.1584792676863014,-0.16470563304465416,-1.3231849007309555
16,0.267,-1.1605041754127097,-0.161697374281024,-1.3222015496937336
16,0.268,-1.1625188639710948,-0.15871684140461625,-1.3212357053757111
16,0.269,-1.1645233575843086,-0.15576403441543085,-1.3202873919997393
16,0.27,-1.166517680257194,-0.1528389533134679,-1.319356633570662
16,0.271,-1.1685018557788527,-0.14994159809872729,-1.31844345387758
16,0.272,-1.1704759077248768,-0.14707196877120912,-1.317547876496086
