,DataType,TensorSize,Iterations,MemoryUsage_MB,PrecisionSample,Error
54,float16,512,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
55,float16,1024,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
56,float16,1024,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
57,float16,1024,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
58,float16,1024,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
59,float16,1024,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float16, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
60,float32,32,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
61,float32,32,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
62,float32,32,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
63,float32,32,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
64,float32,32,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
65,float32,64,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
66,float32,64,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
67,float32,64,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
68,float32,64,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
69,float32,64,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
70,float32,128,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
71,float32,128,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
72,float32,128,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
73,float32,128,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
74,float32,128,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
75,float32,256,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
76,float32,256,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
77,float32,256,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
78,float32,256,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
79,float32,256,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
80,float32,512,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
81,float32,512,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
82,float32,512,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
83,float32,512,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
84,float32,512,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
85,float32,1024,2,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
86,float32,1024,3,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
87,float32,1024,4,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
88,float32,1024,5,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
89,float32,1024,6,,,"Failed in nopython mode pipeline (step: nopython frontend)
Cannot unify array(float32, 1d, C) and array(float64, 1d, C) for 'result.2', defined at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>

During: typing of assignment at /tmp/ipykernel_12/3245719750.py (26)

File ""../../tmp/ipykernel_12/3245719750.py"", line 26:
<source missing, REPL/exec in use?>
"
90,float64,32,2,0.0,(0.7590103253461801+0j),
91,float64,32,3,0.03125,(0.7584704280718861+0j),
92,float64,32,4,0.0,(0.7584702359160314+0j),
93,float64,32,5,0.0,(0.758470235916007+0j),
94,float64,32,6,0.0,(0.758470235916007+0j),
95,float64,64,2,0.0,(0.9345465893579551+0j),
96,float64,64,3,0.0,(0.9345441396778073+0j),
97,float64,64,4,0.0,(0.9345441396745966+0j),
98,float64,64,5,0.0,(0.9345441396745966+0j),
99,float64,64,6,0.0,(0.9345441396745966+0j),
100,float64,128,2,0.0,(0.32011895613225677+0j),
101,float64,128,3,0.0,(0.251742229031779+0j),
102,float64,128,4,0.0,(0.24245618904763513+0j),
103,float64,128,5,0.0,(0.24227836199581634+0j),
104,float64,128,6,0.0,(0.24227829673522083+0j),
105,float64,256,2,0.0,(0.9752194232461979+0j),
106,float64,256,3,0.0,(0.9752193749269689+0j),
